subdomain,mx
armeedelair.gouv.dj,5 mail-protection.gouv.dj.; 10 mail-protection.gouv.dj.
autodiscover.gouv.dj,none
backend-evisa.gouv.dj,none
backend-evisagoubet.gouv.dj,none
backend-evisanouveau.gouv.dj,none
budget.gouv.dj,10 mail-gtw1.gouv.dj.; 20 mail-gtw2.gouv.dj.
catis-dev.gouv.dj,none
cert.gouv.dj,5 mail-protection.gouv.dj.; 10 mail-protection.gouv.dj.
cpanel.travail.gouv.dj,none
cpcalendars.travail.gouv.dj,none
cpcontacts.travail.gouv.dj,none
douanes.gouv.dj,20 mail-gtw2.gouv.dj.; 10 mail-gtw1.gouv.dj.
e-cabinet.gouv.dj,none
e-gouv.dj,10 mail-protection.gouv.dj.
e-permishabitat.gouv.dj,none
enregistrement-delegation.gouv.dj,none
evisav2.gouv.dj,none
gouv.dj,20 mail-gtw2.gouv.dj.; 10 mail-gtw1.gouv.dj.
import-email.gouv.dj,none
interieur.gouv.dj,20 mail-gtw2.gouv.dj.; 10 mail-gtw1.gouv.dj.
mail-gtw1.gouv.dj,none
mail-gtw2.gouv.dj,none
mail-server.gouv.dj,10 mail-protection.gouv.dj.
mail.e-gouv.dj,none
mail.gouv.dj,10 mail-protection.gouv.dj.
mail.mefip.gouv.dj,none
mail.police-nationale.gouv.dj,none
mail.travail.gouv.dj,none
meet.gouv.dj,none
mefip.gouv.dj,10 smtp.mefip.gouv.dj.
ministerebudget.gouv.dj,none
mpgpt.gouv.dj,none
rnpp.gouv.dj,none
sensibilisation-cniplc.gouv.dj,none
siged.gouv.dj,none
sipref.gouv.dj,none
siprefback.gouv.dj,none
siprefbdd.gouv.dj,none
siprefcdn.gouv.dj,none
snc.gouv.dj,none
snis-dhis2.gouv.dj,none
sormas.gouv.dj,none
suivi-covid.gouv.dj,none
travail.gouv.dj,none
verification-education.gouv.dj,none
webconf.gouv.dj,none
webdisk.travail.gouv.dj,none
webmail.gouv.dj,none
webmail.travail.gouv.dj,none
www.budget.gouv.dj,none
www.decentralisation.gouv.dj,none
www.e-gouv.dj,none
www.evisa-admin.gouv.dj,none
www.evisa-admission.gouv.dj,none
www.evisa-admissiongoubet.gouv.dj,none
www.evisa-admissionnouv.gouv.dj,none
www.evisa.gouv.dj,none
www.evisagoubet.gouv.dj,none
www.evisanouv.gouv.dj,none
www.gouv.dj,none
www.ministerebudget.gouv.dj,none
www.sante.gouv.dj,none
www.travail.gouv.dj,none
