type,label,website,hostname,level
supreme_court,National Assembly,http://www.assemblee-nationale.dj,assemblee-nationale.dj,central
parliament,National Assembly,http://www.assemblee-nationale.dj,assemblee-nationale.dj,central
government_agency,Central Bank of Djibouti,http://www.banque-centrale.dj,banque-centrale.dj,central
government_agency,"Embassy of Turkey, Djibouti",https://cibuti-be.mfa.gov.tr,cibuti-be.mfa.gov.tr,central
ministry,Ministry of Foreign Affairs and International Cooperation of Djibouti,https://diplomatie.gouv.dj/,diplomatie.gouv.dj,
government_agency,Ministry of Foreign Affairs and International Cooperation of Djibouti,https://diplomatie.gouv.dj/,diplomatie.gouv.dj,central
government_agency,DISED,http://www.dised.dj/,dised.dj,central
government_agency,"Embassy of France, Djibouti",https://dj.ambafrance.org,dj.ambafrance.org,central
government_agency,"Embassy of Japan, Djibouti",https://www.dj.emb-japan.go.jp,dj.emb-japan.go.jp,central
government_agency,embassy of the United States in Djibouti,https://dj.usembassy.gov,dj.usembassy.gov,central
government_agency,"Embassy of Germany, Djibouti",https://djibouti.diplo.de/,djibouti.diplo.de,central
government_agency,embassy of Russia in Djibouti,https://djibouti.mid.ru,djibouti.mid.ru,central
government_agency,Delegation of the European Union to Djibouti and IGAD,https://eeas.europa.eu/delegations/djibouti_en,eeas.europa.eu,central
government_agency,"Embassy of India, Djibouti City",https://www.eoidjibouti.gov.in,eoidjibouti.gov.in,central
government_agency,British Embassy Djibouti,https://www.gov.uk/world/organisations/british-embassy-djibouti,gov.uk,
government_agency,Institut National de la Statistique de Djibouti,https://instad.dj,instad.dj,
government_agency,"Ministry of Agriculture, Livestock, & Fisheries",http://www.maem.dj/,maem.dj,local
ministry,Ministry of Economy and Finances,http://www.ministere-finances.dj/ANNUAIRE%20STATISTIQUE.html,ministere-finances.dj,
government_agency,Ministry of Economy and Finances,http://www.ministere-finances.dj/ANNUAIRE%20STATISTIQUE.html,ministere-finances.dj,central
government_agency,Interior ministry of Djibouti,https://www.presidence.dj/,presidence.dj,local
