subdomain,http_status,mx
admin.en.kefm.dk,200,
admin.kefm.dk,200,
admin.koncern.kefm.dk,403,
autodiscover.kefm.dk,302,
borgertinget.kefm.dk,ConnectException > UnresolvedAddressException,
cdn.kefm.dk,404,
colibo.kefm.dk,ConnectException > UnresolvedAddressException,
en.kefm.dk,301,
f2-mobil-geus.kefm.dk,ConnectException > UnresolvedAddressException,
f2-mobil.kefm.dk,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
f2-mobiltest-geus.kefm.dk,ConnectException > UnresolvedAddressException,
f2-mobiltest.kefm.dk,403,
gapi.admin.en.kefm.dk,404,
gapi.admin.kefm.dk,404,
gapi.admin.koncern.kefm.dk,403,
gpt.kefm.dk,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
intra.kefm.dk,ConnectException > NoRouteToHostException: Host is unreachable,
kefm.dk,301,10 mx02.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx03.statens-it.dk.
koncern.kefm.dk,403,
login-colibo.kefm.dk,ConnectException > UnresolvedAddressException,
login-intra.kefm.dk,ConnectException > UnresolvedAddressException,
lyncdiscover.kefm.dk,405,
portal.kefm.dk,ConnectException > UnresolvedAddressException,
sip.kefm.dk,404,
tavle.kefm.dk,ConnectException > UnresolvedAddressException,
temp-f2-mobil.kefm.dk,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
wb.kefm.dk,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
webinar.kefm.dk,ConnectException > ClosedChannelException,
www.borgertinget.kefm.dk,ConnectException > UnresolvedAddressException,
www.en.kefm.dk,200,
www.kefm.dk,200,none
www.koncern.kefm.dk,403,
www.portal.kefm.dk,ConnectException > UnresolvedAddressException,
