hostname,http_status,mx
200co.com,200,0 200co-com.mail.protection.outlook.com.
adst.dk,200,10 adst-dk.b-v1.mx.microsoft.
agricultureandfood.dk,HttpConnectTimeoutException: HTTP connect timed out,none
aka.gl,307,none
amff.dk,HttpConnectTimeoutException: HTTP connect timed out,none
anklagemyndigheden.dk,301,none
arbejdsmiljoforskning.dk,HttpConnectTimeoutException: HTTP connect timed out,10 mx04.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx02.statens-it.dk.
ast.dk,HttpConnectTimeoutException: HTTP connect timed out,10 mx02.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx08.statens-it.dk.
at.dk,200,10 mx01.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx07.statens-it.dk.
at.gl,200,10 mx08.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx07.statens-it.dk.
bane.dk,HttpConnectTimeoutException: HTTP connect timed out,10 bane-dk.k-v1.mx.microsoft.
bat.dk,HttpConnectTimeoutException: HTTP connect timed out,10 mx2-dk.centerasecurity.dk.; 10 mx1-dk.centerasecurity.dk.; 20 mx3-dk.centerasecurity.dk.
benchmark.dk,HttpConnectTimeoutException: HTTP connect timed out,10 mx03.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx07.statens-it.dk.
beredskab.helsingor.dk,HttpConnectTimeoutException: HTTP connect timed out,10 mx2-dk.centerasecurity.dk.; 10 mx1-dk.centerasecurity.dk.; 20 mx3-dk.centerasecurity.dk.
beredskab4k.dk,HttpConnectTimeoutException: HTTP connect timed out,0 frontmta.hostedsepo.dk.
beros.dk,HttpConnectTimeoutException: HTTP connect timed out,40 dk.mx4.mx25.net.; 20 dk.mx2.mx25.net.; 10 dk.mx1.mailanyone.net.; 30 dk.mx3.mailanyone.net.
borger.dk,301,10 mx08.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx06.statens-it.dk.
brand.kk.dk,HttpConnectTimeoutException: HTTP connect timed out,none
brandvaesen.roskilde.dk,301,none
brs.dk,301,20 mailproxy.mil.dk.
bygst.dk,200,10 mx06.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx01.statens-it.dk.
cfcs.dk,301,10 mx03.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx01.statens-it.dk.
civilstyrelsen.dk,301,10 mx08.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx05.statens-it.dk.
consumerombudsman.dk,SSLHandshakeException: (unrecognized_name) Received fatal alert: unrecognized_name,none
copenhagen.europarl.europa.eu,302,none
cpr.dk,301,15 mx03.statens-it.dk.; 15 mx05.statens-it.dk.; 15 mx08.statens-it.dk.; 15 mx06.statens-it.dk.; 15 mx04.statens-it.dk.; 15 mx02.statens-it.dk.; 15 mx01.statens-it.dk.; 15 mx07.statens-it.dk.
danishbusinessauthority.dk,200,none
dankultur.dk,200,none
datatilsynet.dk,200,10 mx08.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx06.statens-it.dk.
de.naturstyrelsen.dk,200,none
denmark.representation.ec.europa.eu,302,none
dff.dk,200,10 mx01.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx04.statens-it.dk.
dfi.dk,301,10 mx05.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx07.statens-it.dk.
dfsa.dk,HttpConnectTimeoutException: HTTP connect timed out,10 ftsmail2.ftnet.dk.; 10 ftsmail1.ftnet.dk.
digst.dk,200,10 mx06.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx04.statens-it.dk.
dinoffentligetransport.dk,200,0 dinoffentligetransport-dk.f-v1.mx.microsoft.
dkma.dk,301,10 spamtitan2.dkma.dk.; 10 spamtitan1.dkma.dk.
dkpto.dk,301,0 dkpto-dk.p-v1.mx.microsoft.
dkpto.org,301,none
dma.dk,301,10 mx05.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx02.statens-it.dk.
dmaib.com,200,none
dmi.dk,301,10 mx04.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx07.statens-it.dk.
dnir.dk,302,none
domaeneklager.dk,301,10 domaeneklager-dk.mail.protection.outlook.com.
dsn.dk,200,10 mx07.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx08.statens-it.dk.
dst.dk,302,5 srvcse1.dst.dk.; 5 srvcse2.dst.dk.
en.bygst.dk,200,none
en.digst.dk,200,none
en.kfst.dk,200,none
en.stps.dk,200,none
eng.hjemst.dk,200,none
eng.mst.dk,200,none
eng.naturstyrelsen.dk,200,none
