subdomain,parent_domain,http_status
911.gob.do,gob.do,470
academia.mapre.gob.do,gob.do,Could not resolve host: academia.mapre.gob.do
acceso.contraloria.gob.do,gob.do,Could not resolve host: acceso.contraloria.gob.do
acceso2.contraloria.gob.do,gob.do,Connection timed out after 3000 milliseconds
access.digecog.gob.do,gob.do,Could not resolve host: access.digecog.gob.do
acss.minerd.gob.do,gob.do,Could not resolve host: acss.minerd.gob.do
admin.digepres.gob.do,gob.do,Could not resolve host: admin.digepres.gob.do
aduanas.gob.do,gob.do,301
aduanasdigital.gob.do,gob.do,SSL: no alternative certificate subject name matches target hostname 'aduanasdigital.gob.do'
ahorraenergia.mem.gob.do,gob.do,200
ajanico.gob.do,gob.do,Could not resolve host: ajanico.gob.do
alcaldialomadecabrera.gob.do,gob.do,Could not resolve host: alcaldialomadecabrera.gob.do
ambiente.gob.do,gob.do,200
amcastanuelas.gob.do,gob.do,Could not resolve host: amcastanuelas.gob.do
amet.gob.do,gob.do,Could not resolve host: amet.gob.do
amy.gob.do,gob.do,Could not resolve host: amy.gob.do
antecedentes.gob.do,gob.do,Could not resolve host: antecedentes.gob.do
apoyobarrial.gob.do,gob.do,Could not resolve host: apoyobarrial.gob.do
apps.minerd.gob.do,gob.do,Connection timed out after 3002 milliseconds
apps.semma.gob.do,gob.do,403
archivo.dicom.gob.do,gob.do,Could not resolve host: archivo.dicom.gob.do
areavii.gob.do,gob.do,Could not resolve host: areavii.gob.do
arssenasa.gob.do,gob.do,301
auditoriamedica.semma.gob.do,gob.do,403
aula.solidaridad.gob.do,gob.do,Could not resolve host: aula.solidaridad.gob.do
aulavirtual.ctc.gob.do,gob.do,Could not resolve host: aulavirtual.ctc.gob.do
auth.digepres.gob.do,gob.do,Operation timed out after 3000 milliseconds with 0 bytes received
auth2.digepres.gob.do,gob.do,404
autodiscover.alcaldialomadecabrera.gob.do,gob.do,Could not resolve host: autodiscover.alcaldialomadecabrera.gob.do
autodiscover.arssenasa.gob.do,gob.do,Failed to connect to autodiscover.arssenasa.gob.do port 443 after 394 ms: Could not connect to server
autodiscover.bancasolidaria.gob.do,gob.do,Could not resolve host: autodiscover.bancasolidaria.gob.do
autodiscover.bndh.gob.do,gob.do,Could not resolve host: autodiscover.bndh.gob.do
autodiscover.cdc.gob.do,gob.do,400
autodiscover.cnzfe.gob.do,gob.do,Failed to connect to autodiscover.cnzfe.gob.do port 443 after 195 ms: Could not connect to server
autodiscover.dicom.gob.do,gob.do,Could not resolve host: autodiscover.dicom.gob.do
autodiscover.digepres.gob.do,gob.do,Failed to connect to autodiscover.digepres.gob.do port 443 after 202 ms: Could not connect to server
autodiscover.embdomhonduras.gob.do,gob.do,Could not resolve host: autodiscover.embdomhonduras.gob.do
autodiscover.gabsocial.gob.do,gob.do,Failed to connect to autodiscover.gabsocial.gob.do port 443 after 216 ms: Could not connect to server
autodiscover.inapa.gob.do,gob.do,Failed to connect to autodiscover.inapa.gob.do port 443 after 62 ms: Could not connect to server
autodiscover.indocal.gob.do,gob.do,Failed to connect to autodiscover.indocal.gob.do port 443 after 351 ms: Could not connect to server
autodiscover.jac.gob.do,gob.do,Failed to connect to autodiscover.jac.gob.do port 443 after 55 ms: Could not connect to server
autodiscover.ji.gob.do,gob.do,SSL: no alternative certificate subject name matches target hostname 'autodiscover.ji.gob.do'
autodiscover.mem.gob.do,gob.do,Failed to connect to autodiscover.mem.gob.do port 443 after 189 ms: Could not connect to server
autodiscover.mescyt.gob.do,gob.do,Could not resolve host: autodiscover.mescyt.gob.do
autodiscover.minerd.gob.do,gob.do,Could not resolve host: autodiscover.minerd.gob.do
autodiscover.mopc.gob.do,gob.do,Failed to connect to autodiscover.mopc.gob.do port 443 after 192 ms: Could not connect to server
autodiscover.one.gob.do,gob.do,Failed to connect to autodiscover.one.gob.do port 443 after 65 ms: Could not connect to server
autodiscover.pasaportes.gob.do,gob.do,Could not resolve host: autodiscover.pasaportes.gob.do
autodiscover.pgr.gob.do,gob.do,Failed to connect to autodiscover.pgr.gob.do port 443 after 198 ms: Could not connect to server
autodiscover.poderjudicial.gob.do,gob.do,Failed to connect to autodiscover.poderjudicial.gob.do port 443 after 456 ms: Could not connect to server
autodiscover.primeradama.gob.do,gob.do,Could not resolve host: autodiscover.primeradama.gob.do
autodiscover.sabanadelamar.gob.do,gob.do,Could not resolve host: autodiscover.sabanadelamar.gob.do
autodiscover.see.gob.do,gob.do,Resolving timed out after 3000 milliseconds
autodiscover.sib.gob.do,gob.do,Failed to connect to autodiscover.sib.gob.do port 443 after 207 ms: Could not connect to server
autodiscover.sie.gob.do,gob.do,Failed to connect to autodiscover.sie.gob.do port 443 after 178 ms: Could not connect to server
autodiscover.srsvaldesia.gob.do,gob.do,Failed to connect to autodiscover.srsvaldesia.gob.do port 443 after 213 ms: Could not connect to server
autodiscover.tc.gob.do,gob.do,Failed to connect to autodiscover.tc.gob.do port 443 after 223 ms: Could not connect to server
autorizacionesenlinea.semma.gob.do,gob.do,403
av.cdeee.gob.do,gob.do,Connection timed out after 3002 milliseconds
av.digecog.gob.do,gob.do,Recv failure: Connexion ré-initialisée par le correspondant
av.inapa.gob.do,gob.do,Could not resolve host: av.inapa.gob.do
ayuntamientodajabon.dajabon.gob.do,gob.do,Could not resolve host: ayuntamientodajabon.dajabon.gob.do
ayuntamientodenizao.gob.do,gob.do,Could not resolve host: ayuntamientodenizao.gob.do
ayuntamientoestebania.gob.do,gob.do,200
ayuntamientohiguey.gob.do,gob.do,200
ayuntamientolasclavellinasbahoruco.gob.do,gob.do,Could not resolve host: ayuntamientolasclavellinasbahoruco.gob.do
ayuntamientos.gob.do,gob.do,Could not resolve host: ayuntamientos.gob.do
bancanet.sib.gob.do,gob.do,Connection timed out after 3001 milliseconds
bancasolidaria.gob.do,gob.do,Could not resolve host: bancasolidaria.gob.do
beta.dgdc.gob.do,gob.do,Connection timed out after 3000 milliseconds
bijrd.gob.do,gob.do,523
blog.cei-rd.gob.do,gob.do,Could not resolve host: blog.cei-rd.gob.do
bndh.gob.do,gob.do,403
bomberossanluis.gob.do,gob.do,Could not resolve host: bomberossanluis.gob.do
bonao.gob.do,gob.do,Could not resolve host: bonao.gob.do
ca.optic.gob.do,gob.do,SSL certificate problem: certificate has expired
cag.sib.gob.do,gob.do,Could not resolve host: cag.sib.gob.do
caleta.distritomunicipallacaleta.gob.do,gob.do,Could not resolve host: caleta.distritomunicipallacaleta.gob.do
camaradecuentas.gob.do,gob.do,200
camaradediputados.gob.do,gob.do,200
cambioclimatico.gob.do,gob.do,200
capasantiago.gob.do,gob.do,Could not resolve host: capasantiago.gob.do
castanuelas.gob.do,gob.do,Could not resolve host: castanuelas.gob.do
cdc.gob.do,gob.do,200
cdn.santiagodeloscaballeros.gob.do,gob.do,Could not resolve host: cdn.santiagodeloscaballeros.gob.do
cei-rd.gob.do,gob.do,Could not resolve host: cei-rd.gob.do
cep.digeig.gob.do,gob.do,Could not resolve host: cep.digeig.gob.do
certv.gob.do,gob.do,Could not resolve host: certv.gob.do
chat.republicadigital.gob.do,gob.do,Could not resolve host: chat.republicadigital.gob.do
cidjc.gob.do,gob.do,Could not resolve host: cidjc.gob.do
cne.gob.do,gob.do,200
coe.gob.do,gob.do,200
comisionbarrial.gob.do,gob.do,Could not resolve host: comisionbarrial.gob.do
comisiondecompetencia.gob.do,gob.do,Could not resolve host: comisiondecompetencia.gob.do
comunidad.comprasdominicana.gob.do,gob.do,Could not resolve host: comunidad.comprasdominicana.gob.do
comunidadrai.gob.do,gob.do,Could not resolve host: comunidadrai.gob.do
conabios.gob.do,gob.do,200
conape.gob.do,gob.do,Could not resolve host: conape.gob.do
conavihsida.gob.do,gob.do,200
conf.digecog.gob.do,gob.do,Recv failure: Connexion ré-initialisée par le correspondant
conferencia.siv.gob.do,gob.do,Could not resolve host: conferencia.siv.gob.do
confirmate.jce.gob.do,gob.do,200
congresoimv.siv.gob.do,gob.do,Could not resolve host: congresoimv.siv.gob.do
connect.comprasdominicana.gob.do,gob.do,Could not resolve host: connect.comprasdominicana.gob.do
constanza.gob.do,gob.do,Could not resolve host: constanza.gob.do
consultas.contraloria.gob.do,gob.do,200
consultas.fiscaliadeldistrito.gob.do,gob.do,Could not resolve host: consultas.fiscaliadeldistrito.gob.do
consumoseguro.gob.do,gob.do,Operation timed out after 3002 milliseconds with 0 bytes received
coopol.gob.do,gob.do,Could not resolve host: coopol.gob.do
correo.ambiente.gob.do,gob.do,Could not resolve host: correo.ambiente.gob.do
correo.caid.gob.do,gob.do,Could not resolve host: correo.caid.gob.do
correo.cemadoja.gob.do,gob.do,SSL certificate problem: unable to get local issuer certificate
correo.mopc.gob.do,gob.do,Could not resolve host: correo.mopc.gob.do
correo.mt.gob.do,gob.do,Could not resolve host: correo.mt.gob.do
cpadb.gob.do,gob.do,200
cpadp.gob.do,gob.do,Could not resolve host: cpadp.gob.do
cpanel.ajanico.gob.do,gob.do,Resolving timed out after 3000 milliseconds
cpanel.alcaldialomadecabrera.gob.do,gob.do,Could not resolve host: cpanel.alcaldialomadecabrera.gob.do
cpanel.amcastanuelas.gob.do,gob.do,Could not resolve host: cpanel.amcastanuelas.gob.do
cpanel.ayuntamientolasclavellinasbahoruco.gob.do,gob.do,Could not resolve host: cpanel.ayuntamientolasclavellinasbahoruco.gob.do
cpanel.bancasolidaria.gob.do,gob.do,Could not resolve host: cpanel.bancasolidaria.gob.do
cpanel.bndh.gob.do,gob.do,Could not resolve host: cpanel.bndh.gob.do
cpanel.bomberossanluis.gob.do,gob.do,Could not resolve host: cpanel.bomberossanluis.gob.do
cpanel.bonao.gob.do,gob.do,Could not resolve host: cpanel.bonao.gob.do
cpanel.cdc.gob.do,gob.do,Operation timed out after 3001 milliseconds with 0 bytes received
cpanel.certv.gob.do,gob.do,Could not resolve host: cpanel.certv.gob.do
cpanel.constanza.gob.do,gob.do,Could not resolve host: cpanel.constanza.gob.do
cpanel.dajabon.gob.do,gob.do,Could not resolve host: cpanel.dajabon.gob.do
cpanel.dgdc.gob.do,gob.do,Connection timed out after 3002 milliseconds
cpanel.embdomhonduras.gob.do,gob.do,Could not resolve host: cpanel.embdomhonduras.gob.do
cpanel.gobernaciondesanchezramirez.gob.do,gob.do,Could not resolve host: cpanel.gobernaciondesanchezramirez.gob.do
cpanel.hospitallagunasalada.gob.do,gob.do,Could not resolve host: cpanel.hospitallagunasalada.gob.do
cpanel.hospitalmarcelinovelez.gob.do,gob.do,Could not resolve host: cpanel.hospitalmarcelinovelez.gob.do
cpanel.hospitalsemmasd.gob.do,gob.do,Could not resolve host: cpanel.hospitalsemmasd.gob.do
cpanel.hospmorilloking.gob.do,gob.do,Could not resolve host: cpanel.hospmorilloking.gob.do
cpanel.ideice.gob.do,gob.do,200
cpanel.inabima.gob.do,gob.do,Could not resolve host: cpanel.inabima.gob.do
cpanel.jmsl.gob.do,gob.do,200
cpanel.judimha.gob.do,gob.do,Could not resolve host: cpanel.judimha.gob.do
cpanel.lagunasalada.gob.do,gob.do,Could not resolve host: cpanel.lagunasalada.gob.do
cpanel.lasmatasdesantacruz.gob.do,gob.do,Could not resolve host: cpanel.lasmatasdesantacruz.gob.do
cpanel.mem.gob.do,gob.do,Could not resolve host: cpanel.mem.gob.do
cpanel.moncion.gob.do,gob.do,Could not resolve host: cpanel.moncion.gob.do
cpanel.montecristi.gob.do,gob.do,Could not resolve host: cpanel.montecristi.gob.do
