subdomain,mx
aaci.gov.dz,none
adrar.resid-sud.sante.gov.dz,none
alnaft.gov.dz,10 mx2.alnaft.gov.dz.; 10 mx1.alnaft.gov.dz.
anam.gov.dz,10 mail.anam.gov.dz.
annuaire.mkesm.gov.dz,none
anssn.gov.dz,10 mail.anssn.gov.dz.
api-popb.sante.gov.dz,none
api.mkesm.gov.dz,none
apie.industrie.gov.dz,none
apn.gov.dz,10 smtp-1.apn.gov.dz.; 10 smtp-2.apn.gov.dz.
app.mkesm.gov.dz,none
arh.gov.dz,20 mx1.arh.gov.dz.; 20 mx2.arh.gov.dz.
assai-agri.madr.gov.dz,none
auth.industrie.gov.dz,none
auth.mjs.gov.dz,none
auth.mkesm.gov.dz,none
authentik.mcepe.gov.dz,10 mxgw03.cdn.cerist.dz.
autodiscover.cours.mpttn.gov.dz,none
autodiscover.dtourismebba.gov.dz,none
autodiscover.energy.gov.dz,none
autodiscover.mpeche.gov.dz,none
backend.csj.gov.dz,none
bechar.resid-sud.sante.gov.dz,none
biskra.resid-sud.sante.gov.dz,none
box.mkesm.gov.dz,none
census.madr.gov.dz,none
cepa.mpeche.gov.dz,none
cerefe.gov.dz,10 mail.cerefe.gov.dz.
charaka.mfp.gov.dz,none
charaka.mjeunesse.gov.dz,none
cirm.gov.dz,none
class.sante.gov.dz,none
cloud.dgfp.gov.dz,dig error
cms.csj.gov.dz,none
cneidffe.gov.dz,10 mail.cneidffe.gov.dz.
cnis.douane.gov.dz,none
cnl.gov.dz,none
cntsid.douane.gov.dz,none
commerce.gov.dz,10 mail.commerce.gov.dz.
commu.ministerecommunication.gov.dz,none
conf.mf.gov.dz,none
console.minio.mkesm.gov.dz,none
contactini.mjs.gov.dz,none
cours.mpttn.gov.dz,none
cpanel.cours.mpttn.gov.dz,none
cpanel.dtourismebba.gov.dz,none
cpanel.mctamanghasset.gov.dz,none
cpanel.mpeche.gov.dz,none
cpcalendars.cours.mpttn.gov.dz,none
cpcalendars.dtourismebba.gov.dz,none
cpcalendars.mctamanghasset.gov.dz,none
cpcalendars.mpeche.gov.dz,none
cpcontacts.cours.mpttn.gov.dz,none
cpcontacts.dtourismebba.gov.dz,none
cpcontacts.mctamanghasset.gov.dz,none
cpcontacts.mpeche.gov.dz,none
creg.gov.dz,none
csj.gov.dz,10 mail.csj.gov.dz.
cvlj.mjs.gov.dz,none
dalil.mfp.gov.dz,none
dalil2.mfp.gov.dz,none
dalil3.mfp.gov.dz,none
dashboard.aaci.gov.dz,none
dclaghouat.gov.dz,none
dcmascara.gov.dz,none
dcwconstantine.gov.dz,none
dcwguelma.gov.dz,5 mail.dcwguelma.gov.dz.
dcwsoukahras.gov.dz,none
deghardaia.education.gov.dz,none
demande12s.interieur.gov.dz,none
dev-backend.csj.gov.dz,none
dev-cms.csj.gov.dz,none
dev.aaci.gov.dz,none
dev.csj.gov.dz,none
dev.dashboard.aaci.gov.dz,none
dgdn.gov.dz,none
dgfp.gov.dz,none
djelfa.resid-sud.sante.gov.dz,none
dlpl.cnl.gov.dz,none
dms.mt.gov.dz,none
douane.gov.dz,none
douane.mkesm.gov.dz,none
dtourismebba.gov.dz,none
e-agrement-agent.mhuv.gov.dz,none
e-agrement-ingenieur.mhuv.gov.dz,none
e-certif-backend.mhuv.gov.dz,none
e-certif.mhuv.gov.dz,none
e-formation.education.gov.dz,none
e-verification-backend.mhuv.gov.dz,none
e-verification.mhuv.gov.dz,none
eagrement-pi.mhuv.gov.dz,none
education.gov.dz,10 mail.education.gov.dz.
el-oued.resid-sud.sante.gov.dz,none
elbayadh.resid-sud.sante.gov.dz,none
eldalil.gov.dz,none
elearning.douane.gov.dz,none
element.industrie.gov.dz,none
elfirma.madr.gov.dz,none
energy.gov.dz,none
erp.mfep.gov.dz,none
event.mfp.gov.dz,none
extranet.apn.gov.dz,none
form.madr.gov.dz,none
fr.madr.gov.dz,none
fs.mpt.gov.dz,none
gate.miph.gov.dz,none
gdps-test.energy.gov.dz,none
gdps.energy.gov.dz,none
ghardaia.resid-sud.sante.gov.dz,none
gitlab.madr.gov.dz,none
gov.dz,none
hackathon.mkesm.gov.dz,none
hcn.gov.dz,10 mail.hcn.gov.dz.
id.industrie.gov.dz,none
idara.mjs.gov.dz,none
illizi.resid-sud.sante.gov.dz,none
industrie.gov.dz,none
innokids.gov.dz,none
innovation.gov.dz,10 mail.innovation.gov.dz.
interieur.gov.dz,none
intramail.mfep.gov.dz,none
intranefp.mfep.gov.dz,none
intranet.mhuv.gov.dz,none
intranetdgi.mfdgi.gov.dz,none
invest.gov.dz,none
invest.mpeche.gov.dz,none
investir.mpeche.gov.dz,none
itissal.mjeunesse.gov.dz,none
jibayatic.mfdgi.gov.dz,none
jitsi.sante.gov.dz,none
keycloak.dev.mkesm.gov.dz,none
keycloak.mkesm.gov.dz,none
khadamet.dgfp.gov.dz,none
khidma.mfp.gov.dz,none
laghouat.resid-sud.sante.gov.dz,none
legacy.energy.gov.dz,none
loadbalance.mfp.gov.dz,none
m-culture.gov.dz,none
macnibe.interieur.gov.dz,none
madr.gov.dz,10 mail.madr.gov.dz.
mail.alnaft.gov.dz,none
mail.cerefe.gov.dz,none
mail.cneidffe.gov.dz,none
mail.cours.mpttn.gov.dz,none
mail.creg.gov.dz,none
mail.dgdn.gov.dz,none
mail.douane.gov.dz,none
mail.dtourismebba.gov.dz,none
mail.foncier-finance.gov.dz,none
mail.innovation.gov.dz,none
mail.madr.gov.dz,none
mail.mctamanghasset.gov.dz,none
mail.mfdgi.gov.dz,none
mail.mfep.gov.dz,none
mail.mhu.gov.dz,none
mail.mhuv.gov.dz,none
mail.mincommerce.gov.dz,none
mail.ministerecommunication.gov.dz,none
mail.mjeunesse.gov.dz,none
mail.mjs.gov.dz,none
mail.mkesm.gov.dz,none
mail.mpeche.gov.dz,none
mail.mpt.gov.dz,none
mail.mrp.gov.dz,none
mail.portail.mt.gov.dz.197-140-18-35.cprapid.com,none
mail.spm.gov.dz,none
mail2.ministerecommunication.gov.dz,none
