subdomain,mx
11denoviembre.gob.ec,10 mail.11denoviembre.gob.ec.
15d01.mspz2.gob.ec,20 mail.15d01.mspz2.gob.ec.
18d02.mspz3.gob.ec,12 18d02.mspz3.gob.ec.
5dejunio.gob.ec,0 5dejunio.gob.ec.
abaddon.cne.gob.ec,none
accesoremoto.finanzas.gob.ec,none
access.contraloria.gob.ec,none
access.senplades.gob.ec,none
act.atm.gob.ec,none
admin.educacion.gob.ec,none
admin.mintel.gob.ec,none
administracionpublica.gob.ec,5 mail.informatica.gob.ec.
adminwebex.cnt.gob.ec,none
adpm.gob.ec,none
ads.contactociudadano.gob.ec,none
adserver.contactociudadano.gob.ec,none
aduana.gob.ec,0 pmg01.aduana.gob.ec.; 25 correo.aduana.gob.ec.
agadpri.gob.ec,none
agopruc.gob.ec,none
agricultura.gob.ec,none
agrocalidad.gob.ec,none
agua.gob.ec,none
aguaquito.gob.ec,none
aguarico.gob.ec,none
aguasdelchuno.gob.ec,10 mail.aguasdelchuno.gob.ec.
aguasmachala.gob.ec,none
ajholguin.gob.ec,0 ajholguin.gob.ec.
alaquez.gob.ec,none
alausi.gob.ec,none
aloag.gob.ec,none
aloag.guangopolo.gob.ec,none
altorendimiento.gob.ec,none
amaguania.gob.ec,none
amaluzaazuay.gob.ec,none
amarillos.gob.ec,none
ambato.gob.ec,0 ambato-gob-ec.mail.protection.outlook.com.
ambiente.gob.ec,none
ame.gob.ec,none
ameguayas.gob.ec,none
amevirtual.gob.ec,none
anchayacu.gob.ec,none
angamarca.gob.ec,none
aplicaciones.administracionpublica.gob.ec,none
aplicaciones.cnt.gob.ec,none
aplicaciones.saludzona5.gob.ec,none
aplicacionesweb.epmmop.gob.ec,none
app.cne.gob.ec,none
app.iess.gob.ec,none
app.registrocivil.gob.ec,none
app1.registrocivil.gob.ec,none
app2.cne.gob.ec,none
app3.cne.gob.ec,none
aprim.gob.ec,none
archidona.epemapar.gob.ec,none
archidona.gob.ec,none
arosemenatola.gob.ec,none
artesanal.viceministerioap.gob.ec,none
asa.gob.ec,none
asesorvirtual.sercop.gob.ec,none
asfaltarep.gob.ec,none
asogoparna.conjupas.gob.ec,none
asogoparna.gob.ec,none
asogoparza-ch.gob.ec,none
atahualpahabaspamba.gob.ec,none
atencionciudadana.carchi.gob.ec,none
atm.gob.ec,none
augustonmartinez.gob.ec,0 _dc-mx.ee5541e33ef5.augustonmartinez.gob.ec.
auten.sercop.gob.ec,none
autodicover.cnt.gob.ec,none
autodiscover.bomberosquito.gob.ec,none
autodiscover.celec.gob.ec,none
autodiscover.celecloud.celec.gob.ec,none
autodiscover.cnt.gob.ec,none
autodiscover.comunicacion.gob.ec,none
autodiscover.contraloria.gob.ec,none
autodiscover.dinardap.gob.ec,none
autodiscover.dna.gob.ec,none
autodiscover.ecu911.gob.ec,none
autodiscover.educacion.gob.ec,none
autodiscover.epiep.gob.ec,none
autodiscover.ferrocarrilesdelecuador.gob.ec,none
autodiscover.finanzas.gob.ec,none
autodiscover.minjusticia.gob.ec,none
autodiscover.portoviejo.gob.ec,none
autodiscover.quito.gob.ec,none
autodiscover.ruminahui.gob.ec,none
autodiscover.secob.gob.ec,none
autodiscover.secom.gob.ec,none
autodiscover.senescyt.gob.ec,none
autodiscover.seps.gob.ec,none
autodiscover.sri.gob.ec,none
autodiscover.trolebus.gob.ec,none
autodiscover.uaf.gob.ec,none
autodiscover.ulco.gob.ec,none
autodiscover.vicepresidencia.gob.ec,none
av.educacion.gob.ec,none
av.mintel.gob.ec,none
aventura.quijos.gob.ec,none
avila.gob.ec,none
avl.cnt.gob.ec,none
ayapamba.gob.ec,none
balsas.gob.ec,0 balsas.gob.ec.
baquerizomoreno.gob.ec,none
barbones.gob.ec,none
barraganete.gob.ec,0 antispam.tramahosting.com.
bayushig.gob.ec,none
belisarioquevedo.gob.ec,none
bellamariasantarosa.gob.ec,none
bellavista.gob.ec,none
bellavistaeloro.gob.ec,none
benitez.gob.ec,none
bermejos.gob.ec,none
bi.finanzas.gob.ec,none
