type,label,website,hostname,level
government_agency,Agency for Quality Assurance of Health Services and Prepaid Medicine,http://www.acess.gob.ec/,acess.gob.ec,central
government_agency,Q29884258,http://www.acreditacion.gob.ec/#,acreditacion.gob.ec,
ministry,Ministry of Agriculture of Ecuador,http://www.agricultura.gob.ec/,agricultura.gob.ec,central
government_agency,Ministry of Agriculture of Ecuador,http://www.agricultura.gob.ec/,agricultura.gob.ec,central
government_agency,Agencia de Regulación y Control Fito y Zoosanitario,https://www.agrocalidad.gob.ec,agrocalidad.gob.ec,
government_agency,Embassy of France to Quito,http://www.ambafrance-ec.org/,ambafrance-ec.org,central
government_agency,"Ministry of Environment, Water and Ecological Transition",http://www.ambiente.gob.ec/,ambiente.gob.ec,central
ministry,"Ministry of Environment, Water and Ecological Transition",http://www.ambiente.gob.ec/,ambiente.gob.ec,central
government_agency,Secretaría de Ambiente de Quito,https://ambiente.quito.gob.ec,ambiente.quito.gob.ec,
government_agency,"Embassy of Italy, Quito",https://ambquito.esteri.it,ambquito.esteri.it,central
government_agency,National Archives of Ecuador,http://www.ane.gov.ec/,ane.gov.ec,
parliament,National Assembly,https://www.asambleanacional.gob.ec/,asambleanacional.gob.ec,central
supreme_court,National Assembly,https://www.asambleanacional.gob.ec/,asambleanacional.gob.ec,central
government_agency,Dirección General de Aviación Civil,https://www.aviacioncivil.gob.ec/,aviacioncivil.gob.ec,
government_agency,Central Bank of Ecuador,https://www.bce.ec,bce.ec,
government_agency,Central Bank of Ecuador,https://www.bce.ec/en/,bce.ec,
government_agency,National Library of Ecuador,http://biblioteca.casadelacultura.gob.ec/,biblioteca.casadelacultura.gob.ec,
government_agency,National Library of Ecuador,https://www.bne.gob.ec/,bne.gob.ec,
government_agency,embassy of Canada in Ecuador,https://www.canadainternational.gc.ca/ecuador-equateur,canadainternational.gc.ca,central
ministry,Ministry of Foreign Affairs and Migration of Ecuador,https://www.cancilleria.gob.ec/,cancilleria.gob.ec,central
government_agency,Ministry of Foreign Affairs and Migration of Ecuador,https://www.cancilleria.gob.ec/,cancilleria.gob.ec,central
government_agency,Quito Chamber of Commerce,https://ccq.ec/,ccq.ec,
government_agency,Operador Nacional de Electricidad - CENACE,https://www.cenace.gob.ec,cenace.gob.ec,
government_agency,embassy of Chile in Ecuador,https://chile.gob.cl/ecuador,chile.gob.cl,central
government_agency,Consejo Nacional Electoral de Ecuador,http://cne.gob.ec,cne.gob.ec,central
government_agency,Coordinating Ministry of Knowledge and Human Talent of Ecuador,http://www.conocimiento.gob.ec,conocimiento.gob.ec,central
ministry,Coordinating Ministry of Knowledge and Human Talent of Ecuador,http://www.conocimiento.gob.ec,conocimiento.gob.ec,central
government_agency,Consejo de Comunicación,https://www.consejodecomunicacion.gob.ec,consejodecomunicacion.gob.ec,
government_agency,"National Agency for Health Regulation, Control and Sanitary Surveillance",https://www.controlsanitario.gob.ec/,controlsanitario.gob.ec,
government_agency,Constitutional Court of Ecuador,https://www.corteconstitucional.gob.ec/,corteconstitucional.gob.ec,central
government_agency,National Court of Justice,http://www.cortenacional.gob.ec/cnj/,cortenacional.gob.ec,
government_agency,embassy of Cuba in Ecuador,http://www.cubadiplomatica.cu/ecuador,cubadiplomatica.cu,central
government_agency,Ministry of Culture and Heritage of Ecuador,http://www.culturaypatrimonio.gob.ec/,culturaypatrimonio.gob.ec,central
