type,label,website,hostname,level
university,"Arab Academy for Management, Banking and Financial Sciences",https://www.aambfs.org/,aambfs.org,university
university,Arab Academy for Science and Technology and Maritime Transport,https://aast.edu/,aast.edu,university
university,Ahram Canadian University,http://www.acu.edu.eg/,acu.edu.eg,university
university,Helwan National University,https://admission.hnu.edu.eg/#/home/main,admission.hnu.edu.eg,university
government_agency,"Embassy of Afghanistan, Cairo",https://afghanembassy-egypt.com/,afghanembassy-egypt.com,central
university,Alamein International University,https://aiu.edu.eg/,aiu.edu.eg,university
government_agency,Amiri Press,http://www.alamiria.com/Sec/Home,alamiria.com,
government_agency,Alexandria Public Transportation Authority,http://www.alexapta.org/ar/,alexapta.org,
government_agency,Alexandria Chamber of Commerce,http://alexcham.org/,alexcham.org,
university,Alexandria University,https://alexu.edu.eg,alexu.edu.eg,university
government_agency,"Embassy of Algeria, Cairo",https://algerianembassyincairo.org/,algerianembassyincairo.org,central
university,Alexandria National University,https://anu.edu.eg/ar/home,anu.edu.eg,university
government_agency,Arab Organization for Industrialization,https://www.aoi.org.eg,aoi.org.eg,
university,Arab Open University Egypt Branch,https://www.aou.edu.eg/ar/Pages/default.aspx,aou.edu.eg,university
university,Arab Open University,https://www.arabou.edu.kw/,arabou.edu.kw,university
university,Arish University,http://aru.edu.eg/,aru.edu.eg,university
university,Ain Shams University,https://www.asu.edu.eg/,asu.edu.eg,university
university,Aswan University,http://www.aswu.edu.eg,aswu.edu.eg,university
university,Assiut University,https://www.aun.edu.eg,aun.edu.eg,university
university,Al-Azhar University,http://www.azhar.edu.eg,azhar.edu.eg,university
university,Faculty of Medicine Al-Azhar University Girls Branch Cairo,http://www.azhar.edu.eg/fmgazhar/en/,azhar.edu.eg,university
university,Borg El Arab Technological University,https://batechu.com/,batechu.com,university
government_agency,Bibliotheca Alexandrina,https://www.bibalex.org/,bibalex.org,
university,Benha National University,https://bnu.edu.eg/,bnu.edu.eg,university
government_agency,British Council Egypt,http://www.britishcouncil.org.eg/en,britishcouncil.org.eg,
university,Beni-Suef University,https://www.bsu.edu.eg/,bsu.edu.eg,university
university,Benha University,https://www.bu.edu.eg,bu.edu.eg,university
university,Badr University in Cairo,https://www.buc.edu.eg/,buc.edu.eg,university
university,British University in Egypt,https://www.bue.edu.eg/,bue.edu.eg,university
government_agency,embassy of Burundi in Egypt,http://burundi-embassyinegypt.info/,burundi-embassyinegypt.info,central
government_agency,embassy of Romania in Egypt,http://cairo.mae.ro,cairo.mae.ro,central
government_agency,embassy of Estonia in Cairo,https://cairo.mfa.ee/,cairo.mfa.ee,central
government_agency,embassy of Uganda in Egypt,https://cairo.mofa.go.ug/,cairo.mofa.go.ug,central
government_agency,Central Bank of Egypt,https://www.cbe.org.eg/,cbe.org.eg,
government_agency,CCCPA,https://www.cccpa-eg.org/home,cccpa-eg.org,
university,Canadian International College,https://www.cic-cairo.edu.eg/,cic-cairo.edu.eg,university
government_agency,Central Metallurgical Research and Development Institute,http://www.cmrdi.sci.eg/,cmrdi.sci.eg,
university,Higher Institute of Engineering,http://www.csi.edu.eg//,csi.edu.eg,university
university,Culture & Science City,http://www.csi.edu.eg//,csi.edu.eg,university
university,Cairo University,http://www.cu.edu.eg,cu.edu.eg,university
government_agency,Custodian of the Holy Land,http://www.custodia.org/,custodia.org,
constitutional_court,Custodian of the Holy Land,http://www.custodia.org/,custodia.org,
university,Damanhour University,https://damanhour.edu.eg/,damanhour.edu.eg,university
university,Delta University for Science and Technology,https://www.deltauniv.edu.eg,deltauniv.edu.eg,university
university,"Faculty of Dentistry, Alexandria University",http://www.dent.alex.edu.eg/,dent.alex.edu.eg,university
university,"Faculty of Dentistry, Alexandria University",https://dent.alexu.edu.eg,dent.alexu.edu.eg,university
university,Deraya University,https://www.deraya.edu.eg,deraya.edu.eg,university
government_agency,Q95947970,http://drugcontrol.org.eg/Home/Index,drugcontrol.org.eg,
university,Delta Technological University,https://dtu.edu.eg/,dtu.edu.eg,university
university,Damietta University,http://www.du.edu.eg/en,du.edu.eg,university
government_agency,Egyptian Atomic Energy Authority,http://www.eaea.org.eg,eaea.org.eg,
government_agency,Q129987333,https://ealip.weebly.com/,ealip.weebly.com,
university,El Asher University,http://eau.edu.eg/,eau.edu.eg,university
government_agency,Q12206326,http://www.eca.org.eg/,eca.org.eg,
university,Egyptian Chinese University,https://www.ecu.edu.eg/,ecu.edu.eg,university
government_agency,Delegation of the European Union to Egypt,https://eeas.europa.eu/delegations/egypt_en,eeas.europa.eu,
university,Egyptian e-Learning University,http://www.eelu.edu.eg/,eelu.edu.eg,university
government_agency,Consulate-General of France in Alexandria,https://eg.ambafrance.org/-Le-Consulat-general-de-France-a-Alexandrie-,eg.ambafrance.org,
government_agency,Consulate-General of France in Alexandria,https://eg.ambafrance.org/-النسخة-العربية-Arabe-,eg.ambafrance.org,
government_agency,"Embassy of France, Giza",https://eg.ambafrance.org,eg.ambafrance.org,central
government_agency,embassy of Lithuania in Egypt,https://eg.mfa.lt,eg.mfa.lt,central
government_agency,embassy of Croatia in Egypt,http://eg.mvep.hr,eg.mvep.hr,central
government_agency,"Embassy of the United States, Cairo",https://eg.usembassy.gov/,eg.usembassy.gov,central
government_agency,Egyptian National Commission for UNESCO,https://www.egnatcom.org.eg/,egnatcom.org.eg,
government_agency,"Embassy of Russia, Egypt",https://egypt.mid.ru,egypt.mid.ru,central
government_agency,Ministry of Foreign Affairs of Egypt,https://www.egyptconsulates.org,egyptconsulates.org,central
ministry,Ministry of Foreign Affairs of Egypt,https://www.egyptconsulates.org,egyptconsulates.org,
government_agency,Q121027899,https://egyptcotton-catgo.org/HomePage.aspx,egyptcotton-catgo.org,
government_agency,embassy of Denmark in Egypt,https://egypten.um.dk,egypten.um.dk,central
government_agency,Egyptian Electric Utility and Consumer Protection Regulatory Agency,https://egyptera.org/ar/,egyptera.org,
government_agency,Egyptian Electric Utility and Consumer Protection Regulatory Agency,https://www.egyptera.org/en/,egyptera.org,
government_agency,Egyptian Health Council,https://www.ehc.eg/ar/,ehc.eg,
university,Egypt-Japan University of Science and Technology,https://ejust.edu.eg/,ejust.edu.eg,university
government_agency,National Elections Commission,https://www.elections.eg/home,elections.eg,central
university,Elsewedy University of Technology,https://elsewedyuniversityoftechnology.org/,elsewedyuniversityoftechnology.org,university
government_agency,Q12185728,http://www.epassociation.net/ar,epassociation.net,
government_agency,Egyptian Petroleum Research Institute,http://www.epri.sci.eg/,epri.sci.eg,
government_agency,embassy of Eritrea in Egypt,https://erembassy.com/en/,erembassy.com,central
government_agency,embassy of Eritrea in Egypt,https://erembassy.com/ti/,erembassy.com,central
government_agency,embassy of Eritrea in Egypt,https://erembassy.com/ar/,erembassy.com,central
university,Egyptian Russian University,https://www.eru.edu.eg,eru.edu.eg,university
university,Egypt University of Informatics,https://eui.edu.eg,eui.edu.eg,university
university,Fayoum University,http://www.fayoum.edu.eg/English/,fayoum.edu.eg,university
government_agency,embassy of Finland in Egypt,https://finlandabroad.fi/web/egy,finlandabroad.fi,central
university,Future University in Egypt,http://www.fue.edu.eg/,fue.edu.eg,university
government_agency,Q122241246,https://gopp.gggid.com/,gopp.gggid.com,
university,German University in Cairo,https://guc.edu.eg/,guc.edu.eg,university
government_agency,Housing and Building National Research Center,http://www.hbrc.edu.eg/en/Home.html,hbrc.edu.eg,
university,Capital University (Egypt),https://www.helwan.edu.eg/,helwan.edu.eg,university
university,Heliopolis University,http://www.hu.edu.eg/,hu.edu.eg,university
university,Hurghada University,http://www.hurghada.edu.eg,hurghada.edu.eg,university
university,Institute of Aviation Engineering and Technology,http://www.iaet-eg.org/wp,iaet-eg.org,university
university,International Branch of Cairo University,https://ibcu.cu.edu.eg/,ibcu.cu.edu.eg,university
government_agency,The General Authority for Construction and Housing Cooperatives,http://www.icch-eg.com,icch-eg.com,
government_agency,Q112303626,http://www.imc-egypt.org/index.php/ar/,imc-egypt.org,
government_agency,Supreme Council for Islamic Affairs (Egypt),http://islamic-council.net/,islamic-council.net,
government_agency,"Embassy of Germany, Cairo",https://kairo.diplo.de/eg-de,kairo.diplo.de,central
government_agency,"Embassy of Germany, Cairo",https://kairo.diplo.de/eg-ar,kairo.diplo.de,central
government_agency,"embassy of Hungary, Cairo",https://kairo.mfa.gov.hu/,kairo.mfa.gov.hu,central
government_agency,"Embassy of Slovenia, Cairo",http://www.kairo.veleposlanistvo.si/,kairo.veleposlanistvo.si,central
university,Kafr El-Sheikh University,http://www.kfs.edu.eg/,kfs.edu.eg,university
university,King Salman International University,https://ksiu.edu.eg/,ksiu.edu.eg,university
government_agency,Egyptian Lakes and Fish Resources Protection and Development Agency,https://lfrpda.org/,lfrpda.org,
university,Luxor University,http://www.luxor.edu.eg/,luxor.edu.eg,university
university,Mansoura University,https://www.mans.edu.eg,mans.edu.eg,university
university,Mansoura National University,https://www.mansnu.edu.eg/,mansnu.edu.eg,university
government_agency,Egyptian Radio and Television Union,https://www.maspero.eg/,maspero.eg,
university,Matrouh University,http://www.mau.edu.eg,mau.edu.eg,university
university,Cairo University Kasr Alainy  Faculty of Medicine,https://www.medicine.cu.edu.eg,medicine.cu.edu.eg,university
university,Menoufia National University,https://www.menofia.edu.eg/,menofia.edu.eg,university
government_agency,embassy of Bulgaria in Egypt,https://www.mfa.bg/embassies/egypt,mfa.bg,central
government_agency,Greek Consulate General in Alexandria,https://www.mfa.gr/missionsabroad/egypt/about-us/geniko-proxeneio-alexandreias.html,mfa.gr,
government_agency,embassy of Greece in Egypt,https://www.mfa.gr/missionsabroad/egypt.html,mfa.gr,central
government_agency,Greek Consulate General in Alexandria,https://www.mfa.gr/missionsabroad/en/egypt-en/about-us/consulate-general-in-alexandria.html,mfa.gr,
government_agency,Marine Industries and Services Organization,https://www.miaso.org.eg,miaso.org.eg,
university,Minia University,https://www.minia.edu.eg/Minia/,minia.edu.eg,university
university,Misr International University,http://www.miuegypt.edu.eg/,miuegypt.edu.eg,university
university,Military Medical Academy,http://www.mma.edu.eg/,mma.edu.eg,university
university,Faculty of Electronic Engineering,http://mnfwebportal.dyndns-server.com/fee1/,mnfwebportal.dyndns-server.com,university
