hostname,score,sources,label,level
asambleamadrid.es,7,wikidata;wikidata,Assembly of Madrid,
ccyl.es,7,wikidata;wikidata,Cortes of Castile-La Mancha,
ceice.gva.es,7,wikidata;wikidata,"Ministry of Education, Research, Culture and Sport | Ministry of Education, Culture and Sport of the Valencian Government",
cortesaragon.es,7,wikidata;wikidata,Aragonese Corts,
cortesgenerales.es,7,wikidata;wikidata,Cortes Generales,
cortsvalencianes.es,7,wikidata;wikidata,Corts Valencianes,
gva.es,7,wikidata;wikidata,Generalitat Valenciana | Q2993785,
juntaex.es,7,wikidata;wikidata,Consejería de Educación y Empleo | Junta de Extremadura,
melilla.es,7,wikidata;wikidata,Assembly of Melilla,
parcan.es,7,wikidata;wikidata,Canarian Parliament,
parlamentib.es,7,wikidata;wikidata,Parliament of the Balearic Islands,
parlamento-cantabria.es,7,wikidata;wikidata,Parliament of Cantabria,
parlamentodeandalucia.es,7,wikidata;wikidata,Parliament of Andalusia,
parlamentodenavarra.es,7,wikidata;wikidata,Parliament of Navarre,
bngipuzkoa.eus,6,wikidata;wikidata,General Assemblies of Gipuzkoa,
conselharan.org,6,wikidata;wikidata,Conselh,
euskadi.eus,6,wikidata;wikidata,Basque Government,
holyrosaryprovince.org,6,wikidata;wikidata,Dominican Province of Our Lady of the Rosary,
miteco.gob.es.,6,wikidata;wikidata,Ministry for the Ecological Transition and the Demographic Challenge,
parlament.cat,6,wikidata;wikidata,Parliament of Catalonia,
parlamentodegalicia.gal,6,wikidata;wikidata,Parliament of Galicia,
gov.gva.es,5,wikidata,Q21094623,
agricultura.gva.es,4,wikidata,Q11915347,
agroambient.gva.es,4,wikidata,Q107653107,
aragon.es,4,wikidata,Gobierno de Aragon,
asturias.es,4,wikidata,Government of the Principality of Asturias,
cabildodelapalma.es,4,wikidata,Cabildo Insular de La Palma,
caib.es,4,wikidata,Govern Balear,
cantabria.es,4,wikidata,Government of Cantabria,
carm.es,4,wikidata,Council of Government of the Region of Murcia,
dipsanet.es,4,wikidata,Diputación de Salamanca,
diputacionalicante.es,4,wikidata,Diputació d'Alacant,
franciscanosconventuales.es,4,wikidata,Province of Our Lady of Montserrat,
inclusio.gva.es,4,wikidata,Q796610,
indi.gva.es,4,wikidata,Q11915344,
jcyl.es,4,wikidata,Junta of Castile and León,
jesuitas.es,4,wikidata,Jesuit province of Spain,
navarra.es,4,wikidata,Government of Navarra,
altaribagorça.cat,3,wikidata,Comarcal Council of Alta Ribagorça,
altcamp.cat,3,wikidata,Comarcal Council of Alt Camp,
altemporda.org,3,wikidata,Comarcal Council of Alt Empordà,
alturgell.cat,3,wikidata,Comarcal Council of Alt Urgell,
anoia.cat,3,wikidata,Comarcal Council of Anoia,
araba.eus,3,wikidata,Álava Foral Council,
baixcamp.cat,3,wikidata,Comarcal Council of Baix Camp,
baixebre.cat,3,wikidata,Comarcal Council of Baix Ebre,
baixemporda.cat,3,wikidata,Comarcal Council of Baix Empordà,
bergueda.cat,3,wikidata,Comarcal Council of Berguedà,
bizkaia.net,3,wikidata,Biscay Foral Council,
ccapenedes.cat,3,wikidata,Comarcal Council of Alt Penedès,
ccbages.cat,3,wikidata,Comarcal Council of Bages,
ccbp.cat,3,wikidata,Comarcal Council of Baix Penedès,
ccgarraf.cat,3,wikidata,Comarcal Council of Garraf,
ccgarrigues.com,3,wikidata,Comarcal Council of Garrigues,
ccmaresme.cat,3,wikidata,Comarcal Council of Maresme,
ccmoianes.cat,3,wikidata,Comarcal Council of Moianès,
ccnoguera.cat,3,wikidata,Comarcal Council of Noguera,
ccosona.cat,3,wikidata,Comarcal Council of Osona,
ccsegarra.cat,3,wikidata,Comarcal Council of Segarra,
ccvoc.cat,3,wikidata,Comarcal Council of Vallès Occidental,
cerdanya.cat,3,wikidata,Comarcal Council of Cerdanya,
concadebarbera.cat,3,wikidata,Comarcal Council of Conca de Barberà,
culturadigital.blog.gencat.cat,3,wikidata,Q120542741,
diputaciodetarragona.cat,3,wikidata,Diputació de Tarragona,
diputaciolleida.cat,3,wikidata,Diputació de Lleida,
dominicoshispania.org,3,wikidata,Province of Hispania of the Order of Preachers,
elbaixllobregat.cat,3,wikidata,Comarcal Council of Baix Llobregat,
escolapia.cat,3,wikidata,Piarist Province of Catalonia,
escolapiosbetania.org,3,wikidata,Piarist Province of Bethany,
escolapiosemaus.org,3,wikidata,Piarist Province of Emmaus,
garrotxa.cat,3,wikidata,Comarcal Council of Garrotxa,
gipuzkoa.eus,3,wikidata,Gipuzkoa Foral Council,
girones.cat,3,wikidata,Comarcal Council of Gironès,
gobiernodecanarias.org,3,wikidata,Gobierno de Canarias,
govern.cat,3,wikidata,Government of Catalonia,
hermanoscapuchinos.org,3,wikidata,Capuchin Province of Spain,
industria.ejgv.euskadi.net,3,wikidata,Department of Economic Development and Competitiveness,
larioja.org,3,wikidata,Government of La Rioja,
montsia.cat,3,wikidata,Comarcal Council of Montsià,
ofminmaculada.org,3,wikidata,Franciscan province of the Immaculated Conception,
ofmsantiago.com,3,wikidata,Franciscan province of Santiago,
pallarsjussa.org,3,wikidata,Comarcal Council of Pallars Jussà,
pallarssobira.cat,3,wikidata,Comarcal Council of Pallars Sobirà,
plaestany.cat,3,wikidata,Comarcal Council of Pla de l'Estany,
plaurgell.cat,3,wikidata,Comarcal Council of Pla d'Urgell,
priorat.cat,3,wikidata,Comarcal Council of Priorat,
riberaebre.org,3,wikidata,Comarcal Council of Ribera d'Ebre,
ripolles.cat,3,wikidata,Comarcal Council of Ripollès,
salesianos.edu,3,wikidata,Salesian Province of Mary Help of Christians,
segria.cat,3,wikidata,Comarcal Council of Segrià,
selva.cat,3,wikidata,Comarcal Council of La Selva,
serfranciscano.org,3,wikidata,Franciscan province of Arantzazu,
solsones.ddl.net,3,wikidata,Comarcal Council of Solsonès,
tarragones.cat,3,wikidata,Comarcal Council of Tarragonès,
terra-alta.cat,3,wikidata,Comarcal Council of Terra Alta,
urgell.cat,3,wikidata,Comarcal Council of Urgell,
vallesoriental.cat,3,wikidata,Comarcal Council of Vallès Oriental,
web.gencat.cat,3,wikidata,Generalitat of Catalonia,
xunta.gal,3,wikidata,Xunta de Galicia,
juntadeandalucia.es,2,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Consejería de Medio Ambiente y Ordenación del Territorio | Consejería de Educación de la Junta de Andalucía | Council of Employment of the Junta de Andalucía | Ministry of the Presidency of the Junta de Andalucía | Q10862925 | Q5485584 | Q5783647 | Q5783671 | Q5783652 | Q5783675 | Q5783673 | Q5783679 | Q5783684 | Q16552044 | Government of Andalusia,
