hostname,score,sources,label,level,http_status,mx
aemet.es,10,wikidata;linkgraph,Agencia Estatal de Meteorología,,HttpConnectTimeoutException: HTTP connect timed out,5 mail1.correo.gob.es.; 5 mail2.correo.gob.es.
aepd.es,10,wikidata;linkgraph,Spanish Data Protection Agency,central,301,10 mail1.correo.gob.es.; 10 mail2.correo.gob.es.
asturias.es,10,wikidata;wikidata;wikidata;linkgraph,Government of the Principality of Asturias | Q9076467,central-1,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
boe.es,10,wikidata;linkgraph,State Agency for the Official State Gazette,,HttpConnectTimeoutException: HTTP connect timed out,10 boe-es.mail.protection.outlook.com.
carm.es,10,wikidata;wikidata;linkgraph,Council of Government of the Region of Murcia,central-1,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,5 carm-es.mail.protection.outlook.com.
castillalamancha.es,10,wikidata;wikidata;wikidata;linkgraph,Regional Government of Castilla–La Mancha | Regional Government of Castile-La Mancha,central-1,200,none
comunidad.madrid,10,wikidata;wikidata;linkgraph,"Community of Madrid Fire Department | Instituto Madrileño de Investigación y Desarrollo Rural, Agrario y Alimentario",central-1,301,10 mx1.hc1855-42.eu.iphmx.com.; 20 mail.madrid.org.; 10 mx2.hc1855-42.eu.iphmx.com.
csic.es,10,wikidata;wikidata;wikidata;linkgraph,Spanish National Research Council | Centro de Recursos Fitogenéticos,central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mx.csic.es.
dgt.es,10,wikidata;wikidata;linkgraph,Directorate-General for Traffic,,302,10 mail1.correo.gob.es.; 10 mail2.correo.gob.es.
gva.es,10,wikidata;wikidata;wikidata;wikidata;linkgraph,Generalitat Valenciana | Q2993785,central-1,ConnectException,10 pro-lbvs0-gva-i-mxexterno.gva.es.
juntadeandalucia.es,10,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;linkgraph,"Jaen University Hospital | Q10862925 | Q16552044 | Ministry of Culture and Historical Heritage of the Junta de Andalucía | Consejería de Salud | Instituto de Estadística y Cartografía de Andalucía | Q5783679 | Q5485584 | Consejería de Economía Innovación Ciencia y Empleo | Consejería de Medio Ambiente y Ordenación del Territorio | Q5783673 | Ministry of the Presidency of the Junta de Andalucía | Q5783671 | Council of Employment of the Junta de Andalucía | Agencia de Servicios Sociales y Dependencia de Andalucía | Consejería de Educación de la Junta de Andalucía | Consejería de Educación Cultura y Deporte | Q140535849 | Q5783652 | Centro Andaluz de las Letras | Q140536751 | Q5783684 | Consejería de Economía y Hacienda | Progress and Health Foundation | Government of Andalusia | Q5783647 | Q140536646 | Q5783675 | Consejería de Igualdad, Salud y Políticas Sociales",central-1,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,5 juntadeandalucia.in.tmes.trendmicro.eu.
madrid.org,10,wikidata;wikidata;wikidata;wikidata;wikidata;linkgraph,"Consejería de Educación, Juventud y Deporte | Government of the Community of Madrid | Oficina Regional de Coordinación de Salud Mental | Servicio Madrileño de Salud",central-1,ConnectException,20 mail.madrid.org.; 10 mx2.hc1855-42.eu.iphmx.com.; 10 mx1.hc1855-42.eu.iphmx.com.
navarra.es,10,wikidata;wikidata;wikidata;wikidata;wikidata;linkgraph,Government of Navarra | Departamento de Salud (Navarre) | Servicio Navarro de Salud-Osasunbidea | Policía Foral,central-1,301,10 smtp2.navarra.es.; 10 smtp3.navarra.es.
ordenacionjuego.es,10,wikidata;wikidata;linkgraph,Dirección General de Ordenación del Juego,central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
gobiernodecanarias.org,9,wikidata;wikidata;wikidata;wikidata;wikidata;linkgraph,"Caldera de Taburiente National Park | Agencia Canaria de Investigación, Innovación y Sociedad de la Información | Cuerpo General de Policía Canaria | Gobierno de Canarias",central-1,301,10 smtp-tf.gobiernodecanarias.org.; 10 smtp-lp.gobiernodecanarias.org.
red.es,9,wikidata;linkgraph,Red.es,central,308,10 red-es.mail.protection.outlook.com.
gov.gva.es,8,wikidata;wikidata;wikidata;wikidata,Q21094623 | Q11915354,central-1,ConnectException,none
ine.es,8,wikidata;linkgraph,National Statistics Institute,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mxb-006a4e02.gslb.pphosted.com.; 10 mxa-006a4e02.gslb.pphosted.com.
agricultura.gva.es,7,wikidata;wikidata,Q11915347,,HttpConnectTimeoutException: HTTP connect timed out,none
agroambient.gva.es,7,wikidata;wikidata,Q107653107,,HttpConnectTimeoutException: HTTP connect timed out,dig error
ahk.es,7,wikidata;wikidata,Cámara de Comercio Alemana para España,,302,10 ahk-es.mail.protection.outlook.com.
aragon.es,7,wikidata;wikidata;wikidata;wikidata,Q136334222 | Servicio Aragonés de Salud | Gobierno de Aragon,central-1,301,20 mx02.aragon.es.; 10 mx01.aragon.es.
armada.mde.es,7,wikidata;wikidata,General Staff of the Spanish Navy | Spanish Navy,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
asambleaex.es,7,wikidata;wikidata,Assembly of Extremadura,central-1,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,20 asambleaex-es-2.fortimailcloud.com.; 10 asambleaex-es-1.fortimailcloud.com.
