subdomain,http_status,mx
desa-servicio.mapama.gob.es,ConnectException > UnresolvedAddressException,
desa-servicios.mapama.gob.es,ConnectException > UnresolvedAddressException,
eportal.mapama.gob.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
formacion-servicio.mapama.gob.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
integra-servicio.mapama.gob.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
iportal.mapama.gob.es,ConnectException > UnresolvedAddressException,
mapama.gob.es,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
origin.mapama.gob.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
preservicio.mapama.gob.es,ConnectException > UnresolvedAddressException,
preservicio2.mapama.gob.es,ConnectException > UnresolvedAddressException,
reposig.mapama.gob.es,ConnectException > UnresolvedAddressException,
sede.mapama.gob.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
servicio.mapama.gob.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
servicios.mapama.gob.es,ConnectException > UnresolvedAddressException,
sig.mapama.gob.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
sigapps.mapama.gob.es,ConnectException > UnresolvedAddressException,
sigintranet.mapama.gob.es,ConnectException > UnresolvedAddressException,
sigintranettile1.mapama.gob.es,ConnectException > UnresolvedAddressException,
sigpac.mapama.gob.es,ConnectException > UnresolvedAddressException,
sigtile1.mapama.gob.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
soportesig.mapama.gob.es,ConnectException > UnresolvedAddressException,
test-servicio.mapama.gob.es,ConnectException > UnresolvedAddressException,
test-servicios.mapama.gob.es,ConnectException > UnresolvedAddressException,
wms.mapama.gob.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
wmts.mapama.gob.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
www.mapama.gob.es,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
