subdomain,http_status,mx
acceso.senado.es,ConnectException > UnresolvedAddressException,
apps.senado.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
autodiscover.senado.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
correo.senado.es,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
correo3.senado.es,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
dav.senbox.senado.es,ConnectException > UnresolvedAddressException,
download.senmsg.senado.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
eventos.senado.es,ConnectException > UnresolvedAddressException,
fr.senado.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
intranet.senado.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
noticias.senado.es,ConnectException > ClosedChannelException,
pequenosenado.senado.es,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
portal.senado.es,ConnectException > UnresolvedAddressException,
pr.senado.es,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
provisionserver.senado.es,ConnectException > UnresolvedAddressException,
sede.senado.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
seguridad.senado.es,ConnectException > UnresolvedAddressException,
senado.es,403,none
senadocultural.senado.es,403,
senadt.senado.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
senapl.senado.es,ConnectException > ClosedChannelException,
senapps.senado.es,ConnectException > UnresolvedAddressException,
senbox.senado.es,ConnectException > UnresolvedAddressException,
senclp.senado.es,ConnectException > UnresolvedAddressException,
sencorreo.senado.es,ConnectException > UnresolvedAddressException,
sendesadt.senado.es,ConnectException > UnresolvedAddressException,
sendesapf.senado.es,ConnectException > UnresolvedAddressException,
sendesatramita.senado.es,ConnectException > UnresolvedAddressException,
senext.senado.es,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
senfed.senado.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
senfr.senado.es,ConnectException > UnresolvedAddressException,
senmbg.senado.es,ConnectException > UnresolvedAddressException,
senmdmc.senado.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
senmdms.senado.es,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
senmfa.senado.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
senmico.senado.es,ConnectException > UnresolvedAddressException,
senmsg.senado.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
senpf.senado.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
senredext.senado.es,ConnectException > UnresolvedAddressException,
sensso.senado.es,ConnectException > UnresolvedAddressException,
senstream03.senado.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
sentramita.senado.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
soap.senbox.senado.es,ConnectException > UnresolvedAddressException,
sso.senado.es,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
videoservlet.senado.es,400,
visitavirtual.senado.es,403,
www.senado.es,403,none
www.senbox.senado.es,ConnectException > UnresolvedAddressException,
