subdomain,http_status,mx
dr.riigikogu.ee,200,
enos.riigikogu.ee,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
idterm.riigikogu.ee,ConnectException > UnresolvedAddressException,
m.riigikogu.ee,ConnectException > UnresolvedAddressException,
mud.riigikogu.ee,200,
mustik.riigikogu.ee,ConnectException > UnresolvedAddressException,
mx.riigikogu.ee,ConnectException > UnresolvedAddressException,
ns.riigikogu.ee,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
nupsik.riigikogu.ee,403,
okas.riigikogu.ee,404,
riigikogu.ee,301,10 ns.riigikogu.ee.; 10 enos.riigikogu.ee.
rubik.riigikogu.ee,403,
rudolf.riigikogu.ee,ConnectException > UnresolvedAddressException,
sipsik.riigikogu.ee,403,
spencer.riigikogu.ee,ConnectException > UnresolvedAddressException,
tehisaru-test.riigikogu.ee,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
tehisaru.riigikogu.ee,302,
www.riigikogu.ee,200,
