type,label,website,hostname,level
ministry,Ministry of Regional Affairs and Agriculture,http://www.agri.ee/,agri.ee,
government_agency,Ministry of Regional Affairs and Agriculture,http://www.agri.ee/,agri.ee,central
government_agency,Estonian Data Protection Inspectorate,http://www.aki.ee/,aki.ee,central
government_agency,embassy of Italy in Tallinn,https://ambtallinn.esteri.it,ambtallinn.esteri.it,central
government_agency,Archimedes Foundation,http://archimedes.ee/en/foundation/,archimedes.ee,
government_agency,Embassy of Austria in Tallinn,https://www.bmeia.gv.at/oeb-tallinn/,bmeia.gv.at,central
government_agency,Embassy of the People's Republic of China in Tallinn,http://www.chinaembassy.ee,chinaembassy.ee,central
government_agency,Estonian E-Health Foundation,http://www.e-tervis.ee/,e-tervis.ee,
government_agency,Estonian Space Office,http://www.eas.ee/kosmos,eas.ee,
government_agency,Embassy of France in Tallinn,https://ee.ambafrance.org/,ee.ambafrance.org,central
government_agency,Embassy of Japan in Tallinn,https://www.ee.emb-japan.go.jp,ee.emb-japan.go.jp,central
government_agency,Lithuanian Embassy in Tallinn,http://ee.mfa.lt,ee.mfa.lt,central
government_agency,United States Embassy in Estonia,https://ee.usembassy.gov/,ee.usembassy.gov,central
government_agency,Bank of Estonia,https://www.eestipank.ee/,eestipank.ee,
government_agency,Geological Survey of Estonia,https://egt.ee,egt.ee,
government_agency,Institute of the Estonian Language,https://eki.ee/en/,eki.ee,
government_agency,Estonian Tax and Customs Board,https://www.emta.ee,emta.ee,
government_agency,Ministry of Climate,https://envir.ee/,envir.ee,central
ministry,Ministry of Climate,https://envir.ee/,envir.ee,
government_agency,Estonian Patent Office,http://www.epa.ee/,epa.ee,central
government_agency,embassy of Denmark in Tallinn,https://estland.um.dk,estland.um.dk,central
government_agency,embassy of Belarus in Tallinn,https://estonia.mfa.gov.by,estonia.mfa.gov.by,central
government_agency,embassy of Georgia in Tallinn,http://www.estonia.mfa.gov.ge,estonia.mfa.gov.ge,central
government_agency,embassy of Moldova in Tallinn,https://estonia.mfa.gov.md,estonia.mfa.gov.md,central
government_agency,Embassy of Ukraine in Tallinn,https://estonia.mfa.gov.ua/,estonia.mfa.gov.ua,central
government_agency,Embassy of Russia in Tallinn,https://estonia.mid.ru,estonia.mid.ru,central
government_agency,European Commission Representation in Estonia,https://estonia.representation.ec.europa.eu/,estonia.representation.ec.europa.eu,
government_agency,Estonian Research Agency,http://www.etag.ee/,etag.ee,
