subdomain,http_status
domesticrepat.mcttt.gov.fj,"Could not resolve host: domesticrepat.mcttt.gov.fj"
egov.gov.fj,"Could not resolve host: egov.gov.fj"
edoc.mcttt.gov.fj,"Could not resolve host: edoc.mcttt.gov.fj"
elearning.fccc.gov.fj,"Could not resolve host: elearning.fccc.gov.fj"
employment.gov.fj,"Could not resolve host: employment.gov.fj"
exh-caht2.rbf.gov.fj,"Could not resolve host: exh-caht2.rbf.gov.fj"
eservice.rbf.gov.fj,"Could not resolve host: eservice.rbf.gov.fj"
epricingpilotrun.fccc.gov.fj,"Could not resolve host: epricingpilotrun.fccc.gov.fj"
fccc.gov.fj,"Could not resolve host: fccc.gov.fj"
eservices.gov.fj,"Could not resolve host: eservices.gov.fj"
fiji.gov.fj,"Could not resolve host: fiji.gov.fj"
epassportportal.immi.gov.fj,"Could not resolve host: epassportportal.immi.gov.fj"
exh13-caht1.rbf.gov.fj,"Could not resolve host: exh13-caht1.rbf.gov.fj"
exh-caht1.rbf.gov.fj,"Could not resolve host: exh-caht1.rbf.gov.fj"
epricingtest.fccc.gov.fj,"Could not resolve host: epricingtest.fccc.gov.fj"
feedback.fccc.gov.fj,"Could not resolve host: feedback.fccc.gov.fj"
ep2.fccc.gov.fj,"Could not resolve host: ep2.fccc.gov.fj"
fijiancivilservice.gov.fj,"Could not resolve host: fijiancivilservice.gov.fj"
fisheries.gov.fj,"Could not resolve host: fisheries.gov.fj"
fijianmade.gov.fj,"Could not resolve host: fijianmade.gov.fj"
fijindp.gov.fj,"Could not resolve host: fijindp.gov.fj"
fleet.economy.gov.fj,"Could not resolve host: fleet.economy.gov.fj"
fpo.gov.fj,"Could not resolve host: fpo.gov.fj"
fijifiu.gov.fj,"Could not resolve host: fijifiu.gov.fj"
fls.gov.fj,"Could not resolve host: fls.gov.fj"
health.gov.fj,"Could not resolve host: health.gov.fj"
forestry.gov.fj,"Could not resolve host: forestry.gov.fj"
helpdesk.mcttt.gov.fj,"Could not resolve host: helpdesk.mcttt.gov.fj"
forms.itc.gov.fj,"Could not resolve host: forms.itc.gov.fj"
hris.mcttt.gov.fj,"Could not resolve host: hris.mcttt.gov.fj"
inventoryportal.economy.gov.fj,"Could not resolve host: inventoryportal.economy.gov.fj"
hris.mitt.gov.fj,"Could not resolve host: hris.mitt.gov.fj"
hrm.fhec.gov.fj,"Could not resolve host: hrm.fhec.gov.fj"
housing.gov.fj,"Could not resolve host: housing.gov.fj"
itc.gov.fj,"Could not resolve host: itc.gov.fj"
itaukeiaffairsboard.tab.gov.fj,"Could not resolve host: itaukeiaffairsboard.tab.gov.fj"
judgments.ag.gov.fj,"Could not resolve host: judgments.ag.gov.fj"
judiciary.gov.fj,"Could not resolve host: judiciary.gov.fj"
justice.gov.fj,"Could not resolve host: justice.gov.fj"
laws.gov.fj,"Could not resolve host: laws.gov.fj"
keyentry.met.gov.fj,"Could not resolve host: keyentry.met.gov.fj"
licence.mcttt.gov.fj,"Could not resolve host: licence.mcttt.gov.fj"
lands.gov.fj,"Could not resolve host: lands.gov.fj"
licence.mitt.gov.fj,"Could not resolve host: licence.mitt.gov.fj"
lpgtraining.fccc.gov.fj,"Could not resolve host: lpgtraining.fccc.gov.fj"
lms.met.gov.fj,"Could not resolve host: lms.met.gov.fj"
mail.dns.fccc.gov.fj,"Could not resolve host: mail.dns.fccc.gov.fj"
mail.education.gov.fj,"Could not resolve host: mail.education.gov.fj"
mail.ag.gov.fj,"Could not resolve host: mail.ag.gov.fj"
mail.fijifiu.gov.fj,"Could not resolve host: mail.fijifiu.gov.fj"
mail.fisheries.gov.fj,"Could not resolve host: mail.fisheries.gov.fj"
mail.fccc.gov.fj,"Could not resolve host: mail.fccc.gov.fj"
mail.rise.gov.fj,"Could not resolve host: mail.rise.gov.fj"
autodiscover.rbf.gov.fj,"Failed to connect to autodiscover.rbf.gov.fj port 443 after 335 ms: Could not connect to server"
cpanel.dns.fccc.gov.fj,"Could not resolve host: cpanel.dns.fccc.gov.fj"
digital.gov.fj,"Could not resolve host: digital.gov.fj"
bpec.mcttt.gov.fj,"Could not resolve host: bpec.mcttt.gov.fj"
20ccem.gov.fj,"SSL: no alternative certificate subject name matches target hostname '20ccem.gov.fj'"
commcomm.gov.fj,"Could not resolve host: commcomm.gov.fj"
cpanel.commcomm.gov.fj,"Could not resolve host: cpanel.commcomm.gov.fj"
mail.fijianmade.gov.fj,"Could not resolve host: mail.fijianmade.gov.fj"
mail.rbf.gov.fj,"Could not resolve host: mail.rbf.gov.fj"
autodiscover.mitt.gov.fj,"Could not resolve host: autodiscover.mitt.gov.fj"
mcsmoodle.gov.fj,"Could not resolve host: mcsmoodle.gov.fj"
