subdomain,http_status,mx
20ccem.gov.fj,SSL: no alternative certificate subject name matches target hostname '20ccem.gov.fj',none
ag.gov.fj,200,10 cust62323-2.in.mailcontrol.com.; 10 cust62323-1.in.mailcontrol.com.
agriculture.gov.fj,Connection timed out after 3001 milliseconds,10 cust62323-2.in.mailcontrol.com.; 10 cust62323-1.in.mailcontrol.com.
app.fijianmade.gov.fj,200,none
askcpud.economy.gov.fj,Connection timed out after 3002 milliseconds,none
autodiscover.fijianmade.gov.fj,400,none
autodiscover.hris.mitt.gov.fj,Could not resolve host: autodiscover.hris.mitt.gov.fj,none
autodiscover.mcttt.gov.fj,400,none
autodiscover.mitt.gov.fj,Could not resolve host: autodiscover.mitt.gov.fj,none
autodiscover.rbf.gov.fj,Failed to connect to autodiscover.rbf.gov.fj port 443 after 335 ms: Could not connect to server,none
autodiscover.rise.gov.fj,400,none
autodiscover.youthawards.gov.fj,400,none
bpec.mcttt.gov.fj,Could not resolve host: bpec.mcttt.gov.fj,none
carefiji.digitalfiji.gov.fj,Connection timed out after 3002 milliseconds,none
carefijiportal.digitalfiji.gov.fj,Could not resolve host: carefijiportal.digitalfiji.gov.fj,none
checkin.digitalfiji.gov.fj,SSL: no alternative certificate subject name matches target hostname 'checkin.digitalfiji.gov.fj',none
china.foreignaffairs.gov.fj,Connection timed out after 3002 milliseconds,none
civilaviation.gov.fj,Could not resolve host: civilaviation.gov.fj,10 cust62323-2.in.mailcontrol.com.; 10 cust62323-1.in.mailcontrol.com.
cloudserver.fccc.gov.fj,406,none
cohnominations.gov.fj,Could not resolve host: cohnominations.gov.fj,10 cust62323-2.in.mailcontrol.com.; 10 cust62323-1.in.mailcontrol.com.
commcomm.gov.fj,Could not resolve host: commcomm.gov.fj,none
commonsensing.gov.fj,Connection timed out after 3001 milliseconds,10 cust62322-1.in.mailcontrol.com.; 10 cust62322-2.in.mailcontrol.com.
covidpass.mcttt.gov.fj,200,none
cpanel.ag.gov.fj,Could not resolve host: cpanel.ag.gov.fj,none
cpanel.commcomm.gov.fj,Could not resolve host: cpanel.commcomm.gov.fj,none
cpanel.dns.fccc.gov.fj,Could not resolve host: cpanel.dns.fccc.gov.fj,none
cpanel.education.gov.fj,Could not resolve host: cpanel.education.gov.fj,none
cpanel.fccc.gov.fj,200,none
cpanel.fijianmade.gov.fj,500,0 mail.fijianmade.gov.fj.
cpanel.fisheries.gov.fj,Could not resolve host: cpanel.fisheries.gov.fj,none
cpanel.helpdesk.mlmr.gov.fj,TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure,none
cpanel.hris.mitt.gov.fj,Could not resolve host: cpanel.hris.mitt.gov.fj,none
cpanel.mcttt.gov.fj,500,0 mail.mcttt.gov.fj.
cpanel.mitt.gov.fj,Could not resolve host: cpanel.mitt.gov.fj,none
cpanel.rise.gov.fj,500,0 mail.rise.gov.fj.
cpanel.youthawards.gov.fj,500,0 mail.youthawards.gov.fj.
cpcalendars.ag.gov.fj,Could not resolve host: cpcalendars.ag.gov.fj,none
cpcalendars.fccc.gov.fj,401,none
cpcalendars.fijianmade.gov.fj,500,none
cpcalendars.hris.mitt.gov.fj,Could not resolve host: cpcalendars.hris.mitt.gov.fj,none
cpcalendars.mcttt.gov.fj,500,none
cpcalendars.mitt.gov.fj,Could not resolve host: cpcalendars.mitt.gov.fj,none
cpcalendars.rise.gov.fj,500,none
cpcalendars.youthawards.gov.fj,500,none
cpcontacts.ag.gov.fj,Could not resolve host: cpcontacts.ag.gov.fj,none
cpcontacts.fccc.gov.fj,401,none
cpcontacts.fijianmade.gov.fj,500,none
cpcontacts.hris.mitt.gov.fj,Could not resolve host: cpcontacts.hris.mitt.gov.fj,none
cpcontacts.mcttt.gov.fj,500,none
cpcontacts.mitt.gov.fj,Could not resolve host: cpcontacts.mitt.gov.fj,none
cpcontacts.rise.gov.fj,500,none
cpcontacts.youthawards.gov.fj,500,none
defence.gov.fj,Could not resolve host: defence.gov.fj,10 cust62323-1.in.mailcontrol.com.; 10 cust62323-2.in.mailcontrol.com.
