subdomain,mx
20ccem.gov.fj,none
ag.gov.fj,10 cust62323-2.in.mailcontrol.com.; 10 cust62323-1.in.mailcontrol.com.
agriculture.gov.fj,10 cust62323-2.in.mailcontrol.com.; 10 cust62323-1.in.mailcontrol.com.
app.fijianmade.gov.fj,none
askcpud.economy.gov.fj,none
autodiscover.fijianmade.gov.fj,none
autodiscover.hris.mitt.gov.fj,none
autodiscover.mcttt.gov.fj,none
autodiscover.mitt.gov.fj,none
autodiscover.rbf.gov.fj,none
autodiscover.rise.gov.fj,none
autodiscover.youthawards.gov.fj,none
bpec.mcttt.gov.fj,none
carefiji.digitalfiji.gov.fj,none
carefijiportal.digitalfiji.gov.fj,none
checkin.digitalfiji.gov.fj,none
china.foreignaffairs.gov.fj,none
civilaviation.gov.fj,10 cust62323-2.in.mailcontrol.com.; 10 cust62323-1.in.mailcontrol.com.
cloudserver.fccc.gov.fj,none
cohnominations.gov.fj,10 cust62323-2.in.mailcontrol.com.; 10 cust62323-1.in.mailcontrol.com.
commcomm.gov.fj,none
commonsensing.gov.fj,10 cust62322-1.in.mailcontrol.com.; 10 cust62322-2.in.mailcontrol.com.
covidpass.mcttt.gov.fj,none
cpanel.ag.gov.fj,none
cpanel.commcomm.gov.fj,none
cpanel.dns.fccc.gov.fj,none
cpanel.education.gov.fj,none
cpanel.fccc.gov.fj,none
cpanel.fijianmade.gov.fj,0 mail.fijianmade.gov.fj.
cpanel.fisheries.gov.fj,none
cpanel.helpdesk.mlmr.gov.fj,none
cpanel.hris.mitt.gov.fj,none
cpanel.mcttt.gov.fj,0 mail.mcttt.gov.fj.
cpanel.mitt.gov.fj,none
cpanel.rise.gov.fj,0 mail.rise.gov.fj.
cpanel.youthawards.gov.fj,0 mail.youthawards.gov.fj.
cpcalendars.ag.gov.fj,none
cpcalendars.fccc.gov.fj,none
cpcalendars.fijianmade.gov.fj,none
cpcalendars.hris.mitt.gov.fj,none
cpcalendars.mcttt.gov.fj,none
cpcalendars.mitt.gov.fj,none
cpcalendars.rise.gov.fj,none
cpcalendars.youthawards.gov.fj,none
cpcontacts.ag.gov.fj,none
cpcontacts.fccc.gov.fj,none
cpcontacts.fijianmade.gov.fj,none
cpcontacts.hris.mitt.gov.fj,none
cpcontacts.mcttt.gov.fj,none
cpcontacts.mitt.gov.fj,none
cpcontacts.rise.gov.fj,none
cpcontacts.youthawards.gov.fj,none
defence.gov.fj,10 cust62323-1.in.mailcontrol.com.; 10 cust62323-2.in.mailcontrol.com.
demo.fccc.gov.fj,none
demo.fijianmade.gov.fj,none
dev.fccc.gov.fj,none
digital.gov.fj,none
digitalfiji.gov.fj,10 cust62323-2.in.mailcontrol.com.; 10 cust62323-1.in.mailcontrol.com.
dns.fccc.gov.fj,none
domesticrepat.mcttt.gov.fj,none
economy.gov.fj,10 cust62323-1.in.mailcontrol.com.; 10 cust62323-2.in.mailcontrol.com.
edoc.mcttt.gov.fj,none
egov.gov.fj,10 cust62323-1.in.mailcontrol.com.; 10 cust62323-2.in.mailcontrol.com.
elearn.fccc.gov.fj,none
elearning.fccc.gov.fj,none
employment.gov.fj,10 cust62323-1.in.mailcontrol.com.; 10 cust62323-2.in.mailcontrol.com.
ep2.fccc.gov.fj,none
epassportportal.immi.gov.fj,none
epricing.fccc.gov.fj,none
epricingpilotrun.fccc.gov.fj,none
epricingtest.fccc.gov.fj,none
eservice.rbf.gov.fj,none
eservices.gov.fj,none
exh-caht1.rbf.gov.fj,none
exh-caht2.rbf.gov.fj,none
exh-caht3.rbf.gov.fj,none
exh13-caht1.rbf.gov.fj,none
fccc.gov.fj,none
feedback.fccc.gov.fj,none
fiji.gov.fj,none
fijiancivilservice.gov.fj,10 cust62323-1.in.mailcontrol.com.; 10 cust62323-2.in.mailcontrol.com.
fijianmade.gov.fj,none
fijifiu.gov.fj,none
fijindp.gov.fj,none
fisheries.gov.fj,10 cust62323-2.in.mailcontrol.com.; 10 cust62323-1.in.mailcontrol.com.
fleet.economy.gov.fj,none
fls.gov.fj,10 cust62323-2.in.mailcontrol.com.; 10 cust62323-1.in.mailcontrol.com.
forestry.gov.fj,none
forms.itc.gov.fj,none
fpo.gov.fj,10 cust62323-2.in.mailcontrol.com.; 10 cust62323-1.in.mailcontrol.com.
gov.fj,10 imc4.govnet.gov.fj.; 20 imc5.govnet.gov.fj.; 10 imc7.govnet.gov.fj.; 20 imc6.govnet.gov.fj.; 10 imc9.govnet.gov.fj.; 10 imc8.govnet.gov.fj.
health.gov.fj,10 cust62323-1.in.mailcontrol.com.; 10 cust62323-2.in.mailcontrol.com.
helpdesk.mcttt.gov.fj,none
housing.gov.fj,10 govnet.gov.fj.
hris.mcttt.gov.fj,none
hris.mitt.gov.fj,none
hrm.fhec.gov.fj,none
inventoryportal.economy.gov.fj,none
itaukeiaffairsboard.tab.gov.fj,none
itc.gov.fj,10 cust62323-1.in.mailcontrol.com.; 10 cust62323-2.in.mailcontrol.com.
judgments.ag.gov.fj,none
judiciary.gov.fj,none
justice.gov.fj,none
keyentry.met.gov.fj,none
lands.gov.fj,10 cust62323-1.in.mailcontrol.com.; 10 cust62323-2.in.mailcontrol.com.
laws.gov.fj,none
licence.mcttt.gov.fj,none
licence.mitt.gov.fj,none
lms.met.gov.fj,none
lpgtraining.fccc.gov.fj,none
mail.ag.gov.fj,none
mail.commcomm.gov.fj,none
mail.dns.fccc.gov.fj,none
mail.education.gov.fj,none
mail.fccc.gov.fj,none
mail.fijianmade.gov.fj,none
