type,label,website,hostname,level
ministry,Ministry of Agriculture and Food,https://agriculture.gouv.fr,agriculture.gouv.fr,
parliament,Aquitaine Regional Council,http://www.aquitaine.fr/,aquitaine.fr,local
parliament,departmental council of Ariège,http://www.ariege.fr/,ariege.fr,
parliament,Assembly of French Citizens Abroad,https://www.assemblee-afe.fr/,assemblee-afe.fr,
parliament,National Assembly,https://www.assemblee-nationale.fr/,assemblee-nationale.fr,central
parliament,Franco-German Parliamentary Assembly,https://www.assemblee-nationale.fr/dyn/16/organes/europe-international/apfa,assemblee-nationale.fr,
supreme_court,Franco-German Parliamentary Assembly,https://www.assemblee-nationale.fr/dyn/16/organes/europe-international/apfa,assemblee-nationale.fr,
parliament,departmental council of Bas-Rhin,https://www.bas-rhin.fr/,bas-rhin.fr,
parliament,Regional Council of Burgundy,https://www.bourgogne-franche-comte.eu/,bourgogne-franche-comte.eu,local
parliament,Regional council of Bourgogne-Franche-Comté,https://www.bourgognefranchecomte.fr/,bourgognefranchecomte.fr,central-1
parliament,Regional Council of Brittany,http://www.bretagne.bzh/,bretagne.bzh,central-1
ministry,"Ministry of Budget, Public Accounts and Civil Administration",https://www.budget.gouv.fr/,budget.gouv.fr,
parliament,Franco-German Parliamentary Assembly,https://www.bundestag.de/dfpv,bundestag.de,
supreme_court,Franco-German Parliamentary Assembly,https://www.bundestag.de/dfpv,bundestag.de,
parliament,general council of Pyrénées-Atlantiques,http://www.cg64.fr,cg64.fr,
parliament,general council of Seine-Saint-Denis,http://www.cg93.fr,cg93.fr,
parliament,departmental council of Guadeloupe,https://www.cg971.fr/,cg971.fr,
ministry,Ministry of Cohesion of the Territories,https://www.cohesion-territoires.gouv.fr/,cohesion-territoires.gouv.fr,
constitutional_court,Conseil d'État,http://www.conseil-etat.fr,conseil-etat.fr,central
parliament,departmental council of Corrèze,https://www.correze.fr/,correze.fr,
constitutional_court,Executive Council of Corsica,http://www.corse.fr,corse.fr,central-1
supreme_court,Assembly of French Guiana,https://www.ctguyane.fr/,ctguyane.fr,
parliament,Assembly of French Guiana,https://www.ctguyane.fr/,ctguyane.fr,
ministry,Ministry of Culture of France,https://www.culture.gouv.fr/,culture.gouv.fr,
constitutional_court,Q55469706,https://www.defense.gouv.fr/dgris,defense.gouv.fr,
ministry,Ministry of the Armed Forces,https://www.defense.gouv.fr,defense.gouv.fr,
ministry,Ministry for Europe and Foreign Affairs,https://www.diplomatie.gouv.fr,diplomatie.gouv.fr,
ministry,Ministry for Europe and Foreign Affairs,https://www.diplomatie.gouv.fr/ar/,diplomatie.gouv.fr,
ministry,Ministry for Europe and Foreign Affairs,https://www.diplomatie.gouv.fr/de/,diplomatie.gouv.fr,
ministry,Ministry for Europe and Foreign Affairs,https://www.diplomatie.gouv.fr/ru/,diplomatie.gouv.fr,
ministry,Ministry for Europe and Foreign Affairs,https://www.diplomatie.gouv.fr/en/,diplomatie.gouv.fr,
ministry,Ministry for Europe and Foreign Affairs,https://www.diplomatie.gouv.fr/es/,diplomatie.gouv.fr,
ministry,Ministry of the Ecological Transition,https://www.ecologie.gouv.fr/,ecologie.gouv.fr,
ministry,"Ministry of Economics, Finance and Industrial and Digital Sovereignty",https://www.economie.gouv.fr/,economie.gouv.fr,
constitutional_court,Institute of public management and economical development,https://www.economie.gouv.fr/igpde,economie.gouv.fr,
ministry,Ministry of Commerce,https://www.economie.gouv.fr/,economie.gouv.fr,
ministry,French Ministry of education,https://www.education.gouv.fr/,education.gouv.fr,
ministry,Ministry of Women's Rights,https://www.egalite-femmes-hommes.gouv.fr/,egalite-femmes-hommes.gouv.fr,
ministry,Ministry of Higher Education and Research,https://www.enseignementsup-recherche.gouv.fr/,enseignementsup-recherche.gouv.fr,
constitutional_court,Piarist province of West Africa,https://www.escolapiesinstitutions.org,escolapiesinstitutions.org,
parliament,general council of Essonne,http://www.essonne.fr/,essonne.fr,
parliament,departmental council of Essonne,http://www.essonne.fr/,essonne.fr,
ministry,Ministry of the Family of France,http://www.familles-enfance-droitsdesfemmes.gouv.fr/,familles-enfance-droitsdesfemmes.gouv.fr,
parliament,departmental council of Finistère,https://www.finistere.fr,finistere.fr,
ministry,Ministry of Public Sector Transformation and the Civil Service,https://www.fonction-publique.gouv.fr/,fonction-publique.gouv.fr,
parliament,general council of Gard,http://www.gard.fr,gard.fr,
parliament,departmental council of Gard,http://www.gard.fr,gard.fr,
parliament,general council of Gironde,https://www.gironde.fr/,gironde.fr,
constitutional_court,Council of Ministers,http://www.gouvernement.fr/comptes-rendus-du-conseil-des-ministres,gouvernement.fr,central
parliament,departmental council of Haute-Loire,http://www.hauteloire.fr/,hauteloire.fr,local
parliament,Regional Council of Upper Normandy,http://www.hautenormandie.fr/,hautenormandie.fr,local
parliament,departmental council of Haute-Savoie,https://www.hautesavoie.fr/,hautesavoie.fr,
parliament,departmental council of Hautes-Pyrénées,https://www.hautespyrenees.fr/,hautespyrenees.fr,
constitutional_court,Institut des hautes études du ministère de l'Intérieur,https://www.ihemi.fr,ihemi.fr,
parliament,Regional Council of Île-de-France,http://www.iledefrance.fr/,iledefrance.fr,central-1
constitutional_court,Government of the French Republic,https://www.info.gouv.fr,info.gouv.fr,central
ministry,Ministry of the Interior,https://www.interieur.gouv.fr/,interieur.gouv.fr,
parliament,general council of Isère,https://www.isere.fr/,isere.fr,
constitutional_court,Jesuit Province of Francophone Western Europe,https://www.jesuites.com/,jesuites.com,
ministry,Ministry of Justice of France,https://www.justice.gouv.fr/,justice.gouv.fr,
parliament,departmental council of Pyrénées-Atlantiques,http://www.le64.fr/,le64.fr,
parliament,departmental council of Nord,https://lenord.fr/,lenord.fr,
ministry,Ministry of Housing,http://www.logement.gouv.fr/,logement.gouv.fr,
parliament,general council of Loire-Atlantique,http://www.loire-atlantique.fr/,loire-atlantique.fr,
parliament,Regional Council of Lorraine,http://www.lorraine.eu/accueil.html,lorraine.eu,local
parliament,general council of Lot,http://www.lot.fr/,lot.fr,
parliament,departmental council of Lot,https://lot.fr/,lot.fr,
ministry,Ministry of the Sea,https://mer.gouv.fr/,mer.gouv.fr,
parliament,departmental council of Nièvre,http://nievre.fr/,nievre.fr,
parliament,Regional Council of Basse-Normandie,https://www.normandie.fr/,normandie.fr,local
parliament,Nouvelle-Aquitaine Regional Council,https://www.nouvelle-aquitaine.fr/,nouvelle-aquitaine.fr,central-1
parliament,Regional Council of Limousin,https://www.nouvelle-aquitaine.fr/,nouvelle-aquitaine.fr,local
parliament,general council of Oise,http://www.oise.fr/,oise.fr,
ministry,Ministry of the Overseas,https://www.outre-mer.gouv.fr/,outre-mer.gouv.fr,
supreme_court,French Parliament,https://www.parlement.fr,parlement.fr,central
parliament,French Parliament,http://www.parlement.fr,parlement.fr,
parliament,French Parliament,https://www.parlement.fr,parlement.fr,central
supreme_court,French Parliament,http://www.parlement.fr,parlement.fr,
constitutional_court,Q104601946,https://www.police-nationale.interieur.gouv.fr/nous-decouvrir/notre-organisation/organisation/service-national-de-police-scientifique-snps,police-nationale.interieur.gouv.fr,
ministry,Ministry of Industry,http://www.redressement-productif.gouv.fr/,redressement-productif.gouv.fr,
parliament,Regional Council of Provence-Alpes-Côte d'Azur,http://www.regionpaca.fr,regionpaca.fr,central-1
parliament,Regional council of Réunion,https://www.regionreunion.com/,regionreunion.com,central-1
parliament,general council of Rhône,http://www.rhone.fr/,rhone.fr,
ministry,Ministry of Health and Sport of France,http://www.sante-sports.gouv.fr,sante-sports.gouv.fr,
ministry,"Ministry of Labour, Health and Solidarity",https://sante.gouv.fr,sante.gouv.fr,
parliament,departmental council of Savoie,https://www.savoie.fr/,savoie.fr,
ministry,Civil defense of France,https://www.securite-civile.interieur.gouv.fr/,securite-civile.interieur.gouv.fr,
parliament,general council of Seine-et-Marne,http://www.seine-et-marne.fr/,seine-et-marne.fr,
parliament,departmental council of Seine-Maritime,https://www.seinemaritime.fr/,seinemaritime.fr,
parliament,general council of Seine-Maritime,http://www.seinemaritime.net/,seinemaritime.net,
ministry,"Service d'études sur les transports, les routes et leurs aménagements",http://www.setra.developpement-durable.gouv.fr/,setra.developpement-durable.gouv.fr,
ministry,Ministry of People with Disabilities and the Fight against Exclusion,"http://www.social-sante.gouv.fr/espaces,770/handicap,775/",social-sante.gouv.fr,
ministry,"Ministry of Labour, Health and Solidarity",https://solidarites.gouv.fr,solidarites.gouv.fr,
ministry,Ministry of Sports,https://www.sports.gouv.fr/,sports.gouv.fr,
constitutional_court,SCHAPI,http://www.vigicrues.gouv.fr,vigicrues.gouv.fr,
ministry,Ministry of City Affairs,http://www.ville.gouv.fr/,ville.gouv.fr,
parliament,departmental council of Vosges,http://www.vosges.fr/,vosges.fr,local
parliament,general council of Vosges,http://www.vosges.fr,vosges.fr,
parliament,general council of Doubs,http://www2.doubs.fr/index.php,www2.doubs.fr,
