subdomain,parent_domain,http_status,mx
110ans.sgdsn.gouv.fr,gouv.fr,Could not resolve host: 110ans.sgdsn.gouv.fr,none
123-mad.pprod-consult.etalab.gouv.fr,gouv.fr,Could not resolve host: 123-mad.pprod-consult.etalab.gouv.fr,none
125896349.pprod-consult.etalab.gouv.fr,gouv.fr,Could not resolve host: 125896349.pprod-consult.etalab.gouv.fr,none
2.consultation.etalab.gouv.fr,gouv.fr,Could not resolve host: 2.consultation.etalab.gouv.fr,none
a-ldsd-app.sigp.aviation-civile.gouv.fr,gouv.fr,Could not resolve host: a-ldsd-app.sigp.aviation-civile.gouv.fr,none
aai.dgfip.finances.gouv.fr,gouv.fr,Connection timed out after 3002 milliseconds,none
ac000501.ac.intranet.sante.gouv.fr,gouv.fr,Could not resolve host: ac000501.ac.intranet.sante.gouv.fr,none
ac000502.ac.intranet.sante.gouv.fr,gouv.fr,Could not resolve host: ac000502.ac.intranet.sante.gouv.fr,none
ac000503.ac.intranet.sante.gouv.fr,gouv.fr,Could not resolve host: ac000503.ac.intranet.sante.gouv.fr,none
ac000506.ac.intranet.sante.gouv.fr,gouv.fr,Could not resolve host: ac000506.ac.intranet.sante.gouv.fr,none
ac000507.ac.intranet.sante.gouv.fr,gouv.fr,Could not resolve host: ac000507.ac.intranet.sante.gouv.fr,none
ac000601.ac.intranet.sante.gouv.fr,gouv.fr,Could not resolve host: ac000601.ac.intranet.sante.gouv.fr,none
ac000602.ac.intranet.sante.gouv.fr,gouv.fr,Could not resolve host: ac000602.ac.intranet.sante.gouv.fr,none
ac000701.ac.intranet.sante.gouv.fr,gouv.fr,Could not resolve host: ac000701.ac.intranet.sante.gouv.fr,none
acc.sprint.interarmees.defense.gouv.fr,gouv.fr,Connection timed out after 3002 milliseconds,10 mail.sprint.interarmees.defense.gouv.fr.
acces-nomade.developpement-durable.gouv.fr,gouv.fr,Could not resolve host: acces-nomade.developpement-durable.gouv.fr,none
acces-nomade.melanie.equipement.gouv.fr,gouv.fr,Could not resolve host: acces-nomade.melanie.equipement.gouv.fr,none
acces-web.melanie.equipement.gouv.fr,gouv.fr,Could not resolve host: acces-web.melanie.equipement.gouv.fr,none
acces.agriculture.gouv.fr,gouv.fr,Could not resolve host: acces.agriculture.gouv.fr,none
accueil.contacts-demarches.interieur.gouv.fr,gouv.fr,302,none
activitepartielle.emploi.gouv.fr,gouv.fr,302,none
ad-saisie.data.gouv.fr,gouv.fr,Could not resolve host: ad-saisie.data.gouv.fr,none
admin.decouvrirlemonde.jeunes.gouv.fr,gouv.fr,Could not resolve host: admin.decouvrirlemonde.jeunes.gouv.fr,none
admin.pensions.bercy.gouv.fr,gouv.fr,Could not resolve host: admin.pensions.bercy.gouv.fr,none
admin.ppd.ants.gouv.fr,gouv.fr,Connection timed out after 3001 milliseconds,none
admin.retraitesdeletat.gouv.fr,gouv.fr,Could not resolve host: admin.retraitesdeletat.gouv.fr,none
admin.test.itrf.education.gouv.fr,gouv.fr,403,none
administration-centrale.safire.fonction-publique.gouv.fr,gouv.fr,Could not resolve host: administration-centrale.safire.fonction-publique.gouv.fr,none
adminmessagerie.eridan.social.gouv.fr,gouv.fr,Could not resolve host: adminmessagerie.eridan.social.gouv.fr,none
admportail.dmp.gouv.fr,gouv.fr,Could not resolve host: admportail.dmp.gouv.fr,none
adresse.data.gouv.fr,gouv.fr,200,none
afet.education.gouv.fr,gouv.fr,200,none
again-a-madison.pprod-consult.etalab.gouv.fr,gouv.fr,Could not resolve host: again-a-madison.pprod-consult.etalab.gouv.fr,none
agata.aviation-civile.gouv.fr,gouv.fr,Connection timed out after 3002 milliseconds,none
agata.dsna.aviation-civile.gouv.fr,gouv.fr,Connection timed out after 3001 milliseconds,none
agd.data.gouv.fr,gouv.fr,200,none
