hostname,score,sources,label,level
gov.scot,10,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;linkgraph,His Majesty's Fire Service Inspectorate for Scotland | Scottish Government | Inspectorate of Prosecution in Scotland | Marine Scotland | Scottish Agricultural Wages Board,central-1
gov.wales,10,wikidata;wikidata;wikidata;linkgraph,Department for Education and Skills | Welsh Government,central-1
llyw.cymru,9,wikidata;wikidata;linkgraph,Welsh Government,central-1
senedd.wales,9,wikidata;wikidata;wikidata;linkgraph,Senedd,central-1
scotland.police.uk,8,wikidata;linkgraph,Police Scotland,central-1
btp.police.uk,7,wikidata;wikidata,British Transport Police,central-1
oscr.org.uk,7,wikidata;wikidata,Scottish Charity Regulator | Office of the Scottish Charity Regulator,central-1
parliament.scot,7,wikidata;wikidata;wikidata,Scottish Parliament,central-1
scottish-enterprise.com,6,wikidata;wikidata,Scottish Enterprise | South of Scotland Enterprise,central-1
senedd.cymru,6,wikidata;wikidata;wikidata,Senedd,central-1
ads.org.uk,4,wikidata,Architecture and Design Scotland,central-1
cypcs.org.uk,4,wikidata,Children and Young People's  Commissioner Scotland,central-1
disclosure.gov.scot,4,wikidata,Disclosure Scotland,central-1
eani.org.uk,4,wikidata,Education Authority,central-1
education.gov.scot,4,wikidata,Education Scotland,central-1
estyn.gov.wales,4,wikidata,Estyn,central-1
foodstandards.gov.scot,4,wikidata,Food Standards Scotland,central-1
forestry.gov.scot,4,wikidata,Scottish Forestry,central-1
forestryandland.gov.scot,4,wikidata,Forestry and Land Scotland,central-1
forestryengland.uk,4,wikidata,Forestry England,central-1
gtce.org.uk,4,wikidata,General Teaching Council for England,central-1
gtcs.org.uk,4,wikidata,General Teaching Council for Scotland,central-1
hial.co.uk,4,wikidata,Highlands and Islands Airports,central-1
hie.co.uk,4,wikidata,Highlands and Islands Enterprise,central-1
housingregulator.gov.scot,4,wikidata,Scottish Housing Regulator,central-1
hpa.org.uk,4,wikidata,Health Protection Agency,central-1
icrir.independent-inquiry.uk,4,wikidata,Independent Commission for Reconciliation and Information Recovery,central-1
landcommission.gov.scot,4,wikidata,Scottish Land Commission,central-1
lands-tribunal-scotland.org.uk,4,wikidata,Lands Tribunal for Scotland,central-1
lgbce.org.uk,4,wikidata,Local Government Boundary Commission for England,central-1
lra.org.uk,4,wikidata,Labour Relations Agency,central-1
mwcscot.org.uk,4,wikidata,Mental Welfare Commission for Scotland,central-1
nlb.org.uk,4,wikidata,Northern Lighthouse Board,central-1
nls.uk,4,wikidata,National Library of Scotland,central-1
