hostname,mentions,evidence
acas.org.uk,1,"Advisory, Conciliation and Arbitration Service (Executive non-departmental public body)"
activetravelengland.gov.uk,1,Active Travel England (Executive agency)
afbini.gov.uk,1,Agri-Food and Biosciences Institute (Northern Ireland) (Executive non-departmental public body)
afcommissioner.org.uk,1,Armed Forces Commissioner (Other)
ahdb.org.uk,1,Agriculture and Horticulture Development Board (Executive non-departmental public body)
ahrc.ac.uk,1,Arts and Humanities Research Council (Sub organisation)
aisi.gov.uk,1,AI Security Institute (Sub organisation)
antislaverycommissioner.co.uk,1,Independent Anti-slavery Commissioner (Independent monitoring body)
arb.org.uk,1,Architects Registration Board (Public corporation)
aria.org.uk,1,Advanced Research and Invention Agency (Executive non-departmental public body)
arts.wales,1,Arts Council of Wales (Other)
artscouncil-ni.org,1,Arts Council of Northern Ireland (Other)
artscouncil.org.uk,2,Arts Council England (Executive non-departmental public body) | The Reviewing Committee on the Export of Works of Art and Objects of Cultural Inter...
awe.co.uk,1,AWE Nuclear Security Technologies (Executive non-departmental public body)
bankofengland.co.uk,1,Bank of England (Other)
bbc.co.uk,2,BBC (Public corporation) | BBC World Service (Other)
bbsrc.ac.uk,1,Biotechnology and Biological Sciences Research Council (Sub organisation)
bcomm-scotland.independent.gov.uk,1,Boundary Commission for Scotland (Advisory non-departmental public body)
bcomm-wales.gov.uk,1,Boundary Commission for Wales (Advisory non-departmental public body)
bfi.org.uk,1,British Film Institute (Executive non-departmental public body)
bl.uk,1,British Library (Executive non-departmental public body)
boundarycommission.org.uk,1,Boundary Commission for Northern Ireland (Advisory non-departmental public body)
boundarycommissionforengland.independent.gov.uk,1,Boundary Commission for England (Advisory non-departmental public body)
british-business-bank.co.uk,1,British Business Bank (Other)
britishcouncil.org,1,British Council (Executive non-departmental public body)
britishmuseum.org,1,British Museum (Executive non-departmental public body)
britishwool.org.uk,1,British Wool (Other)
broads-authority.gov.uk,1,Broads Authority (Other)
btpa.police.uk,1,British Transport Police Authority (Executive non-departmental public body)
caa.co.uk,1,Civil Aviation Authority (Public corporation)
cafcass.gov.uk,1,Cafcass (Executive non-departmental public body)
careerswales.com,1,Careers Wales (Other)
catribunal.org.uk,2,Competition Appeal Tribunal (Tribunal) | Competition Service (Executive non-departmental public body)
ccea.org.uk,1,"Northern Ireland Council for the Curriculum, Examinations and Assessment (Executive non-departmental public body)"
ccrc.gov.uk,1,Criminal Cases Review Commission (Executive non-departmental public body)
ccw.org.uk,1,Consumer Council for Water (Executive non-departmental public body)
cfa.nhs.uk,1,NHS Counter Fraud Authority (Special health authority)
channel4.com,1,Channel 4 (Public corporation)
chevening.org,1,Chevening Scholarship Programme (Other)
childrenscommissioner.gov.uk,1,Office of the Children's Commissioner (Executive non-departmental public body)
childsafeguarding.independent-panel.uk,1,Child Safeguarding Practice Review Panel (Other)
citb.co.uk,1,Construction Industry Training Board (Executive non-departmental public body)
civilservicecommission.independent.gov.uk,1,Civil Service Commission (Executive non-departmental public body)
college.police.uk,1,College of Policing (Other)
comisiynyddygymraeg.org,1,Welsh Language Commissioner (Other)
communities-ni.gov.uk,1,Department for Communities (Northern Ireland) (Other)
covenantfund.org.uk,1,Armed Forces Covenant Fund Trust (Executive non-departmental public body)
cps.gov.uk,1,Crown Prosecution Service (Non-ministerial department)
cqc.org.uk,1,Care Quality Commission (Executive non-departmental public body)
crossrail-international.co.uk,1,Crossrail International (Public corporation)
da.mod.uk,1,Defence Academy of the United Kingdom (Sub organisation)
daera-ni.gov.uk,1,"Department of Agriculture, Environment and Rural Affairs (Northern Ireland) (Other)"
dartmoor.gov.uk,1,Dartmoor National Park Authority (Other)
dmo.gov.uk,1,UK Debt Management Office (Executive agency)
dsfc.ac.uk,1,Defence Sixth Form College (Sub organisation)
dsma.uk,1,Defence and Security Media Advisory Committee (Other)
eastwestrail.co.uk,1,East West Railway Company Limited (Executive non-departmental public body)
ebbsfleetdc.org.uk,1,Ebbsfleet Development Corporation (Executive non-departmental public body)
ecitb.org.uk,1,Engineering Construction Industry Training Board (Executive non-departmental public body)
economy-ni.gov.uk,1,Department for the Economy (Northern Ireland) (Other)
education-ni.gov.uk,1,Department of Education (Northern Ireland) (Other)
eic.independent-commission.uk,1,Ethics and Integrity Commission (Advisory non-departmental public body)
eis2win.co.uk,1,English Institute of Sport (Other)
electoralcommission.org.uk,1,The Electoral Commission (Independent monitoring body)
england.nhs.uk,1,NHS England (Executive non-departmental public body)
eoni.org.uk,1,Office of the Chief Electoral Officer for Northern Ireland (Other)
epsrc.ac.uk,1,Engineering and Physical Sciences Research Council (Sub organisation)
equalityhumanrights.com,1,Equality and Human Rights Commission (Executive non-departmental public body)
esrc.ac.uk,1,Economic and Social Research Council (Sub organisation)
estyn.gov.uk,1,Estyn (Other)
executiveoffice-ni.gov.uk,1,The Executive Office (Northern Ireland) (Other)
exmoor-nationalpark.gov.uk,1,Exmoor National Park Authority (Other)
faststream.gov.uk,1,Civil Service Fast Stream (Sub organisation)
fca.org.uk,1,Financial Conduct Authority (Other)
finance-ni.gov.uk,1,Department of Finance (Northern Ireland) (Other)
finds.org.uk,1,Treasure Valuation Committee (Advisory non-departmental public body)
fireservicecollege.ac.uk,1,Fire Service College (Other)
fleetairarm.com,1,Fleet Air Arm Museum (Sub organisation)
floodre.co.uk,1,Flood Re (Other)
footballregulator.org.uk,1,Independent Football Regulator (Executive non-departmental public body)
forestresearch.gov.uk,1,Forest Research (Executive agency)
forestryengland.uk,1,Forestry England (Executive agency)
frc.org.uk,1,Financial Reporting Council (Executive non-departmental public body)
gamblingcommission.gov.uk,1,Gambling Commission (Executive non-departmental public body)
gbcc.org.uk,1,Great Britain-China Centre (Executive non-departmental public body)
gbe.gov.uk,1,Great British Energy (Other)
gca.gov.uk,1,Government Commercial Agency (Executive agency)
gchq.gov.uk,1,Government Communications Headquarters (Other)
gov.scot,1,The Scottish Government (Devolved government)
gov.wales,1,Welsh Government (Devolved government)
greatercambridge-dc.org.uk,1,Greater Cambridge Development Corporation (Executive non-departmental public body)
group.sciencemuseum.org.uk,1,Science Museum Group (Executive non-departmental public body)
gss.civilservice.gov.uk,1,Government Statistical Service (Sub organisation)
hblb.org.uk,1,Horserace Betting Levy Board (Executive non-departmental public body)
health-ni.gov.uk,1,Department of Health (Northern Ireland) (Other)
heritagefund.org.uk,1,National Lottery Heritage Fund (Other)
hesa.ac.uk,1,Higher Education Statistics Agency (Other)
hfea.gov.uk,1,Human Fertilisation and Embryology Authority (Executive non-departmental public body)
historicengland.org.uk,1,Historic England (Executive non-departmental public body)
hmgcc.gov.uk,1,HM Government Communications Centre (Other)
horniman.ac.uk,1,Horniman Public Museum and Public Park Trust (Executive non-departmental public body)
housing-ombudsman.org.uk,1,Housing Ombudsman (Executive non-departmental public body)
hra.nhs.uk,1,Health Research Authority (Executive non-departmental public body)
hrp.org.uk,1,Historic Royal Palaces (Public corporation)
hscbusiness.hscni.net,1,HSC Business Services Organisation (Northern Ireland) (Executive non-departmental public body)
hse.gov.uk,1,Health and Safety Executive (Executive non-departmental public body)
hssib.org.uk,1,Health Services Safety Investigations Body (Executive non-departmental public body)
hta.gov.uk,1,Human Tissue Authority (Executive non-departmental public body)
