domain,http_status,mx
accessni.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching accessni.gov.uk found.,
accountni.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching accountni.gov.uk found.,
accounts-commission.gov.uk,301,
afbini.gov.uk,HttpTimeoutException: request timed out,
appealserviceni.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching appealserviceni.gov.uk found.,
asntscotland.gov.uk,SSLException: (internal_error) Received fatal alert: internal_error,
assembly-ni.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching assembly-ni.gov.uk found.,
assemblyni.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching assemblyni.gov.uk found.,
attorneygeneralni.gov.uk,301,
audit-scotland.gov.uk,301,
beawarekidsni.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching beawarekidsni.gov.uk found.,
buildingregulationsni.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching buildingregulationsni.gov.uk found.,
cbhc.gov.uk,200,
chscotland.gov.uk,301,
coflein.gov.uk,302,
communities-ni.gov.uk,301,
copfs.gov.uk,301,
courtsni.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching courtsni.gov.uk found.,
crownoffice.gov.uk,301,
csoni.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching csoni.gov.uk found.,
cyfoethnaturiolcymru.gov.uk,302,
cymru-wales.gov.uk,HttpConnectTimeoutException: HTTP connect timed out,
cymru.gov.uk,HttpConnectTimeoutException: HTTP connect timed out,
cymruhanesyddol.gov.uk,301,
daera-ni.gov.uk,301,
dardni.gov.uk,IOException: HTTP/1.1 header parser received no bytes,
dasscotland.gov.uk,HttpConnectTimeoutException: HTTP connect timed out,
dataunitwales.gov.uk,HttpConnectTimeoutException: HTTP connect timed out,
decymru-tan.gov.uk,301,
dfcni.gov.uk,HttpConnectTimeoutException: HTTP connect timed out,
dhsspsni.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching dhsspsni.gov.uk found.,
digitalni.gov.uk,ConnectException,
