subdomain,http_status,mx
37milhosp.gov.gh,Operation timed out after 3001 milliseconds with 0 bytes received,0 37milhosp.gov.gh.
37milhosp.gov.gh.cp-28.webhostbox.net,SSL: no alternative certificate subject name matches target hostname '37milhosp.gov.gh.cp-28.webhostbox.net',none
access.mofep.gov.gh,Resolving timed out after 3001 milliseconds,none
admin.mofep.gov.gh,Resolving timed out after 3001 milliseconds,none
aeda.gov.gh,Resolving timed out after 3001 milliseconds,none
agricextension.gov.gh,Could not resolve host: agricextension.gov.gh,none
alert.nadmo.gov.gh,Could not resolve host: alert.nadmo.gov.gh,none
alfred.presidentsecretariat.gov.gh,Could not resolve host: alfred.presidentsecretariat.gov.gh,none
ama.gov.gh,Connection timed out after 3001 milliseconds,none
amendment.sltf.gov.gh,Connection timed out after 3002 milliseconds,none
amistest.audit.gov.gh,Connection timed out after 3002 milliseconds,dig error
app.nabco.gov.gh,SSL: no alternative certificate subject name matches target hostname 'app.nabco.gov.gh',none
app.paris.embassy.gov.gh,Resolving timed out after 3002 milliseconds,none
application.sltf.gov.gh,SSL certificate problem: unable to get local issuer certificate,none
apply.healthtraining.gov.gh,Resolving timed out after 3002 milliseconds,none
apply.yea.gov.gh,200,none
apps.gra.gov.gh,Resolving timed out after 3001 milliseconds,none
arcc.gov.gh,Resolving timed out after 3002 milliseconds,0 arcc-gov-gh.mail.protection.outlook.com.
arms.police.gov.gh,302,dig error
askma.gov.gh,Connection timed out after 3002 milliseconds,none
assembly.nadmo.gov.gh,Could not resolve host: assembly.nadmo.gov.gh,none
assessment.nita.gov.gh,SSL certificate problem: certificate has expired,none
assmbly.nadmo.gov.gh,Could not resolve host: assmbly.nadmo.gov.gh,none
autodiscover.councilofstate.gov.gh,Could not resolve host: autodiscover.councilofstate.gov.gh,none
autodiscover.e-agriculture.gov.gh,Resolving timed out after 3002 milliseconds,none
autodiscover.energycom.gov.gh,Failed to connect to autodiscover.energycom.gov.gh port 443 after 1844 ms: Could not connect to server,none
autodiscover.garh.gov.gh,Resolving timed out after 3001 milliseconds,none
autodiscover.gegov.gov.gh,Connection timed out after 3001 milliseconds,none
autodiscover.grb.gov.gh,Resolving timed out after 3001 milliseconds,none
autodiscover.mbs.gov.gh,400,none
autodiscover.mdf.gov.gh,Failed to connect to autodiscover.mdf.gov.gh port 443 after 1964 ms: Could not connect to server,none
autodiscover.mint.gov.gh,Failed to connect to autodiscover.mint.gov.gh port 443 after 1992 ms: Could not connect to server,none
autodiscover.mofep.gov.gh,Resolving timed out after 3002 milliseconds,none
autodiscover.mpsr.gov.gh,Resolving timed out after 3001 milliseconds,none
autodiscover.nanumbasouthdistrict.gov.gh,Resolving timed out after 3001 milliseconds,none
autodiscover.nscs.gov.gh,Resolving timed out after 3001 milliseconds,none
