subdomain,mx
addis.gambiamission.gov.gm,10 mail.gov.gm.
admin-home.easybusiness.gov.gm,10 mail.gov.gm.
api.earlywarning.gov.gm,none
assembly.gov.gm,none
autodiscover.gov.gm,none
bcc.gov.gm,20 fallbackmx.spamexperts.eu.; 30 lastmx.spamexperts.net.; 10 mx.spamexperts.com.
bpa.easybusiness.gov.gm,10 mail.gov.gm.
data.gov.gm,none
dcd.gov.gm,none
digitaladdressing.gov.gm,none
dol.gov.gm,none
doys.moys.gov.gm,none
doysmoys.gov.gm,none
dspd.gov.gm,none
earlywarning.gov.gm,10 mail.gov.gm.
easybusiness.gov.gm,none
ebaproject.meccnar.gov.gm,none
ebaweb.gov.gm,none
factguard.gov.gm,none
fiu.gov.gm,none
gambia.gov.gm,none
gambiadaily.gov.gm,none
gamna.gov.gm,none
gbos.gov.gm,none
gdb.easybusiness.gov.gm,10 mail.gov.gm.
geneva.gambiamission.gov.gm,none
gfrs.gov.gm,none
gicta.gov.gm,none
gid.gov.gm,10 mail.gov.gm.
gipo.gov.gm,10 mail.gov.gm.
gnlsa.gov.gm,none
gov.gm,none
govpay.gov.gm,none
gpa.gov.gm,none
gps.gov.gm,20 fallbackmx.spamexperts.eu.; 30 mail2.gov.gm.; 10 mx.spamexperts.com.
graylog.easybusiness.gov.gm,10 mail.gov.gm.
hmis.gov.gm,none
icewarp.gov.gm,none
judiciary.gov.gm,none
login.easybusiness.gov.gm,none
mail.gov.gm,none
mail2.gov.gm,none
meccnar.gov.gm,none
moa.gov.gm,none
mobse.gov.gm,10 mail.gov.gm.
mocde.gov.gm,none
mod.gov.gm,none
moe.gov.gm,none
mofa.gov.gm,none
mofea.gov.gm,none
mofwr.gov.gm,none
mogcsw.gov.gm,none
moh.gov.gm,10 mail.gov.gm.
moherst.gov.gm,none
moi.gov.gm,10 mail.gov.gm.
moici.gov.gm,none
moin.gov.gm,none
moj.gov.gm,none
molgl.gov.gm,none
molrg.gov.gm,none
mope.gov.gm,10 mail.gov.gm.
mopem.gov.gm,10 mail.gov.gm.
mops.gov.gm,none
motc.gov.gm,none
motie.gov.gm,none
motwi.gov.gm,none
mowcsw.gov.gm,none
moys.gov.gm,10 mail.gov.gm.
naqaa.gov.gm,10 mail.gov.gm.
nccrm.gov.gm,none
ndp.gov.gm,none
nrs.gov.gm,10 mail.gov.gm.
ons.gov.gm,10 mail.gov.gm.
op.gov.gm,none
ovp.gov.gm,10 mail.gov.gm.
pmo.gov.gm,none
police.gov.gm,10 mail.gov.gm.
policies.gov.gm,none
ps.moa.gov.gm,none
psc.gov.gm,none
services.easybusiness.gov.gm,none
smtp.gov.gm,none
statehouse.gov.gm,none
stats.easybusiness.gov.gm,none
training-admin.gov.gm,none
training-admin.gov.gm.gm.orangebd.com,none
training-api.gov.gm,none
training-api.gov.gm.gm.orangebd.com,none
training-workflow.gov.gm,none
training-workflow.gov.gm.gm.orangebd.com,none
training.gov.gm,none
training.gov.gm.gm.orangebd.com,none
un.gambiamission.gov.gm,none
www.addis.gambiamission.gov.gm,none
www.assembly.gov.gm,none
www.bcc.gov.gm,none
www.data.gov.gm,none
www.dcd.gov.gm,none
www.digitaladdressing.gov.gm,none
www.dol.gov.gm,none
www.dspd.gov.gm,none
www.fiu.gov.gm,none
www.gambia.gov.gm,none
www.gambiadaily.gov.gm,none
www.gamna.gov.gm,none
www.gbos.gov.gm,none
www.geneva.gambiamission.gov.gm,none
www.gfrs.gov.gm,none
www.gicta.gov.gm,none
www.gid.gov.gm,none
www.gipo.gov.gm,none
www.gnlsa.gov.gm,none
www.gpa.gov.gm,none
www.gps.gov.gm,none
www.hmis.gov.gm,none
www.jac.gov.gm,none
www.judiciary.gov.gm,none
www.mail.gov.gm,none
www.meccnar.gov.gm,none
www.moa.gov.gm,none
www.mobse.gov.gm,none
www.mocde.gov.gm,none
www.mod.gov.gm,none
www.moe.gov.gm,none
www.mofa.gov.gm,none
www.mofea.gov.gm,none
www.mofwr.gov.gm,none
www.mogcsw.gov.gm,none
www.moh.gov.gm,none
www.moherst.gov.gm,none
www.moi.gov.gm,none
www.moici.gov.gm,none
www.moin.gov.gm,none
www.moj.gov.gm,none
www.molgl.gov.gm,none
www.molrg.gov.gm,none
www.mope.gov.gm,none
www.mopem.gov.gm,none
www.mops.gov.gm,none
www.motc.gov.gm,none
www.motie.gov.gm,none
www.motwi.gov.gm,none
www.mowcsw.gov.gm,none
www.moys.gov.gm,none
www.naqaa.gov.gm,none
www.nccrm.gov.gm,none
www.ndp.gov.gm,none
www.nrs.gov.gm,none
www.ons.gov.gm,none
www.op.gov.gm,none
www.ovp.gov.gm,none
www.pmo.gov.gm,none
www.police.gov.gm,none
www.policies.gov.gm,none
www.ps.moa.gov.gm,none
www.psc.gov.gm,none
www.statehouse.gov.gm,none
www.training-admin.gov.gm,none
www.training-admin.gov.gm.gm.orangebd.com,none
www.training-api.gov.gm,none
www.training-api.gov.gm.gm.orangebd.com,none
www.training-workflow.gov.gm,none
www.training-workflow.gov.gm.gm.orangebd.com,none
www.training.gov.gm,none
www.training.gov.gm.gm.orangebd.com,none
www.un.gambiamission.gov.gm,none
www.yiriwaa.gov.gm,none
yiriwaa.gov.gm,10 mail.gov.gm.
