subdomain,parent_domain,http_status,mx
aacgb.gov.gw,gov.gw,Could not resolve host: aacgb.gov.gw,none
apgb.gov.gw,gov.gw,Could not resolve host: apgb.gov.gw,none
cloud.gov.gw,gov.gw,Could not resolve host: cloud.gov.gw,none
cnc.gov.gw,gov.gw,Could not resolve host: cnc.gov.gw,none
gov.gw,gov.gw,Could not resolve host: gov.gw,none
gpm.gov.gw,gov.gw,Could not resolve host: gpm.gov.gw,none
guinebissau.gov.gw,gov.gw,Could not resolve host: guinebissau.gov.gw,none
imp.gov.gw,gov.gw,Could not resolve host: imp.gov.gw,none
itma.gov.gw,gov.gw,Could not resolve host: itma.gov.gw,none
mabac.gov.gw,gov.gw,Could not resolve host: mabac.gov.gw,none
madr.gov.gw,gov.gw,Could not resolve host: madr.gov.gw,none
mafdr.gov.gw,gov.gw,Could not resolve host: mafdr.gov.gw,none
mapefpss.gov.gw,gov.gw,Could not resolve host: mapefpss.gov.gw,none
mapme.gov.gw,gov.gw,Could not resolve host: mapme.gov.gw,none
masfpm.gov.gw,gov.gw,Could not resolve host: masfpm.gov.gw,none
mat.gov.gw,gov.gw,Could not resolve host: mat.gov.gw,none
matdl.gov.gw,gov.gw,Could not resolve host: matdl.gov.gw,none
matpl.gov.gw,gov.gw,Could not resolve host: matpl.gov.gw,none
mci.gov.gw,gov.gw,Could not resolve host: mci.gov.gw,none
mcjd.gov.gw,gov.gw,Could not resolve host: mcjd.gov.gw,none
mclp.gov.gw,gov.gw,Could not resolve host: mclp.gov.gw,none
mcs.gov.gw,gov.gw,Could not resolve host: mcs.gov.gw,none
mdn.gov.gw,gov.gw,Could not resolve host: mdn.gov.gw,none
mef.gov.gw,gov.gw,Could not resolve host: mef.gov.gw,none
mei.gov.gw,gov.gw,Could not resolve host: mei.gov.gw,none
menesic.gov.gw,gov.gw,Could not resolve host: menesic.gov.gw,none
minco.gov.gw,gov.gw,Could not resolve host: minco.gov.gw,none
minener.gov.gw,gov.gw,Could not resolve host: minener.gov.gw,none
minfin.gov.gw,gov.gw,Could not resolve host: minfin.gov.gw,none
minint.gov.gw,gov.gw,Could not resolve host: minint.gov.gw,none
miop.gov.gw,gov.gw,Could not resolve host: miop.gov.gw,none
mjdh.gov.gw,gov.gw,Could not resolve host: mjdh.gov.gw,none
mmfss.gov.gw,gov.gw,Could not resolve host: mmfss.gov.gw,none
mne.gov.gw,gov.gw,Could not resolve host: mne.gov.gw,none
mnecic.gov.gw,gov.gw,Could not resolve host: mnecic.gov.gw,none
mophu.gov.gw,gov.gw,Could not resolve host: mophu.gov.gw,none
mpcmap.gov.gw,gov.gw,Could not resolve host: mpcmap.gov.gw,none
mpem.gov.gw,gov.gw,Could not resolve host: mpem.gov.gw,none
mrn.gov.gw,gov.gw,Could not resolve host: mrn.gov.gw,none
msp.gov.gw,gov.gw,Could not resolve host: msp.gov.gw,none
mta.gov.gw,gov.gw,Could not resolve host: mta.gov.gw,none
mtc.gov.gw,gov.gw,Could not resolve host: mtc.gov.gw,none
mtted.gov.gw,gov.gw,Could not resolve host: mtted.gov.gw,none
pcm.gov.gw,gov.gw,Could not resolve host: pcm.gov.gw,none
pm.gov.gw,gov.gw,Could not resolve host: pm.gov.gw,none
seab.gov.gw,gov.gw,Could not resolve host: seab.gov.gw,none
seclp.gov.gw,gov.gw,Could not resolve host: seclp.gov.gw,none
secs.gov.gw,gov.gw,Could not resolve host: secs.gov.gw,none
segpp.gov.gw,gov.gw,Could not resolve host: segpp.gov.gw,none
servicopublico.gov.gw,gov.gw,Could not resolve host: servicopublico.gov.gw,none
set.gov.gw,gov.gw,Could not resolve host: set.gov.gw,none
seta.gov.gw,gov.gw,Could not resolve host: seta.gov.gw,none
seted.gov.gw,gov.gw,Could not resolve host: seted.gov.gw,none
sidadon.gov.gw,gov.gw,Could not resolve host: sidadon.gov.gw,none
srv.gov.gw,gov.gw,Could not resolve host: srv.gov.gw,none
webmail.cloud.gov.gw,gov.gw,Could not resolve host: webmail.cloud.gov.gw,none
webmail.gov.gw,gov.gw,Could not resolve host: webmail.gov.gw,none
webmail.mat.gov.gw,gov.gw,Could not resolve host: webmail.mat.gov.gw,none
www.cloud.gov.gw,gov.gw,Could not resolve host: www.cloud.gov.gw,none
www.cnc.gov.gw,gov.gw,Could not resolve host: www.cnc.gov.gw,none
www.gov.gw,gov.gw,Could not resolve host: www.gov.gw,none
www.itma.gov.gw,gov.gw,Could not resolve host: www.itma.gov.gw,none
www.mne.gov.gw,gov.gw,Could not resolve host: www.mne.gov.gw,none
www.servicopublico.gov.gw,gov.gw,Could not resolve host: www.servicopublico.gov.gw,none
www.sidadon.gov.gw,gov.gw,Could not resolve host: www.sidadon.gov.gw,none
