hostname,score,sources,label,level
hellenicparliament.gr,7,wikidata;wikidata,Hellenic Parliament,
mfa.gr,4,wikidata,Ministry of Foreign Affairs (Greece),
minagric.gr,4,wikidata,Ministry of Rural Development and Food (Greece),
mindigital.gr,4,wikidata,Ministry of Digital Governance (Greece),
ministryofjustice.gr,4,wikidata,Ministry of Justice (Greece),
mnec.gr,4,wikidata,"Ministry of Economy, Development and Tourism",
mod.mil.gr,4,wikidata,Ministry of National Defence (Greece),
yme.gr,4,wikidata,Ministry of Infrastructure and Transport (Greece),
ynanp.gr,4,wikidata,Ministry of Shipping and Island Policy (Greece),
ypakp.gr,4,wikidata,Ministry of Labour and Social Security,
ypes.gr,4,wikidata,Ministry of the Interior (Greece),
