subdomain,mx
2016.gobernacionbajaverapaz.gob.gt,none
alas.dgac.gob.gt,none
almacen.sgp.gob.gt,none
amatitlan.gob.gt,10 ALT3.ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.; 1 ASPMX.L.GOOGLE.COM.
amsa.gob.gt,3600 amsa-gob-gt.mail.protection.outlook.com.
amsclae.gob.gt,0 amsclae.gob.gt.
antiguacpn.cpn.gob.gt,dig error
api.sgp.gob.gt,none
autodiscover.conadi.gob.gt,none
autodiscover.cpd.gob.gt,none
autodiscover.dgac.gob.gt,none
autodiscover.fodes.gob.gt,none
autodiscover.gobernacionaltaverapaz.gob.gt,none
autodiscover.gobernacionjalapa.gob.gt,none
autodiscover.gobernacionjutiapa.gob.gt,none
autodiscover.gobernacionquiche.gob.gt,none
autodiscover.gobernacionsuchitepequez.gob.gt,none
autodiscover.gobernaciontotonicapan.gob.gt,none
autodiscover.gobernacionzacapa.gob.gt,none
autodiscover.goberpeten.gob.gt,none
autodiscover.icta.gob.gt,none
autodiscover.igm.gob.gt,none
autodiscover.maga.gob.gt,none
autodiscover.mineco.gob.gt,none
autodiscover.minfin.gob.gt,none
autodiscover.muniasuncionmita.gob.gt,none
autodiscover.municabanaszacapa.gob.gt,none
autodiscover.municanilla.gob.gt,none
autodiscover.munichamelco.gob.gt,none
autodiscover.municipalidaddegualan.gob.gt,none
autodiscover.municipalidaddeusumatlan.gob.gt,none
autodiscover.munidejutiapa.gob.gt,none
autodiscover.munidelascrucespeten.gob.gt,none
autodiscover.munielestor.gob.gt,none
autodiscover.muniflorespeten.gob.gt,none
autodiscover.munifrayblascasas.gob.gt,none
autodiscover.munihuite.gob.gt,none
autodiscover.munijerez.gob.gt,none
autodiscover.munilivingston.gob.gt,none
autodiscover.munimataquescuintla.gob.gt,none
autodiscover.munipanzos.gob.gt,none
autodiscover.munipurulha.gob.gt,none
autodiscover.munisanandres.gob.gt,none
autodiscover.munisanandresxecul.gob.gt,none
autodiscover.munisanantonioilotenango.gob.gt,none
autodiscover.munisanbenito.gob.gt,none
autodiscover.munisancristobaltoto.gob.gt,none
autodiscover.munisanfranciscoelalto.gob.gt,none
autodiscover.muniteculutan.gob.gt,none
autodiscover.munitiquisate.gob.gt,none
autodiscover.munixela.gob.gt,none
autodiscover.oj.gob.gt,none
autodiscover.pmt.munidejutiapa.gob.gt,none
autodiscover.pmt.muniquezaltepeque.gob.gt,none
autodiscover.scep.gob.gt,none
autodiscover.sgp.gob.gt,none
autodiscover.sib.gob.gt,none
autodiscover.sib2.gob.gt,none
autodiscover.tumunixenacoj.gob.gt,none
autodiscover.ucee.gob.gt,none
autodiscover.unaerc.gob.gt,none
autodiscover.vicepresidencia.gob.gt,none
banguat.gob.gt,20 mail2.banguat.gob.gt.; 10 mail.banguat.gob.gt.
bi.minfin.gob.gt,none
biblioteca.sgp.gob.gt,none
bis.mp.gob.gt,none
calculo-inversion-2018.scep.gob.gt,none
calculo.mintrabajo.gob.gt,none
caminos.civ.gob.gt,none
caminos.gob.gt,0 correo.caminos.gob.gt.
caminosc.caminos.gob.gt,none
capacitacion.ive.sib.gob.gt,none
capsanpedro.gob.gt,none
casilleroelectronico.oj.gob.gt,none
cc.gob.gt,5 mx-01-us-west-2.prod.hydra.sophos.com.; 20 mx-02-us-west-2.prod.hydra.sophos.com.
ccmaa.gob.gt,none
ces.gob.gt,0 ces.gob.gt.
clshc01.oj.gob.gt,none
clshc02.oj.gob.gt,none
cnap.gob.gt,none
cnb.mineduc.gob.gt,none
coban.gob.gt,none
conadi.gob.gt,0 mail.conadi.gob.gt.
congreso.cpn.gob.gt,dig error
congreso.gob.gt,0 congreso-gob-gt.mail.protection.outlook.com.
conred.gob.gt,0 conred-gob-gt.mail.protection.outlook.com.; 10 96.125.164.234.; 5 mail.conred.gob.gt.
conservatorionacional.gob.gt,none
consulta-audiencias.oj.gob.gt,none
consultaexpedientes.minfin.gob.gt,none
contingentesarancelarios.mineco.gob.gt,none
contraloria.gob.gt,0 contraloria-gob-gt.mail.protection.outlook.com.
contraloria.minfin.gob.gt,none
contratos.sgp.gob.gt,none
copredeh.gob.gt,none
correo.dgsp.gob.gt,none
correo.digici.gob.gt,none
correo.mineco.gob.gt,none
correo.mingob.gob.gt,none
correo.renap.gob.gt,none
correo.sgp.gob.gt,none
cpanel.amatitlan.gob.gt,none
cpanel.caminos.gob.gt,none
cpanel.capsanpedro.gob.gt,none
cpanel.ccmaa.gob.gt,none
cpanel.cnap.gob.gt,none
cpanel.conadi.gob.gt,0 mail.conadi.gob.gt.
cpanel.copredeh.gob.gt,none
cpanel.cpd.gob.gt,none
cpanel.cpn.gob.gt,dig error
cpanel.deptomaritimo.gob.gt,none
cpanel.dgac.gob.gt,none
cpanel.fodes.gob.gt,none
cpanel.fondetel.gob.gt,none
cpanel.fraijanes.gob.gt,none
cpanel.fss.gob.gt,none
cpanel.gobernacionbajaverapaz.gob.gt,none
cpanel.gobernaciondesolola.gob.gt,none
cpanel.gobernacionquiche.gob.gt,none
cpanel.gobernacionsuchitepequez.gob.gt,none
cpanel.gobernaciontotonicapan.gob.gt,none
cpanel.guatel.gob.gt,none
cpanel.icta.gob.gt,none
cpanel.igm.gob.gt,none
cpanel.inacopguatemala.gob.gt,none
cpanel.ingecop.gob.gt,none
cpanel.mem.gob.gt,none
cpanel.muniaguablanca.gob.gt,none
cpanel.munialmolonga.gob.gt,none
cpanel.muniasuncionmita.gob.gt,none
cpanel.munibarberena.gob.gt,none
cpanel.municabanaszacapa.gob.gt,none
cpanel.municabrican.gob.gt,none
cpanel.municahabon.gob.gt,none
cpanel.municanilla.gob.gt,none
cpanel.municatarina.gob.gt,none
cpanel.munichamelco.gob.gt,none
cpanel.munichiantla.gob.gt,none
cpanel.munichiquimulilla.gob.gt,none
cpanel.munichisec.gob.gt,none
cpanel.municipalidaddegualan.gob.gt,none
cpanel.municipalidaddeusumatlan.gob.gt,none
cpanel.municoatepeque.gob.gt,none
cpanel.municoncepcion.gob.gt,none
cpanel.municubulco.gob.gt,none
cpanel.munideitzapa.gob.gt,none
cpanel.munidejutiapa.gob.gt,none
cpanel.munidelascrucespeten.gob.gt,none
cpanel.munielchalpeten.gob.gt,none
cpanel.munielestor.gob.gt,none
cpanel.munifrayblascasas.gob.gt,none
cpanel.munihuite.gob.gt,none
cpanel.munijalapa.gob.gt,none
cpanel.munijalpatagua.gob.gt,none
cpanel.munijerez.gob.gt,none
cpanel.munilaesperanza.gob.gt,0 mail.munilaesperanza.gob.gt.
cpanel.munilivingston.gob.gt,none
cpanel.munimataquescuintla.gob.gt,none
cpanel.muninahuala.gob.gt,0 mail.muninahuala.gob.gt.
cpanel.munipanzos.gob.gt,none
cpanel.munipatzicia.gob.gt,none
cpanel.munipurulha.gob.gt,none
cpanel.muniraxruha.gob.gt,none
cpanel.munisalama.gob.gt,none
cpanel.munisanandressajcabaja.gob.gt,none
cpanel.munisanandresxecul.gob.gt,none
cpanel.munisanantonioilotenango.gob.gt,none
cpanel.munisancarlosalzatate.gob.gt,none
cpanel.munisancristobaltoto.gob.gt,none
cpanel.munisanfranciscoelalto.gob.gt,0 mail.munisanfranciscoelalto.gob.gt.
cpanel.munisanjosedelgolfo.gob.gt,none
cpanel.munisanjoselaarada.gob.gt,none
cpanel.munisanmartinjilotepeque.gob.gt,none
cpanel.munisantaapolonia.gob.gt,none
cpanel.munisantabarbara.gob.gt,none
cpanel.munisantabarbarahuehue.gob.gt,none
cpanel.munisantacruzbalanya.gob.gt,none
cpanel.munisantacruzelchol.gob.gt,none
cpanel.munisantarosadelima.gob.gt,none
cpanel.muniscbarahona.gob.gt,none
cpanel.munishecana.gob.gt,0 mail.munishecana.gob.gt.
cpanel.munisiqui.gob.gt,none
cpanel.munisoloma.gob.gt,none
cpanel.munitecpan.gob.gt,none
cpanel.muniteculutan.gob.gt,none
cpanel.munitiquisate.gob.gt,none
cpanel.munitodossantoscuchumatan.gob.gt,none
cpanel.muniuspantan.gob.gt,none
cpanel.munixela.gob.gt,none
cpanel.muniyupiltepeque.gob.gt,none
cpanel.munizunilito.gob.gt,none
cpanel.pmt.munidejutiapa.gob.gt,none
cpanel.pmt.muniquezaltepeque.gob.gt,none
cpanel.secretariaprivada.gob.gt,none
cpanel.sepaz.gob.gt,none
cpanel.sibilia.gob.gt,none
cpanel.tumunixenacoj.gob.gt,none
cpanel.ucee.gob.gt,none
cpanel.unaerc.gob.gt,none
cpanel.upcv.gob.gt,none
cpanel.vicepresidencia.gob.gt,none
cpd.gob.gt,none
cpn.gob.gt,none
cumbreenergetica.mem.gob.gt,none
cvenlinea.mp.gob.gt,none
dca.gob.gt,20 alt1.aspmx.l.google.com.; 50 aspmx3.l.googlemail.com.; 30 alt2.aspmx.l.google.com.; 40 aspmx2.l.googlemail.com.; 10 aspmx.l.google.com.
declaraguate.gob.gt,none
deptomaritimo.gob.gt,none
dev-app.sgp.gob.gt,none
dgac.gob.gt,none
dgsp.gob.gt,none
digessp.gob.gt,10 ALT3.ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 1 ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.
diligencias.oj.gob.gt,none
diplomado.sepaz.gob.gt,none
diplomadovirtual.sepaz.gob.gt,none
dmmp.mp.gob.gt,none
drupalvice.vicepresidencia.gob.gt,none
dtransito.gob.gt,none
dtransito.transito.gob.gt,none
egobierno.scp.gob.gt,none
einguat.inguat.gob.gt,none
especialistas.mp.gob.gt,none
expedientes.minfin.gob.gt,none
expedientesweb.minfin.gob.gt,none
farm2.sat.gob.gt,none
farm3.sat.gob.gt,none
farm4.sat.gob.gt,none
farmpruebas1.sat.gob.gt,none
farmpruebas8.sat.gob.gt,none
fdx.mp.gob.gt,none
feriaenergetica.mem.gob.gt,none
fodes.gob.gt,none
fondetel.gob.gt,none
fontierras.gob.gt,none
fraijanes.gob.gt,10 correo.fraijanes.gt.
fss.gob.gt,0 fss.gob.gt.
ftp.vicepresidencia.gob.gt,0 mail.vicepresidencia.gob.gt.
gob.gt,none
gobernacionaltaverapaz.gob.gt,none
gobernacionbajaverapaz.gob.gt,none
gobernaciondesolola.gob.gt,0 gobernaciondesolola.gob.gt.
gobernacionizabal.gob.gt,50 mx3.zoho.com.; 10 mx.zoho.com.; 20 mx2.zoho.com.
gobernacionizabal.gobernacionquiche.gob.gt,none
gobernacionjalapa.gob.gt,none
gobernacionjalapa.gobernacionquiche.gob.gt,none
gobernacionjutiapa.gob.gt,none
gobernacionjutiapa.gobernacionquiche.gob.gt,none
gobernacionquetzaltenango.gob.gt,20 alt1.aspmx.l.google.com.; 50 aspmx3.googlemail.com.; 40 aspmx2.googlemail.com.; 10 aspmx.l.google.com.; 30 alt2.aspmx.l.google.com.
gobernacionquiche.gob.gt,none
gobernacionsuchitepequez.gob.gt,5 mx1.hostinger.com.; 10 mx2.hostinger.com.
gobernacionsuchitepequez.gobernacionquiche.gob.gt,none
gobernaciontotonicapan.gob.gt,0 gobernaciontotonicapan.gob.gt.
gobernacionzacapa.gob.gt,none
gobernacionzacapa.gobernacionquiche.gob.gt,none
goberpeten.gob.gt,none
goberpeten.gobernacionquiche.gob.gt,none
gobiernoabierto.gob.gt,none
guatecompras.gob.gt,none
guatel.gob.gt,none
guatemala.gob.gt,none
hospitalroosevelt.gob.gt,none
hr.sgp.gob.gt,none
icta.gob.gt,0 icta-gob-gt.mail.protection.outlook.com.
idpp.gob.gt,0 mx-01-us-east-2.prod.hydra.sophos.com.; 10 mx-02-us-east-2.prod.hydra.sophos.com.
igm.gob.gt,10 correo.igm.gob.gt.
imap.dgsp.gob.gt,none
imap.mingob.gob.gt,none
inacopguatemala.gob.gt,none
ine.gob.gt,none
inees.gob.gt,none
info.sib.gob.gt,none
infopub.sib.gob.gt,none
informacionpublica.sepaz.gob.gt,none
infpb.sib.gob.gt,none
ingecop.gob.gt,none
insivumeh.gob.gt,10 alt4.aspmx.l.google.com.; 1 aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.
intranet.sgp.gob.gt,none
inventarios.munisanlucas.gob.gt,none
ive.sib.gob.gt,none
keys.sib.gob.gt,none
legacy.sat.gob.gt,none
leydeacceso.cnap.gob.gt,none
licitaciones.mem.gob.gt,none
lns.gob.gt,none
mail.amsa.gob.gt,none
mail.amsclae.gob.gt,none
mail.capsanpedro.gob.gt,none
mail.ccmaa.gob.gt,none
mail.ces.gob.gt,0 ces.gob.gt.
mail.cnap.gob.gt,none
mail.coban.gob.gt,none
mail.conadi.gob.gt,none
mail.congreso.gob.gt,none
mail.conservatorionacional.gob.gt,none
mail.copredeh.gob.gt,none
mail.cpd.gob.gt,none
mail.cpn.gob.gt,none
mail.dgac.gob.gt,none
mail.diaco.gob.gt,none
mail.dtransito.gob.gt,none
mail.fodes.gob.gt,none
mail.fondetel.gob.gt,none
mail.fontierras.gob.gt,none
mail.fraijanes.gob.gt,none
mail.fss.gob.gt,none
mail.gobernacionaltaverapaz.gob.gt,none
mail.gobernacionbajaverapaz.gob.gt,none
mail.gobernaciondesolola.gob.gt,0 gobernaciondesolola.gob.gt.
mail.gobernacionizabal.gob.gt,none
mail.gobernacionjalapa.gob.gt,10 gobernacionjalapa.gob.gt.
mail.gobernacionjutiapa.gob.gt,none
mail.gobernacionquiche.gob.gt,none
mail.gobernacionsuchitepequez.gob.gt,none
mail.gobernaciontotonicapan.gob.gt,0 gobernaciontotonicapan.gob.gt.
mail.gobernacionzacapa.gob.gt,none
mail.goberpeten.gob.gt,none
mail.guatel.gob.gt,none
mail.hospitalroosevelt.gob.gt,none
mail.icta.gob.gt,none
mail.igm.gob.gt,none
mail.inacopguatemala.gob.gt,none
mail.ine.gob.gt,none
mail.inees.gob.gt,none
mail.ingecop.gob.gt,none
mail.lns.gob.gt,none
mail.maga.gob.gt,none
mail.mingob.gob.gt,none
mail.mspas.gob.gt,none
mail.muniaguablanca.gob.gt,10 muniaguablanca.gob.gt.
mail.munialmolonga.gob.gt,none
mail.muniasuncionmita.gob.gt,none
mail.munibarberena.gob.gt,none
mail.municabanaszacapa.gob.gt,none
mail.municabrican.gob.gt,none
mail.municahabon.gob.gt,none
mail.municanilla.gob.gt,none
mail.municatarina.gob.gt,none
mail.munichamelco.gob.gt,none
mail.munichiantla.gob.gt,none
mail.munichiquimulilla.gob.gt,none
mail.munichisec.gob.gt,none
mail.municipalidaddegualan.gob.gt,none
mail.municipalidaddepanajachel.gob.gt,0 municipalidaddepanajachel.gob.gt.
mail.municipalidaddeusumatlan.gob.gt,none
mail.municipalidadtacanasm.gob.gt,none
mail.municoncepcion.gob.gt,none
mail.municubulco.gob.gt,none
mail.munideitzapa.gob.gt,none
mail.munidejocotenango.gob.gt,none
mail.munidejutiapa.gob.gt,0 munidejutiapa.gob.gt.
mail.munidelascrucespeten.gob.gt,none
mail.munielchalpeten.gob.gt,none
mail.munielestor.gob.gt,0 munielestor.gob.gt.
mail.munieltumbador.gob.gt,none
mail.muniflorespeten.gob.gt,0 muniflorespeten.gob.gt.
mail.munifrayblascasas.gob.gt,none
mail.munihuite.gob.gt,none
mail.munijalapa.gob.gt,none
mail.munijalpatagua.gob.gt,none
mail.munijerez.gob.gt,0 munijerez.gob.gt.
mail.munilaesperanza.gob.gt,none
mail.munilivingston.gob.gt,none
mail.munimataquescuintla.gob.gt,none
mail.munimixco.gob.gt,none
mail.muninahuala.gob.gt,none
mail.munipanzos.gob.gt,none
mail.munipatzicia.gob.gt,none
mail.munipuertobarrios.gob.gt,none
mail.munipurulha.gob.gt,0 munipurulha.gob.gt.
mail.muniraxruha.gob.gt,none
mail.munisalama.gob.gt,none
mail.munisanandres.gob.gt,none
mail.munisanandressajcabaja.gob.gt,none
mail.munisanandresxecul.gob.gt,none
mail.munisanantonioilotenango.gob.gt,none
mail.munisanbenito.gob.gt,none
mail.munisancarlosalzatate.gob.gt,0 munisancarlosalzatate.gob.gt.
mail.munisancristobaltoto.gob.gt,none
mail.munisanfranciscoelalto.gob.gt,none
mail.munisanjosedelgolfo.gob.gt,none
mail.munisanjoselaarada.gob.gt,none
mail.munisanmartinjilotepeque.gob.gt,none
mail.munisanmiguelchicaj.gob.gt,0 munisanmiguelchicaj.gob.gt.
mail.munisantaapolonia.gob.gt,none
mail.munisantabarbara.gob.gt,none
mail.munisantabarbarahuehue.gob.gt,none
mail.munisantaclaralalaguna.gob.gt,none
mail.munisantacruzbalanya.gob.gt,none
mail.munisantacruzelchol.gob.gt,none
mail.munisantarosadelima.gob.gt,0 munisantarosadelima.gob.gt.
mail.muniscbarahona.gob.gt,none
mail.munishecana.gob.gt,none
mail.munisiqui.gob.gt,none
mail.munisoloma.gob.gt,none
mail.munitecpan.gob.gt,none
mail.muniteculutan.gob.gt,none
mail.munitiquisate.gob.gt,none
mail.munitodossantoscuchumatan.gob.gt,none
mail.muniuspantan.gob.gt,none
mail.munixela.gob.gt,none
mail.muniyupiltepeque.gob.gt,none
mail.munizunilito.gob.gt,none
mail.pgn.gob.gt,none
mail.pmt.munidejutiapa.gob.gt,none
mail.pmt.muniquezaltepeque.gob.gt,none
mail.saas.gob.gt,none
mail.scp.gob.gt,none
mail.scspr.gob.gt,none
mail.secretariaprivada.gob.gt,none
mail.sepaz.gob.gt,none
mail.seprem.gob.gt,none
mail.sesan.gob.gt,none
mail.sgp.gob.gt,none
mail.sib.gob.gt,none
mail.sib2.gob.gt,none
mail.sibilia.gob.gt,none
mail.sit.gob.gt,none
mail.sosep.gob.gt,none
mail.transito.gob.gt,none
mail.tumunixenacoj.gob.gt,none
mail.ucee.gob.gt,none
mail.unaerc.gob.gt,none
mail.vicepresidencia.gob.gt,none
mail2.minex.gob.gt,none
mail2.sib2.gob.gt,none
mail3.sib2.gob.gt,none
mailbk.sib.gob.gt,none
mailf.minfin.gob.gt,none
mailf2.minfin.gob.gt,none
medicinainterna.hospitalroosevelt.gob.gt,none
