type,label,website,hostname
ministry,"Ministry of Communications, Infrastructure, and Housing","http://www.civ.gob.gt/",civ.gob.gt
ministry,"Ministry of Education","https://www.mineduc.gob.gt/",mineduc.gob.gt
ministry,"Ministry of Agriculture, Livestock and Food of Guatemala","http://www.maga.gob.gt/",maga.gob.gt
ministry,"Ministry of Environment and Natural Resources  of Guatemala","http://www.marn.gob.gt/",marn.gob.gt
ministry,"Ministry of the Economy of Guatemala","http://www.mineco.gob.gt/",mineco.gob.gt
ministry,"Ministry of Energy and Mines of Guatemala","http://www.mem.gob.gt/",mem.gob.gt
ministry,"Ministry of Public Finance","http://www.minfin.gob.gt/",minfin.gob.gt
ministry,"Ministry of Culture and Sports of Guatemala","https://mcd.gob.gt",mcd.gob.gt
ministry,"Ministry of the Interior of Guatemala","http://www.mingob.gob.gt/",mingob.gob.gt
ministry,"Ministry for Health and Social Assistance of Guatemala","http://www.mspas.gob.gt/",mspas.gob.gt
ministry,"Ministry of Foreign Affairs of the Republic of Guatemala","https://www.minex.gob.gt/",minex.gob.gt
ministry,"Ministry for Health and Social Assistance of Guatemala","https://www.mspas.gob.gt",mspas.gob.gt
ministry,"Ministry of Defense","http://www.mindef.mil.gt",mindef.mil.gt
parliament,"Congress of the Republic of Guatemala","https://congreso.gob.gt",congreso.gob.gt
supreme_court,"Congress of the Republic of Guatemala","https://congreso.gob.gt",congreso.gob.gt
