type,label,website,hostname,level
government_agency,Coastal Liner Traffic Agency,https://agencija-zolpp.hr/,agencija-zolpp.hr,
government_agency,"Embassy of France, Zagreb",http://www.ambafrance-hr.org/,ambafrance-hr.org,central
government_agency,"Embassy of Algeria, Zagreb",http://www.ambalgzagreb.com/,ambalgzagreb.com,central
government_agency,"Embassy of Kosovo, Zagreb",https://ambasadat.net/Kroaci/,ambasadat.net,central
government_agency,"Croatian State Archives, Zagreb",http://www.arhiv.hr,arhiv.hr,
government_agency,Croatian Personal Data Protection Agency,http://www.azop.hr/,azop.hr,central
government_agency,Croatian Civil Aviation Agency,http://ccaa.hr/,ccaa.hr,
government_agency,European Commission Representation in Croatia,https://croatia.representation.ec.europa.eu/,croatia.representation.ec.europa.eu,
government_agency,The State Archives in Dubrovnik,http://www.dad.hr/,dad.hr,
constitutional_court,Croatian Dominican Province,https://www.dominikanci.hr/,dominikanci.hr,
government_agency,Croatian Dominican Province,https://www.dominikanci.hr/,dominikanci.hr,
government_agency,USKOK,http://www.dorh.hr/Default.aspx?sec=18#,dorh.hr,
government_agency,Croatian Bureau of Statistics,http://www.dzs.hr/,dzs.hr,central
government_agency,State Institute for Nature Protection,http://www.dzzp.hr/eng/,dzzp.hr,
government_agency,"Consulate General of Hungary in Osijek, Croatia",https://eszek.mfa.gov.hu/,eszek.mfa.gov.hu,
government_agency,"Government Delegation of the Generalitat, Zagreb",https://exteriors.gencat.cat/ca/ambits-dactuacio/afers_exteriors/delegacions_govern/sud-est-europa/index.html,exteriors.gencat.cat,central
government_agency,Embassy of Finland in Croatia,https://finlandabroad.fi/web/hrv,finlandabroad.fi,central
constitutional_court,Franciscan Province of the Most Holy Redeemer,http://www.franjevci-split.hr/,franjevci-split.hr,
constitutional_court,Franciscan Province of the Most Holy Redeemer,https://www.franjevci-split.hr/,franjevci-split.hr,
government_agency,Franciscan Province of the Most Holy Redeemer,https://www.franjevci-split.hr/,franjevci-split.hr,
government_agency,Franciscan Province of the Most Holy Redeemer,http://www.franjevci-split.hr/,franjevci-split.hr,
government_agency,Environmental Protection and Energy Efficiency Fund,https://www.fzoeu.hr/,fzoeu.hr,
government_agency,Environmental Protection and Energy Efficiency Fund,https://www.fzoeu.hr/en,fzoeu.hr,
government_agency,Hrvatska agencija za poštu i elektroničke komunikacije,http://www.hakom.hr,hakom.hr,
government_agency,Croatian National Bank,https://www.hnb.hr,hnb.hr,central
government_agency,"Embassy of the People's Republic of China, Zagreb",http://hr.china-embassy.org,hr.china-embassy.org,central
government_agency,embassy of Morocco in Croatia,https://hr.diplomatie.ma,hr.diplomatie.ma,central
government_agency,embassy of Lithuania in Croatia,http://hr.mfa.lt,hr.mfa.lt,central
government_agency,United Nations Development Programme,http://www.hr.undp.org/content/croatia/en/home/,hr.undp.org,
government_agency,"Embassy of the United States, Zagreb",https://hr.usembassy.gov,hr.usembassy.gov,central
government_agency,Croatian Science Foundation,http://www.hrzz.hr/,hrzz.hr,
government_agency,Croatian Institute for Public Health,http://www.hzjz.hr/index.htm,hzjz.hr,
government_agency,Croatian Institute for Public Health,https://www.hzjz.hr/en/,hzjz.hr,
government_agency,Croatian Standards Institute,https://www.hzn.hr/,hzn.hr,
government_agency,Croatian Institute for Health Insurance,http://www.hzzo-net.hr,hzzo-net.hr,
government_agency,Institute of Croatian Language,http://ihjj.hr/en,ihjj.hr,
government_agency,Institute of Croatian Language,http://ihjj.hr,ihjj.hr,
government_agency,Croatian province of the Society of Jesus,https://www.isusovci.hr/,isusovci.hr,
constitutional_court,Croatian province of the Society of Jesus,https://www.isusovci.hr/,isusovci.hr,
government_agency,State Electoral Commission of the Republic of Croatia,https://www.izbori.hr/site/,izbori.hr,
government_agency,Croatian Capuchin Province of St. Leopold Bogdan Mandić,https://kapucini.hr/,kapucini.hr,
constitutional_court,Croatian Capuchin Province of St. Leopold Bogdan Mandić,https://kapucini.hr/,kapucini.hr,
government_agency,embassy of Denmark in Croatia,https://kroatien.um.dk,kroatien.um.dk,central
government_agency,Croatian Meteorological and Hydrological Service,http://meteo.hr,meteo.hr,
government_agency,embassy of Bulgaria in Croatia,https://www.mfa.bg/embassies/croatia,mfa.bg,central
government_agency,embassy of Greece in Croatia,https://www.mfa.gr/missionsabroad/croatia.html,mfa.gr,central
ministry,Ministry of Construction and Spatial Planning,http://www.mgipu.hr/default.aspx?id=3967,mgipu.hr,
ministry,Ministry of Construction and Spatial Planning,http://www.mgipu.hr/,mgipu.hr,
government_agency,Ministry of Finance of the Republic of Croatia,http://www.minfin.hr/,minfin.hr,central
ministry,Ministry of Finance of the Republic of Croatia,http://www.minfin.hr/,minfin.hr,central
ministry,Ministry of Economy,http://www.mingo.hr,mingo.hr,
government_agency,Ministry of Tourism and Sports,http://www.mint.hr/,mint.hr,central
ministry,Ministry of Tourism and Sports,http://www.mint.hr/,mint.hr,central
ministry,"Ministry of Maritime Affairs, Transport and Infrastructure",http://www.mmpi.hr,mmpi.hr,central
government_agency,"Ministry of Maritime Affairs, Transport and Infrastructure",http://www.mmpi.hr,mmpi.hr,central
government_agency,Ministry of Defence,http://www.morh.hr,morh.hr,central
ministry,Ministry of Defence,http://www.morh.hr,morh.hr,central
