type,label,website,hostname,level
ministry,"Ministry of Agriculture, Natural Resources and Rural Development",http://www.agriculture.gouv.ht/,agriculture.gouv.ht,central
government_agency,"Ministry of Agriculture, Natural Resources and Rural Development",http://www.agriculture.gouv.ht/,agriculture.gouv.ht,central
government_agency,Bank of the Republic of Haiti,https://www.brh.ht/,brh.ht,
government_agency,embassy of Canada in Haiti,https://www.canadainternational.gc.ca/haiti/index.aspx,canadainternational.gc.ca,central
constitutional_court,Piarist province Central America- Caribbean,https://www.centroamericaribeschp.com,centroamericaribeschp.com,
government_agency,Piarist province Central America- Caribbean,https://www.centroamericaribeschp.com,centroamericaribeschp.com,
government_agency,Provisional Electoral Council,http://www.cephaiti.ht/,cephaiti.ht,central
government_agency,embassy of Chile in Haiti,https://chile.gob.cl/haiti,chile.gob.cl,central
government_agency,embassy of Switzerland in Haiti,https://www.eda.admin.ch/portauprince,eda.admin.ch,central
government_agency,Delegation of the European Union to Haiti,https://eeas.europa.eu/delegations/haiti_en,eeas.europa.eu,
government_agency,embassy of Argentina in Haiti,https://ehait.cancilleria.gob.ar,ehait.cancilleria.gob.ar,central
government_agency,embassy of Mexico in Haiti,https://embamex.sre.gob.mx/haiti,embamex.sre.gob.mx,central
government_agency,embassy of Spain in Haiti,http://www.exteriores.gob.es/Embajadas/PUERTOPRINCIPE,exteriores.gob.es,central
government_agency,British Embassy Port-au-Prince,https://www.gov.uk/world/organisations/british-embassy-port-au-prince,gov.uk,central
government_agency,Ministry of Tourism,http://www.haititourisme.gouv.ht/,haititourisme.gouv.ht,
government_agency,"Embassy of France, Port-au-Prince",https://ht.ambafrance.org/,ht.ambafrance.org,central
government_agency,Office of Commercial Development of China in Haiti,http://ht.china-office.gov.cn/fra/,ht.china-office.gov.cn,central
government_agency,"Embassy of Japan, Pétion-Ville",https://www.ht.emb-japan.go.jp,ht.emb-japan.go.jp,central
government_agency,embassy of the United States in Haiti,https://ht.usembassy.gov,ht.usembassy.gov,central
government_agency,Institut Haïtien de Statistique et d'Informatique,https://ihsi.ayiti.digital/,ihsi.ayiti.digital,central
government_agency,Canada Province of the Society of Jesus,https://jesuites.ca/,jesuites.ca,
constitutional_court,Canada Province of the Society of Jesus,https://jesuites.ca/,jesuites.ca,
government_agency,Canada Province of the Society of Jesus,https://jesuits.ca/,jesuits.ca,
constitutional_court,Canada Province of the Society of Jesus,https://jesuits.ca/,jesuits.ca,
supreme_court,Parliament of Haiti,http://www.leparlementhaitien.info/,leparlementhaitien.info,central
government_agency,Chamber of Deputies,https://leparlementhaitien.info/chambredesdeputes/,leparlementhaitien.info,central
parliament,Parliament of Haiti,http://www.leparlementhaitien.info/,leparlementhaitien.info,central
government_agency,Ministry of Foreign Affairs of Haiti,http://www.mae.gouv.ht,mae.gouv.ht,central
ministry,Ministry of Foreign Affairs of Haiti,http://www.mae.gouv.ht,mae.gouv.ht,central
ministry,Ministry of Social Affairs and Labor,http://mast.gouv.ht/,mast.gouv.ht,central
government_agency,Ministry of Social Affairs and Labor,http://mast.gouv.ht/,mast.gouv.ht,central
government_agency,Ministry of Commerce and Industry,http://www.mci.gouv.ht/,mci.gouv.ht,central
ministry,Ministry of Commerce and Industry,http://www.mci.gouv.ht/,mci.gouv.ht,central
ministry,Ministry of Defense,https://md.gouv.ht/,md.gouv.ht,central
government_agency,Ministry of Defense,https://md.gouv.ht/,md.gouv.ht,central
ministry,Ministry of Economy and Finance,http://www.mefhaiti.gouv.ht/,mefhaiti.gouv.ht,central
government_agency,Ministry of Economy and Finance,http://www.mefhaiti.gouv.ht/,mefhaiti.gouv.ht,central
government_agency,Ministry of Education,http://menfp.gouv.ht/,menfp.gouv.ht,central
ministry,Ministry of Education,http://menfp.gouv.ht/,menfp.gouv.ht,central
ministry,Ministry of National Education and Vocational Training of Haiti,https://menfp.gouv.ht/,menfp.gouv.ht,central
government_agency,Ministry of National Education and Vocational Training of Haiti,https://menfp.gouv.ht/,menfp.gouv.ht,central
ministry,Ministry of Interior and Territorial Communities,http://www.mict.gouv.ht/,mict.gouv.ht,central
government_agency,Ministry of Interior and Territorial Communities,http://www.mict.gouv.ht/,mict.gouv.ht,central
ministry,Ministry of Justice and Public Security,http://mjsp.gouv.ht/,mjsp.gouv.ht,central
government_agency,Ministry of Justice and Public Security,http://mjsp.gouv.ht/,mjsp.gouv.ht,central
government_agency,Ministère de la Santé Publique et de la Population,http://mspp.gouv.ht/newsite/,mspp.gouv.ht,
government_agency,Ministry of Health,http://mspp.gouv.ht/,mspp.gouv.ht,central
ministry,Ministry of Health,http://mspp.gouv.ht/,mspp.gouv.ht,central
government_agency,"Ministry of Public Works, Transport and Communications",http://www.mtptc.gouv.ht/,mtptc.gouv.ht,central
ministry,"Ministry of Public Works, Transport and Communications",http://www.mtptc.gouv.ht/,mtptc.gouv.ht,central
government_agency,Haitian National Police,http://www.pnh.ht,pnh.ht,central
government_agency,"embassy of Germany, Port-au-Prince",https://port-au-prince.diplo.de,port-au-prince.diplo.de,central
government_agency,embassy of Brazil in Haiti,http://portoprincipe.itamaraty.gov.br,portoprincipe.itamaraty.gov.br,central
government_agency,Directorate for Civil Protection of Haiti,https://protectioncivile.gouv.ht,protectioncivile.gouv.ht,
government_agency,"Embassy of the Republic of China (Taiwan), Port-au-Prince",https://www.roc-taiwan.org/ht_fr/,roc-taiwan.org,central
government_agency,"Embassy of the Republic of China (Taiwan), Port-au-Prince",https://www.roc-taiwan.org/ht/,roc-taiwan.org,central
