subdomain,http_status,mx
2015-2019.kormany.hu,SSL certificate problem: unable to get local issuer certificate,none
2020-2025.kormany.hu,200,none
akadalymentes.2010-2014.kormany.hu,500,none
allatvedelem.kormany.hu,Could not resolve host: allatvedelem.kormany.hu,none
becs.ensz.kormany.hu,301,none
brusszel.eu.kormany.hu,301,none
cdn.2019.kormany.hu,Could not resolve host: cdn.2019.kormany.hu,none
eredmenyek.kormany.hu,401,
eujog.im.kormany.hu,302,none
fogyasztovedelem.kormany.hu,SSL certificate problem: certificate has expired,10 mail.protonmail.ch.
fogyved.kormany.hu,SSL certificate problem: unable to get local issuer certificate,none
hm.hatosagihivatal.kormany.hu,200,none
hm.vedelemgazdasagihivatal.kormany.hu,200,none
jogsertowebaruhazak.kormany.hu,Could not resolve host: jogsertowebaruhazak.kormany.hu,none
kepkezelo.2019.kormany.hu,Could not resolve host: kepkezelo.2019.kormany.hu,none
kikap.kormany.hu,SSL certificate problem: unable to get local issuer certificate,10 relay.gov.hu.
konzultacio.kormany.hu,SSL certificate problem: unable to get local issuer certificate,none
kormany.hu,403,10 mailgw4.ei.gov.hu.; 10 mailgw3.ei.gov.hu.; 10 mailgw2.ei.gov.hu.; 10 mailgw1.ei.gov.hu.
kozlekedes.kormany.hu,301,none
kozlekedesihatosag.kormany.hu,302,none
massmail.kormany.hu,Could not resolve host: massmail.kormany.hu,none
mintawebaruhaz.fogyasztovedelem.kormany.hu,Could not resolve host: mintawebaruhaz.fogyasztovedelem.kormany.hu,none
mutargy-static.kormany.hu,403,none
mutargy.kormany.hu,200,none
nemzetiklimavedelmihatosag-t.kormany.hu,401,none
nemzetiklimavedelmihatosag.kormany.hu,SSL certificate problem: unable to get local issuer certificate,none
nemzetikonzultacio.kormany.hu,302,none
netkonz.kormany.hu,Could not resolve host: netkonz.kormany.hu,none
oldalszerkeszto.2019.kormany.hu,Could not resolve host: oldalszerkeszto.2019.kormany.hu,none
osztondijjelentkezes.kormany.hu,Could not resolve host: osztondijjelentkezes.kormany.hu,none
sajto.kormany.hu,SSL certificate problem: unable to get local issuer certificate,none
szabadszoftver.kormany.hu,SSL certificate problem: certificate has expired,none
szerkesztoseg.2019.kormany.hu,Could not resolve host: szerkesztoseg.2019.kormany.hu,none
szerkesztoseg.teszt.2015-2019.kormany.hu,Connection timed out after 3002 milliseconds,none
szerkesztoseg.teszt.2020-2025.kormany.hu,Could not resolve host: szerkesztoseg.teszt.2020-2025.kormany.hu,none
teszt.kormany.hu,Connection timed out after 3002 milliseconds,none
vallalasok.kormany.hu,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
vienna.io.kormany.hu,301,none
voks2025.kormany.hu,Connection timed out after 3002 milliseconds,none
www.akadalymentes.2010-2014.kormany.hu,302,none
www.akr.kormany.hu,301,none
www.allamhaztartas.kormany.hu,301,none
