qid,label
Q1781,Budapest
Q181018,Bács-Kiskun County
Q185368,Hajdú-Bihar County
Q185374,Zala County
Q186195,Baranya County
Q187677,Vas County
Q187693,Fejér County
Q187753,Győr-Moson-Sopron County
Q188612,Pest County
Q188890,Veszprém County
Q188895,Borsod-Abaúj-Zemplén County
Q189655,Jász-Nagykun-Szolnok County
Q190018,Komárom-Esztergom County
Q190518,Szabolcs-Szatmár-Bereg County
Q190522,Somogy County
Q191604,Heves County
Q191616,Békés County
Q191625,Tolna County
Q193031,Csongrád-Csanád County
Q194273,Nógrád County
