subdomain,parent_domain,http_status
2015-2019.kormany.hu,kormany.hu,SSL certificate problem: unable to get local issuer certificate
2020-2025.kormany.hu,kormany.hu,200
akadalymentes.2010-2014.kormany.hu,kormany.hu,500
allatvedelem.kormany.hu,kormany.hu,Could not resolve host: allatvedelem.kormany.hu
becs.ensz.kormany.hu,kormany.hu,301
brusszel.eu.kormany.hu,kormany.hu,301
cdn.2019.kormany.hu,kormany.hu,Could not resolve host: cdn.2019.kormany.hu
eujog.im.kormany.hu,kormany.hu,302
fogyasztovedelem.kormany.hu,kormany.hu,SSL certificate problem: certificate has expired
fogyved.kormany.hu,kormany.hu,SSL certificate problem: unable to get local issuer certificate
hm.hatosagihivatal.kormany.hu,kormany.hu,200
hm.vedelemgazdasagihivatal.kormany.hu,kormany.hu,200
jogsertowebaruhazak.kormany.hu,kormany.hu,Could not resolve host: jogsertowebaruhazak.kormany.hu
kepkezelo.2019.kormany.hu,kormany.hu,Could not resolve host: kepkezelo.2019.kormany.hu
kikap.kormany.hu,kormany.hu,SSL certificate problem: unable to get local issuer certificate
konzultacio.kormany.hu,kormany.hu,SSL certificate problem: unable to get local issuer certificate
kormany.hu,kormany.hu,403
kozlekedes.kormany.hu,kormany.hu,301
kozlekedesihatosag.kormany.hu,kormany.hu,302
massmail.kormany.hu,kormany.hu,Could not resolve host: massmail.kormany.hu
mintawebaruhaz.fogyasztovedelem.kormany.hu,kormany.hu,Could not resolve host: mintawebaruhaz.fogyasztovedelem.kormany.hu
mutargy-static.kormany.hu,kormany.hu,403
mutargy.kormany.hu,kormany.hu,200
nemzetiklimavedelmihatosag-t.kormany.hu,kormany.hu,401
nemzetiklimavedelmihatosag.kormany.hu,kormany.hu,SSL certificate problem: unable to get local issuer certificate
nemzetikonzultacio.kormany.hu,kormany.hu,302
netkonz.kormany.hu,kormany.hu,Could not resolve host: netkonz.kormany.hu
oldalszerkeszto.2019.kormany.hu,kormany.hu,Could not resolve host: oldalszerkeszto.2019.kormany.hu
osztondijjelentkezes.kormany.hu,kormany.hu,Could not resolve host: osztondijjelentkezes.kormany.hu
sajto.kormany.hu,kormany.hu,SSL certificate problem: unable to get local issuer certificate
szabadszoftver.kormany.hu,kormany.hu,SSL certificate problem: certificate has expired
szerkesztoseg.2019.kormany.hu,kormany.hu,Could not resolve host: szerkesztoseg.2019.kormany.hu
szerkesztoseg.teszt.2015-2019.kormany.hu,kormany.hu,Connection timed out after 3002 milliseconds
szerkesztoseg.teszt.2020-2025.kormany.hu,kormany.hu,Could not resolve host: szerkesztoseg.teszt.2020-2025.kormany.hu
teszt.kormany.hu,kormany.hu,Connection timed out after 3002 milliseconds
vienna.io.kormany.hu,kormany.hu,301
voks2025.kormany.hu,kormany.hu,Connection timed out after 3002 milliseconds
www.akadalymentes.2010-2014.kormany.hu,kormany.hu,302
www.akr.kormany.hu,kormany.hu,301
www.allamhaztartas.kormany.hu,kormany.hu,301
www.allatvedelem.kormany.hu,kormany.hu,Could not resolve host: www.allatvedelem.kormany.hu
www.augusztus20.kormany.hu,kormany.hu,301
www.balassischolarship.kormany.hu,kormany.hu,302
www.becs.ensz.kormany.hu,kormany.hu,301
www.bmprojektek.kormany.hu,kormany.hu,301
www.boraszat.kormany.hu,kormany.hu,301
www.brexit.kormany.hu,kormany.hu,301
www.brusszel.eu.kormany.hu,kormany.hu,301
www.budapestafricaforum.kormany.hu,kormany.hu,301
www.ceginformaciosszolgalat.kormany.hu,kormany.hu,SSL certificate problem: unable to get local issuer certificate
www.civil.kormany.hu,kormany.hu,301
www.corvinlanc.kormany.hu,kormany.hu,301
www.csaladitudakozo.kormany.hu,kormany.hu,SSL certificate problem: unable to get local issuer certificate
www.digitalismegujulas.kormany.hu,kormany.hu,302
www.digitalisszabadsag.kormany.hu,kormany.hu,301
www.dunaregiostrategia.kormany.hu,kormany.hu,301
www.egtc.kormany.hu,kormany.hu,301
www.eionet.kormany.hu,kormany.hu,301
www.elelmiszerlanc.kormany.hu,kormany.hu,301
www.emberijogok.kormany.hu,kormany.hu,301
www.emberkereskedelem.kormany.hu,kormany.hu,Could not resolve host: www.emberkereskedelem.kormany.hu
www.emh.kormany.hu,kormany.hu,301
www.ensz.kormany.hu,kormany.hu,301
www.eredetvedelem.kormany.hu,kormany.hu,301
www.eu.kormany.hu,kormany.hu,301
www.euallas.kormany.hu,kormany.hu,301
www.eujog.im.kormany.hu,kormany.hu,Could not resolve host: www.eujog.im.kormany.hu
www.eutaf.kormany.hu,kormany.hu,301
www.fko.kormany.hu,kormany.hu,301
