hostname,score,sources,label
anantnag.nic.in,7,wikidata;wikidata,Anantnag
dahd.nic.in,7,wikidata;wikidata,"Ministry of Fisheries, Animal Husbandry and Dairying"
delhiassembly.nic.in,7,wikidata;wikidata,Delhi Legislative Assembly
deoghar.nic.in,7,wikidata;wikidata,Deoghar
honeymoonpackagesmanali.in,7,wikidata;wikidata,Manali
kla.kar.nic.in,7,wikidata;wikidata,Karnataka Legislative Assembly
mysurucitycorporation.co.in,7,wikidata;wikidata,Mysore City Corporation
sansad.in,7,wikidata;wikidata,Parliament of India
singrauli.nic.in,7,wikidata;wikidata,Singrauli
surguja.nic.in,7,wikidata;wikidata,Ambikapur
chemicals.nic.in,4,wikidata,Ministry of Chemicals and Fertilizers
consumeraffairs.nic.in,4,wikidata,"Ministry of Consumer Affairs, Food and Public Distribution"
dhi.nic.in,4,wikidata,Ministry of Heavy Industries and Public Enterprises
finmin.nic.in,4,wikidata,Ministry of Finance of India
indiaculture.nic.in,4,wikidata,Ministry of Culture
labour.nic.in,4,wikidata,Ministry of Labour and Employment
leh.nic.in,4,wikidata,"Ladakh Autonomous Hill Development Council, Leh"
mls.org.in,4,wikidata,Maharashtra Legislative Assembly
mofpi.nic.in,4,wikidata,Ministry of Food Processing Industries
morth.nic.in,4,wikidata,Ministry of Road Transport and Highways
petroleum.nic.in,4,wikidata,Ministry of Petroleum and Natural Gas
powermin.nic.in,4,wikidata,Ministry of Power
shipping.nic.in,4,wikidata,"Ministry of Ports, Shipping and Waterways"
socialjustice.nic.in,4,wikidata,Ministry of Social Justice and Empowerment
steel.nic.in,4,wikidata,Ministry of Steel
tribal.nic.in,4,wikidata,Ministry of Tribal Affairs
wcd.nic.in,4,wikidata,Ministry of Women and Child Development
yas.nic.in,4,wikidata,Ministry of Youth Affairs and Sports
footballsynergy.com,3,wikidata,Football Synergy
gta-darjeeling.org,3,wikidata,Gorkhaland Territorial Administration
mykishtwar.com,3,wikidata,Kishtwar
गृहमंत्रालय.सरकार.भारत,3,wikidata,Ministry of Home Affairs
ayodhya.nic.in,2,wikidata;wikidata,Ayodhya Municipal Corporation
bhadreswarmunicipality-gov.in,2,wikidata;wikidata,Bhadreswar Municipality
bkpmuty.in,2,wikidata;wikidata,Barrackpore Municipality
corporationoftrivandrum.in,2,wikidata;wikidata,Thiruvananthapuram Municipal Corporation
dalkholamunicipality.org.in,2,wikidata;wikidata,Dalkhola Municipality
gmcportal.in,2,wikidata;wikidata,Guwahati Municipal Corporation
hcm.net.in,2,wikidata;wikidata,Hugli-Chinsurah Municipality
kmc.up.nic.in,2,wikidata;wikidata,Kanpur Municipal Corporation
lmc.up.nic.in,2,wikidata;wikidata,Lucknow Municipal Corporation
mcdonline.nic.in,2,wikidata;wikidata,Municipal Corporation of Delhi
mpa.nic.in,2,wikidata;wikidata;wikidata,Ministry of Parliamentary Affairs | Ministry of Mines
nagarnigamraipur.nic.in,2,wikidata;wikidata,Raipur Municipal Corporation
nashikcorporation.in,2,wikidata;wikidata,Nashik Municipal Corporation
nppunnao.in,2,wikidata;wikidata,Unnao Municipal Corporation
omm.org.in,2,wikidata;wikidata,Old Malda Municipality
patnanagarnigam.in,2,wikidata;wikidata,Patna Municipal Corporation
rajpursonarpurmunicipality.in,2,wikidata;wikidata,Rajpur Sonarpur Municipality
tarakeswarmunicipality.in,2,wikidata;wikidata,Tarakeswar Municipality
uttarparamunicipality.in,2,wikidata;wikidata,Uttarpara Kotrung Municipality
arambaghmunicipality.org,1,wikidata;wikidata,Arambag Municipality
baidyabatimunicipality.org,1,wikidata;wikidata,Baidyabati Municipality
ballymunicipality.com,1,wikidata;wikidata,Bally Municipality
bansberiamunicipality.org,1,wikidata;wikidata,Bansberia Municipality
baranagarmunicipality.org,1,wikidata;wikidata,Baranagar Municipality
barasatmunicipality.org,1,wikidata;wikidata,Barasat Municipality
bhopalmunicipal.com,1,wikidata;wikidata,Bhopal Municipal Corporation
bongaonmunicipality.org,1,wikidata;wikidata,Bangaon Municipality
buniadpurmunicipality.org,1,wikidata;wikidata,Buniadpur Municipality
champdanymunicipality.org,1,wikidata;wikidata,Champdani Municipality
chhsambhajinagarmc.org,1,wikidata;wikidata,Aurangabad (Chhatrapati Sambhajinagar) Municipal Corporation
corporationofthrissur.org,1,wikidata;wikidata,Thrissur Municipal Corporation
dankunimunicipality.com,1,wikidata;wikidata,Dankuni Municipality
