domain,level,name
aarogyasri.gov.in,central-1,Aarogyasri Health Care Trust (Andhra Pradesh/Telangana)
accountsgoa.gov.in,central-1,Directorate of Accounts (Goa)
adibasikalyan.gov.in,central-1,Tribal Development Department (West Bengal)
anagrasarkalyan.gov.in,central-1,Backward Classes Welfare Department (West Bengal)
andaman.gov.in,central-1,Andaman and Nicobar Islands
ap.gov.in,central-1,Andhra Pradesh
apcommercialtaxes.gov.in,central-1,Commercial Taxes Department (Andhra Pradesh)
apct.gov.in,central-1,Commercial Taxes Department (Andhra Pradesh)
apdcl.gov.in,central-1,Assam Power Distribution Company Limited
apfinance.gov.in,central-1,Finance Department (Andhra Pradesh)
apgenco.gov.in,central-1,Andhra Pradesh Power Generation Corporation
apindustries.gov.in,central-1,Industries Department (Andhra Pradesh)
aponline.gov.in,central-1,APOnline e-services portal (Andhra Pradesh)
apspsc.gov.in,central-1,Andhra Pradesh Public Service Commission
apsrtc.gov.in,central-1,Andhra Pradesh State Road Transport Corporation
aptransco.gov.in,central-1,Transmission Corporation of Andhra Pradesh
arunachalpradesh.gov.in,central-1,Arunachal Pradesh
arunachaltenders.gov.in,central-1,Arunachal Pradesh e-procurement
assam.gov.in,central-1,Assam
assamtenders.gov.in,central-1,Assam e-procurement
banglarmukh.gov.in,central-1,Banglar Mukh state portal (West Bengal)
barrackpore.gov.in,local,Barrackpore Sub-Division (West Bengal)
barrackpore1block.gov.in,local,Barrackpore-I Development Block (West Bengal)
bihar.gov.in,central-1,Bihar
biharcommercialtax.gov.in,central-1,Commercial Taxes Department (Bihar)
biharpolice.gov.in,central-1,Bihar Police
biharregd.gov.in,central-1,Registration Department (Bihar)
bncmc.gov.in,local,Bhiwandi Nizampur City Municipal Corporation (Maharashtra)
cadc.gov.in,local,Chakma Autonomous District Council (Mizoram)
ccmc.gov.in,local,Coimbatore City Municipal Corporation (Tamil Nadu)
ccpur.gov.in,local,Churachandpur District (Manipur)
cctnsup.gov.in,central-1,Uttar Pradesh Police CCTNS
cg.gov.in,central-1,Chhattisgarh
cgeprocurement.gov.in,central-1,Chhattisgarh e-procurement
cgg.gov.in,central-1,Centre for Good Governance (Telangana)
cgstate.gov.in,central-1,Chhattisgarh
chandigarh.gov.in,central-1,Chandigarh
