subdomain,parent_domain,http_status,mx
132b114842d5f7d97bcc9a5af45dab47.awaas.gov.in,gov.in,Could not resolve host: 132b114842d5f7d97bcc9a5af45dab47.awaas.gov.in,none
aadhaar.hp.gov.in,gov.in,Resolving timed out after 3000 milliseconds,dig error
aadhaarmobileupdate.gov.in,gov.in,Could not resolve host: aadhaarmobileupdate.gov.in,none
aarogyasri.gov.in,gov.in,Connection timed out after 3001 milliseconds,10 mta1.aarogyasri.gov.in.
acb.mizoram.gov.in,gov.in,403,50 mx3.mgovcloud.in.; 10 mx.mgovcloud.in.; 20 mx2.mgovcloud.in.
accountingonline.gov.in,gov.in,Could not resolve host: accountingonline.gov.in,none
accountsgoa.gov.in,gov.in,Connection timed out after 3002 milliseconds,20 mx2.mgovcloud.in.; 50 mx3.mgovcloud.in.; 10 mx.mgovcloud.in.
accr.nbe.gov.in,gov.in,Could not resolve host: accr.nbe.gov.in,none
aces.gov.in,gov.in,Could not resolve host: aces.gov.in,none
achievements.kerala.gov.in,gov.in,Connection timed out after 3001 milliseconds,0 pop.achievements.kerala.gov.in.; 10 pop.achievements.kerala.gov.in.
ada.gov.in,gov.in,500,none
adibasikalyan.gov.in,gov.in,TLS connect error: error:0A000152:SSL routines::unsafe legacy renegotiation disabled,5 adibasikalyan.gov.in.
admin.esms.kerala.gov.in,gov.in,Resolving timed out after 3000 milliseconds,10 pop.admin.esms.kerala.gov.in.; 0 pop.admin.esms.kerala.gov.in.
admin.nsd.gov.in,gov.in,401,none
admission.dvet.gov.in,gov.in,200,none
admissions.dtemaharashtra.gov.in,gov.in,Could not resolve host: admissions.dtemaharashtra.gov.in,none
aera.eoffice.gov.in,gov.in,Could not resolve host: aera.eoffice.gov.in,none
aftjaipur.gov.in,gov.in,200,none
agri.goa.gov.in,gov.in,405,none
agriculture.mizoram.gov.in,gov.in,403,50 mx3.mgovcloud.in.; 10 mx.mgovcloud.in.; 20 mx2.mgovcloud.in.
agroweb.icar.gov.in,gov.in,Could not resolve host: agroweb.icar.gov.in,none
ahd.tn.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
ahvety.mizoram.gov.in,gov.in,403,50 mx3.mgovcloud.in.; 10 mx.mgovcloud.in.; 20 mx2.mgovcloud.in.
aiims.eoffice.gov.in,gov.in,Could not resolve host: aiims.eoffice.gov.in,none
aims.indianrailways.gov.in,gov.in,Failed to connect to aims.indianrailways.gov.in port 443 after 396 ms: Could not connect to server,none
airmenselection.gov.in,gov.in,Could not resolve host: airmenselection.gov.in,none
airports-ecom.gov.in,gov.in,Connection timed out after 3001 milliseconds,10 mail.airports-ecom.gov.in.
aisprofiles.kerala.gov.in,gov.in,Connection timed out after 3000 milliseconds,10 pop.aisprofiles.kerala.gov.in.; 0 pop.aisprofiles.kerala.gov.in.
aizawl.nielit.gov.in,gov.in,Could not resolve host: aizawl.nielit.gov.in,none
aizawlddma.mizoram.gov.in,gov.in,403,20 mx2.mgovcloud.in.; 50 mx3.mgovcloud.in.; 10 mx.mgovcloud.in.
aizawldrda.mizoram.gov.in,gov.in,403,10 mx.mgovcloud.in.; 20 mx2.mgovcloud.in.; 50 mx3.mgovcloud.in.
alumni.cipet.gov.in,gov.in,200,none
amaravati.gov.in,gov.in,Could not resolve host: amaravati.gov.in,none
amc.mizoram.gov.in,gov.in,403,10 mx.mgovcloud.in.; 50 mx3.mgovcloud.in.; 20 mx2.mgovcloud.in.
anagrasarkalyan.gov.in,gov.in,200,0 anagrasarkalyan.gov.in.
andaman.gov.in,andaman.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
ansi.gov.in,gov.in,403,0 webmail.ansi.gov.in.
antarang.icegate.gov.in,gov.in,200,none
anyror.gujarat.gov.in,gov.in,Resolving timed out after 3000 milliseconds,none
ap.gov.in,gov.in,Connection timed out after 3002 milliseconds,20 mx2.mgovcloud.in.; 10 mx.mgovcloud.in.; 50 mx3.mgovcloud.in.
apasp.meeseva.gov.in,gov.in,Connection timed out after 3001 milliseconds,none
apbcl.ap.gov.in,gov.in,Connection timed out after 3002 milliseconds,dig error
apcommercialtaxes.gov.in,apcommercialtaxes.gov.in,ConnectException,
apct.gov.in,gov.in,Resolving timed out after 3001 milliseconds,50 mx3.mgovcloud.in.; 20 mx2.mgovcloud.in.; 10 mx.mgovcloud.in.
apctcasmbx1.apcommercialtaxes.gov.in,gov.in,Could not resolve host: apctcasmbx1.apcommercialtaxes.gov.in,none
apctcasmbx1.apct.gov.in,gov.in,Could not resolve host: apctcasmbx1.apct.gov.in,dig error
apctcasmbx2.apcommercialtaxes.gov.in,gov.in,Could not resolve host: apctcasmbx2.apcommercialtaxes.gov.in,none
apdcl.gov.in,apdcl.gov.in,ConnectException,
apdept.meeseva.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
apfinance.gov.in,gov.in,200,0 apfinance-gov-in.mail.protection.outlook.com.
apgenco.gov.in,apgenco.gov.in,200,
apgepglq.apgenco.gov.in,gov.in,Could not resolve host: apgepglq.apgenco.gov.in,none
aphrdi.ap.gov.in,gov.in,Connection timed out after 3001 milliseconds,none
api.sewadwaar.rajasthan.gov.in,gov.in,Connection timed out after 3000 milliseconds,none
apindustries.gov.in,gov.in,Connection timed out after 3001 milliseconds,none
apit.ap.gov.in,gov.in,Connection timed out after 3001 milliseconds,none
aponline.gov.in,aponline.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
app.aarogyasri.gov.in,gov.in,Resolving timed out after 3000 milliseconds,dig error
app.umang.gov.in,gov.in,302,none
apps.mgov.gov.in,gov.in,Could not resolve host: apps.mgov.gov.in,none
apspsc.gov.in,gov.in,Connection timed out after 3000 milliseconds,none
apsrtc.gov.in,apsrtc.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
aptr-soi.gov.in,gov.in,Resolving timed out after 3001 milliseconds,none
aptransco.gov.in,gov.in,Connection timed out after 3001 milliseconds,50 mx3.zoho.in.; 20 mx2.zoho.in.; 10 mx.zoho.in.
aptsrv2excv1.aptransco.gov.in,gov.in,Could not resolve host: aptsrv2excv1.aptransco.gov.in,none
aptsrv3excv2.aptransco.gov.in,gov.in,Could not resolve host: aptsrv3excv2.aptransco.gov.in,none
aquaptax.mcgm.gov.in,gov.in,302,none
arstps.gov.in,gov.in,301,none
arthvahini.maharashtra.gov.in,gov.in,Resolving timed out after 3000 milliseconds,dig error
arthwahini.mahakosh.gov.in,gov.in,Could not resolve host: arthwahini.mahakosh.gov.in,none
arunachalpradesh.gov.in,arunachalpradesh.gov.in,200,
arunachaltenders.gov.in,gov.in,200,none
asp.meeseva.gov.in,gov.in,Could not resolve host: asp.meeseva.gov.in,none
assam.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
assamtenders.gov.in,gov.in,200,none
assets.mizoram.gov.in,gov.in,403,none
ati.mizoram.gov.in,gov.in,Could not resolve host: ati.mizoram.gov.in,none
attendance.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
atvt.gujarat.gov.in,gov.in,Could not resolve host: atvt.gujarat.gov.in,none
aua.csc.gov.in,gov.in,Connection timed out after 3001 milliseconds,none
auction.eprocurement.gov.in,gov.in,Could not resolve host: auction.eprocurement.gov.in,none
auth.awaas.gov.in,gov.in,Could not resolve host: auth.awaas.gov.in,none
authenticate.epramaan.gov.in,gov.in,200,none
authentication.mizoram.gov.in,gov.in,403,none
autho.dvat.gov.in,gov.in,Connection timed out after 3003 milliseconds,none
autodiscover.amaravati.gov.in,gov.in,Could not resolve host: autodiscover.amaravati.gov.in,none
autodiscover.ap.gov.in,gov.in,Could not resolve host: autodiscover.ap.gov.in,none
autodiscover.apct.gov.in,gov.in,Could not resolve host: autodiscover.apct.gov.in,none
autodiscover.apgenco.gov.in,gov.in,SSL certificate problem: unable to get local issuer certificate,none
autodiscover.aptransco.gov.in,gov.in,Could not resolve host: autodiscover.aptransco.gov.in,none
autodiscover.cag.gov.in,gov.in,Could not resolve host: autodiscover.cag.gov.in,none
autodiscover.cgiedinburgh.gov.in,gov.in,Could not resolve host: autodiscover.cgiedinburgh.gov.in,none
autodiscover.cmrl.gov.in,gov.in,Could not resolve host: autodiscover.cmrl.gov.in,none
autodiscover.crlindia.gov.in,gov.in,Could not resolve host: autodiscover.crlindia.gov.in,none
autodiscover.cseb.gov.in,gov.in,Could not resolve host: autodiscover.cseb.gov.in,none
autodiscover.eoibelgrade.gov.in,gov.in,Could not resolve host: autodiscover.eoibelgrade.gov.in,none
autodiscover.gujarat.gov.in,gov.in,Connection timed out after 3001 milliseconds,none
autodiscover.hcisingapore.gov.in,gov.in,Could not resolve host: autodiscover.hcisingapore.gov.in,none
autodiscover.hcizambia.gov.in,gov.in,Could not resolve host: autodiscover.hcizambia.gov.in,none
autodiscover.hpmail.gov.in,gov.in,Resolving timed out after 3001 milliseconds,dig error
autodiscover.icar.gov.in,gov.in,Could not resolve host: autodiscover.icar.gov.in,none
autodiscover.indembassy-tokyo.gov.in,gov.in,Could not resolve host: autodiscover.indembassy-tokyo.gov.in,none
autodiscover.indiapost.gov.in,gov.in,Could not resolve host: autodiscover.indiapost.gov.in,none
autodiscover.ireda.gov.in,gov.in,Could not resolve host: autodiscover.ireda.gov.in,none
autodiscover.jalgaonpolice.gov.in,gov.in,Could not resolve host: autodiscover.jalgaonpolice.gov.in,none
autodiscover.karnataka.gov.in,gov.in,Connection timed out after 3000 milliseconds,none
autodiscover.mahafireservice.gov.in,gov.in,Failed to connect to autodiscover.mahafireservice.gov.in port 443 after 117 ms: Could not connect to server,none
autodiscover.manipureducation.gov.in,gov.in,Could not resolve host: autodiscover.manipureducation.gov.in,none
autodiscover.manipurtourism.gov.in,gov.in,Could not resolve host: autodiscover.manipurtourism.gov.in,none
autodiscover.mcgm.gov.in,gov.in,Failed to connect to autodiscover.mcgm.gov.in port 443 after 52 ms: Could not connect to server,none
autodiscover.mhrdnats.gov.in,gov.in,Could not resolve host: autodiscover.mhrdnats.gov.in,none
autodiscover.mnpcs.gov.in,gov.in,Could not resolve host: autodiscover.mnpcs.gov.in,none
autodiscover.ncaor.gov.in,gov.in,Connection timed out after 3000 milliseconds,none
autodiscover.sebi.gov.in,gov.in,Resolving timed out after 3001 milliseconds,none
autodiscover.telangana.gov.in,gov.in,Resolving timed out after 3001 milliseconds,none
autodiscover.tgct.gov.in,gov.in,Could not resolve host: autodiscover.tgct.gov.in,none
autodiscover.thanecity.gov.in,gov.in,Connection timed out after 3000 milliseconds,none
autodiscover.wbphed.gov.in,gov.in,Failed to connect to autodiscover.wbphed.gov.in port 443 after 1714 ms: Could not connect to server,none
avedg.sebi.gov.in,gov.in,Resolving timed out after 3001 milliseconds,none
awards.nbe.gov.in,gov.in,Could not resolve host: awards.nbe.gov.in,none
ayurveda.kerala.gov.in,gov.in,Could not resolve host: ayurveda.kerala.gov.in,none
bangaloreone.gov.in,gov.in,Could not resolve host: bangaloreone.gov.in,none
banglarmukh.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
barcrecruit.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
barrackpore.gov.in,gov.in,TLS connect error: error:0A000152:SSL routines::unsafe legacy renegotiation disabled,none
barrackpore1block.gov.in,gov.in,Could not resolve host: barrackpore1block.gov.in,none
bbmptax.karnataka.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
bcdd.kerala.gov.in,gov.in,Could not resolve host: bcdd.kerala.gov.in,none
bdobilkhawthlir.mizoram.gov.in,gov.in,403,none
bdocpi.mizoram.gov.in,gov.in,403,none
bdoeld.mizoram.gov.in,gov.in,403,none
bdokhawzawl.mizoram.gov.in,gov.in,Could not resolve host: bdokhawzawl.mizoram.gov.in,10 mx.mgovcloud.in.; 20 mx2.mgovcloud.in.; 50 mx3.mgovcloud.in.
bdolungsen.mizoram.gov.in,gov.in,Could not resolve host: bdolungsen.mizoram.gov.in,none
bdoreiek.mizoram.gov.in,gov.in,403,50 mx3.mgovcloud.in.; 20 mx2.mgovcloud.in.; 10 mx.mgovcloud.in.
bdoserchhip.mizoram.gov.in,gov.in,Could not resolve host: bdoserchhip.mizoram.gov.in,none
bdothingsul.mizoram.gov.in,gov.in,403,none
bdotlangnuam.mizoram.gov.in,gov.in,403,none
beams.mahakosh.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
beeindia.gov.in,gov.in,405,20 mx2.mgovcloud.in.; 50 mx3.mgovcloud.in.; 10 mx.mgovcloud.in.
beenet.gov.in,gov.in,Resolving timed out after 3001 milliseconds,dig error
beta.mahagst.gov.in,gov.in,Could not resolve host: beta.mahagst.gov.in,none
bharatkeveer.gov.in,gov.in,403,none
bharatkosh.gov.in,gov.in,200,none
bharatnet.csc.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
bhc.gov.in,gov.in,TLS connect error: error:0A00018A:SSL routines::dh key too small,none
bhuvan.nrsc.gov.in,gov.in,302,none
bhuvan3.nrsc.gov.in,gov.in,Could not resolve host: bhuvan3.nrsc.gov.in,none
bhuvan5.nrsc.gov.in,gov.in,Could not resolve host: bhuvan5.nrsc.gov.in,none
bhuvannuis.nrsc.gov.in,gov.in,Resolving timed out after 3001 milliseconds,none
bihar.gov.in,gov.in,Resolving timed out after 3000 milliseconds,none
biharcommercialtax.gov.in,gov.in,Resolving timed out after 3000 milliseconds,none
biharpolice.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
biharregd.gov.in,gov.in,Connection timed out after 3001 milliseconds,none
bms.hyderabadwater.gov.in,gov.in,Connection timed out after 3001 milliseconds,none
bncmc.gov.in,gov.in,301,none
bps.ap.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
briefcase.barc.gov.in,gov.in,Could not resolve host: briefcase.barc.gov.in,none
buvik.gov.in,gov.in,200,none
buysite.eprocurement.gov.in,gov.in,Could not resolve host: buysite.eprocurement.gov.in,none
cadc.gov.in,gov.in,301,1 www.cadc.gov.in.; 10 www.cadc.gov.in.; 5 mail.cadc.gov.in.
cag.gov.in,gov.in,Could not resolve host: cag.gov.in,50 mx3.mgovcloud.in.; 20 mx2.mgovcloud.in.; 10 mx.mgovcloud.in.
cal.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
cal.mail.gov.in,gov.in,Recv failure: Connexion ré-initialisée par le correspondant,none
careers.neepco.gov.in,gov.in,Could not resolve host: careers.neepco.gov.in,none
cbec-easiest.gov.in,gov.in,Could not resolve host: cbec-easiest.gov.in,none
cbnonline.gov.in,gov.in,302,none
cccm.gov.in,gov.in,200,none
ccmc.gov.in,gov.in,200,none
ccpur.gov.in,gov.in,Could not resolve host: ccpur.gov.in,none
