domain,level,source,name
aarogyasri.gov.in,central-1,manual,Aarogyasri Health Care Trust (Andhra Pradesh/Telangana)
accountsgoa.gov.in,central-1,manual,Directorate of Accounts (Goa)
adibasikalyan.gov.in,central-1,manual,Tribal Development Department (West Bengal)
anagrasarkalyan.gov.in,central-1,manual,Backward Classes Welfare Department (West Bengal)
andaman.gov.in,central-1,manual,Andaman and Nicobar Islands
ap.gov.in,central-1,manual,Andhra Pradesh
apcommercialtaxes.gov.in,central-1,manual,Commercial Taxes Department (Andhra Pradesh)
apct.gov.in,central-1,manual,Commercial Taxes Department (Andhra Pradesh)
apdcl.gov.in,central-1,manual,Assam Power Distribution Company Limited
apfinance.gov.in,central-1,manual,Finance Department (Andhra Pradesh)
apgenco.gov.in,central-1,manual,Andhra Pradesh Power Generation Corporation
apindustries.gov.in,central-1,manual,Industries Department (Andhra Pradesh)
aponline.gov.in,central-1,manual,APOnline e-services portal (Andhra Pradesh)
apspsc.gov.in,central-1,manual,Andhra Pradesh Public Service Commission
apsrtc.gov.in,central-1,manual,Andhra Pradesh State Road Transport Corporation
aptransco.gov.in,central-1,manual,Transmission Corporation of Andhra Pradesh
arunachalpradesh.gov.in,central-1,manual,Arunachal Pradesh
arunachaltenders.gov.in,central-1,manual,Arunachal Pradesh e-procurement
assam.gov.in,central-1,manual,Assam
assamtenders.gov.in,central-1,manual,Assam e-procurement
banglarmukh.gov.in,central-1,manual,Banglar Mukh state portal (West Bengal)
bihar.gov.in,central-1,manual,Bihar
biharcommercialtax.gov.in,central-1,manual,Commercial Taxes Department (Bihar)
biharpolice.gov.in,central-1,manual,Bihar Police
biharregd.gov.in,central-1,manual,Registration Department (Bihar)
cctnsup.gov.in,central-1,manual,Uttar Pradesh Police CCTNS
cg.gov.in,central-1,manual,Chhattisgarh
cgeprocurement.gov.in,central-1,manual,Chhattisgarh e-procurement
cgg.gov.in,central-1,manual,Centre for Good Governance (Telangana)
cgstate.gov.in,central-1,manual,Chhattisgarh
chandigarh.gov.in,central-1,manual,Chandigarh
chips.gov.in,central-1,manual,Chhattisgarh infotech Promotion Society
cmkarnataka.gov.in,central-1,manual,Chief Minister of Karnataka
cmofficehry.gov.in,central-1,manual,Chief Minister's Office (Haryana)
cooptex.gov.in,central-1,manual,Tamil Nadu Handloom Weavers' Cooperative Society
cseb.gov.in,central-1,manual,Chhattisgarh State Electricity Board
ctdbihar.gov.in,central-1,manual,Commercial Taxes Department (Bihar)
dd.gov.in,central-1,manual,Daman and Diu
ddd.gov.in,central-1,manual,Dadra and Nagar Haveli and Daman and Diu
dded.gov.in,central-1,manual,Daman and Diu Electricity Department
delhi.gov.in,central-1,manual,Delhi (National Capital Territory)
delhiexcise.gov.in,central-1,manual,Excise Department (Delhi)
djb.gov.in,central-1,manual,Delhi Jal Board
dnh.gov.in,central-1,manual,Dadra and Nagar Haveli
dtemaharashtra.gov.in,central-1,manual,Directorate of Technical Education (Maharashtra)
dvat.gov.in,central-1,manual,Department of Trade and Taxes (Delhi)
dvet.gov.in,central-1,manual,Directorate of Vocational Education and Training (Maharashtra)
dwsspunjab.gov.in,central-1,manual,Department of Water Supply and Sanitation (Punjab)
eassemblygoa.gov.in,central-1,manual,Goa Legislative Assembly e-Assembly
emitra.gov.in,central-1,manual,e-Mitra citizen services (Rajasthan)
employmentbankwb.gov.in,central-1,manual,Employment Bank (West Bengal)
eprocpbpwd.gov.in,central-1,manual,Public Works Department e-procurement (Punjab)
eserviceshp.gov.in,central-1,manual,e-Services portal (Himachal Pradesh)
esiwb.gov.in,central-1,manual,Directorate of ESI Scheme (West Bengal)
finance-jharkhand.gov.in,central-1,manual,Finance Department (Jharkhand)
goa.gov.in,central-1,manual,Goa
goadmg.gov.in,central-1,manual,Directorate of Mines and Geology (Goa)
goaelectricity.gov.in,central-1,manual,Electricity Department (Goa)
goaonline.gov.in,central-1,manual,Goa Online
goaprisons.gov.in,central-1,manual,Prisons Department (Goa)
goaspcb.gov.in,central-1,manual,Goa State Pollution Control Board
goavidhansabha.gov.in,central-1,manual,Goa Legislative Assembly
goawrd.gov.in,central-1,manual,Water Resources Department (Goa)
gov.in,central,manual,
gujarat.gov.in,central-1,manual,Gujarat
gujaratindia.gov.in,central-1,manual,Gujarat
hartrans.gov.in,central-1,manual,Haryana Roadways (Transport Department)
haryana.gov.in,central-1,manual,Haryana
haryanaeprocurement.gov.in,central-1,manual,Haryana e-procurement
haryanaeseva.gov.in,central-1,manual,Haryana e-Seva
haryanaindustries.gov.in,central-1,manual,Industries Department (Haryana)
haryanatransport.gov.in,central-1,manual,Transport Department (Haryana)
herc.gov.in,central-1,manual,Haryana Electricity Regulatory Commission
himachal.gov.in,central-1,manual,Himachal Pradesh
hp.gov.in,central-1,manual,Himachal Pradesh
hptax.gov.in,central-1,manual,Excise and Taxation Department (Himachal Pradesh)
hptenders.gov.in,central-1,manual,Himachal Pradesh e-procurement
hrmsorissa.gov.in,central-1,manual,Human Resources Management System (Odisha)
huda.gov.in,central-1,manual,Haryana Urban Development Authority
ifmsodisha.gov.in,central-1,manual,Integrated Financial Management System (Odisha)
igrmaharashtra.gov.in,central-1,manual,Inspector General of Registration (Maharashtra)
investkarnataka.gov.in,central-1,manual,Invest Karnataka
