subdomain,parent_domain,http_status,mx
aai.gov.ie,gov.ie,301,none
aai.irelandwebsite.com.aai.gov.ie,gov.ie,Could not resolve host: aai.irelandwebsite.com.aai.gov.ie,none
access.health.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
access.number23.gov.ie,gov.ie,Could not resolve host: access.number23.gov.ie,none
accessdr.health.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
accruedpensionliability.gov.ie,gov.ie,Could not resolve host: accruedpensionliability.gov.ie,none
adforaffl.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
adfs.number23.gov.ie,gov.ie,Could not resolve host: adfs.number23.gov.ie,none
admin.chg.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
admin.ombudsman.gov.ie,gov.ie,Could not resolve host: admin.ombudsman.gov.ie,none
admin.sipo.gov.ie,gov.ie,Could not resolve host: admin.sipo.gov.ie,none
admin.supportingsmes.gov.ie,gov.ie,Could not resolve host: admin.supportingsmes.gov.ie,none
admin.taoiseach.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
admin1.bcp.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
admin1.g2ia.gov.ie,gov.ie,Could not resolve host: admin1.g2ia.gov.ie,none
agapps.agriculture.gov.ie,gov.ie,SSL: no alternative certificate subject name matches target hostname 'agapps.agriculture.gov.ie',none
agapps1.agriculture.gov.ie,gov.ie,Could not resolve host: agapps1.agriculture.gov.ie,none
agfood.agriculture.gov.ie,gov.ie,403,none
agfood.itrain.agriculture.gov.ie,gov.ie,403,none
agfood.iuat.agriculture.gov.ie,gov.ie,403,none
agriculture.gov.ie,gov.ie,302,none
agws.agriculture.gov.ie,gov.ie,TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure,none
agws.iuat.agriculture.gov.ie,gov.ie,TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure,none
ahg.gov.ie,gov.ie,SSL certificate problem: unable to get local issuer certificate,none
aim.gov.ie,gov.ie,200,none
aimws.agriculture.gov.ie,gov.ie,TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure,none
aimws.itrain.agriculture.gov.ie,gov.ie,TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure,none
aimws.iuat.agriculture.gov.ie,gov.ie,TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure,none
amach.education.gov.ie,gov.ie,Could not resolve host: amach.education.gov.ie,none
amach2.education.gov.ie,gov.ie,Could not resolve host: amach2.education.gov.ie,none
api.agriculture.gov.ie,gov.ie,Connection timed out after 3001 milliseconds,none
api.dept.dev.agriculture.gov.ie,gov.ie,Could not resolve host: api.dept.dev.agriculture.gov.ie,none
api.drmy.education.gov.ie,gov.ie,Could not resolve host: api.drmy.education.gov.ie,none
api.drmy.nsso.gov.ie,gov.ie,Connection timed out after 3001 milliseconds,none
api.gov.ie,gov.ie,Could not resolve host: api.gov.ie,none
api.icentest.agriculture.gov.ie,gov.ie,Could not resolve host: api.icentest.agriculture.gov.ie,none
api.idev.agriculture.gov.ie,gov.ie,Could not resolve host: api.idev.agriculture.gov.ie,none
api.iprelive.agriculture.gov.ie,gov.ie,Could not resolve host: api.iprelive.agriculture.gov.ie,none
api.itechtest.agriculture.gov.ie,gov.ie,Could not resolve host: api.itechtest.agriculture.gov.ie,none
api.iuat.agriculture.gov.ie,gov.ie,SSL: no alternative certificate subject name matches target hostname 'api.iuat.agriculture.gov.ie',none
api.my.education.gov.ie,gov.ie,Could not resolve host: api.my.education.gov.ie,none
api.my.nsso.gov.ie,gov.ie,Could not resolve host: api.my.nsso.gov.ie,none
api.testing.gov.ie,gov.ie,Could not resolve host: api.testing.gov.ie,none
api.uatmy.education.gov.ie,gov.ie,Could not resolve host: api.uatmy.education.gov.ie,none
api.uatmy.nsso.gov.ie,gov.ie,Connection timed out after 3001 milliseconds,none
apollo.ncsc.gov.ie,gov.ie,Could not resolve host: apollo.ncsc.gov.ie,none
apps.rhos.agriculture.gov.ie,gov.ie,Could not resolve host: apps.rhos.agriculture.gov.ie,none
appsentry.number23.gov.ie,gov.ie,Could not resolve host: appsentry.number23.gov.ie,none
appsentry.taoiseach.gov.ie,gov.ie,Connection timed out after 3001 milliseconds,none
assets.gov.ie,gov.ie,Could not resolve host: assets.gov.ie,none
audgen.gov.ie,gov.ie,Could not resolve host: audgen.gov.ie,none
audit.data.gov.ie,gov.ie,200,none
audit.gov.ie,gov.ie,301,none
autodiscover.agriculture.gov.ie,gov.ie,Connection timed out after 3001 milliseconds,none
autodiscover.ahg.gov.ie,gov.ie,Connection timed out after 3001 milliseconds,none
autodiscover.chg.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
autodiscover.csso.gov.ie,gov.ie,Connection timed out after 3001 milliseconds,none
autodiscover.education.gov.ie,gov.ie,Failed to connect to autodiscover.education.gov.ie port 443 after 1161 ms: Could not connect to server,none
autodiscover.heritage.gov.ie,gov.ie,Could not resolve host: autodiscover.heritage.gov.ie,none
autodiscover.number23.gov.ie,gov.ie,Could not resolve host: autodiscover.number23.gov.ie,none
autodiscover.taoiseach.gov.ie,gov.ie,Could not resolve host: autodiscover.taoiseach.gov.ie,none
autodiscover.tsr.gov.ie,gov.ie,Could not resolve host: autodiscover.tsr.gov.ie,none
av.chg.gov.ie,gov.ie,Could not resolve host: av.chg.gov.ie,none
away.aras.gov.ie,gov.ie,Could not resolve host: away.aras.gov.ie,none
bamboo.agriculture.gov.ie,gov.ie,Could not resolve host: bamboo.agriculture.gov.ie,none
banking.finance.gov.ie,gov.ie,Could not resolve host: banking.finance.gov.ie,none
beneficialownership.gov.ie,gov.ie,SSL: no alternative certificate subject name matches target hostname 'beneficialownership.gov.ie',none
biodiversity.chg.gov.ie,gov.ie,Could not resolve host: biodiversity.chg.gov.ie,none
biodiversity.heritage.gov.ie,gov.ie,301,none
bip.agriculture.gov.ie,gov.ie,Could not resolve host: bip.agriculture.gov.ie,none
bip.centest.agriculture.gov.ie,gov.ie,Could not resolve host: bip.centest.agriculture.gov.ie,none
bip.dev.agriculture.gov.ie,gov.ie,Could not resolve host: bip.dev.agriculture.gov.ie,none
bip.prelive.agriculture.gov.ie,gov.ie,Could not resolve host: bip.prelive.agriculture.gov.ie,none
bip.techtest.agriculture.gov.ie,gov.ie,Could not resolve host: bip.techtest.agriculture.gov.ie,none
bip.train.agriculture.gov.ie,gov.ie,Could not resolve host: bip.train.agriculture.gov.ie,none
bip.uat.agriculture.gov.ie,gov.ie,Could not resolve host: bip.uat.agriculture.gov.ie,none
bitbucket.agriculture.gov.ie,gov.ie,Could not resolve host: bitbucket.agriculture.gov.ie,none
blackduck.agriculture.gov.ie,gov.ie,Could not resolve host: blackduck.agriculture.gov.ie,none
blur.agriculture.gov.ie,gov.ie,Could not resolve host: blur.agriculture.gov.ie,none
burghquayregistrationoffice.inis.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
buyerzone.gov.ie,gov.ie,302,10 feedback-smtp.eu-west-1.amazonses.com.
buyerzone.testing.gov.ie,gov.ie,Could not resolve host: buyerzone.testing.gov.ie,none
bz.testing.gov.ie,gov.ie,Could not resolve host: bz.testing.gov.ie,none
cabsec.ecabinet.gov.ie,gov.ie,Could not resolve host: cabsec.ecabinet.gov.ie,none
ccss.health.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
certauth.adfs.number23.gov.ie,gov.ie,Could not resolve host: certauth.adfs.number23.gov.ie,none
chg.gov.ie,gov.ie,302,5 eu-smtp-inbound-1.mimecast.com.; 5 eu-smtp-inbound-2.mimecast.com.
ci.dev.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
cio.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
circulars.gov.ie,gov.ie,Could not resolve host: circulars.gov.ie,none
clearpass.gn.gov.ie,gov.ie,Could not resolve host: clearpass.gn.gov.ie,none
cloud.gov.ie,gov.ie,Could not resolve host: cloud.gov.ie,none
cloudhostedapps.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
cloudtesthostedapps.gov.ie,gov.ie,Could not resolve host: cloudtesthostedapps.gov.ie,none
cmo.gov.ie,gov.ie,302,none
cms.dev.gov.ie,gov.ie,Could not resolve host: cms.dev.gov.ie,none
collab-edge.agriculture.gov.ie,gov.ie,Could not resolve host: collab-edge.agriculture.gov.ie,none
confluence.agriculture.gov.ie,gov.ie,Could not resolve host: confluence.agriculture.gov.ie,none
connect.ahg.gov.ie,gov.ie,Could not resolve host: connect.ahg.gov.ie,none
connect.vc.ahg.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
console.rhos.agriculture.gov.ie,gov.ie,Could not resolve host: console.rhos.agriculture.gov.ie,none
construction.testing.gov.ie,gov.ie,200,none
constructionprocurement.gov.ie,gov.ie,Could not resolve host: constructionprocurement.gov.ie,none
consult.health.gov.ie,gov.ie,Could not resolve host: consult.health.gov.ie,none
content.gov.ie,gov.ie,Could not resolve host: content.gov.ie,none
core.number23.gov.ie,gov.ie,Could not resolve host: core.number23.gov.ie,none
coreapi.dev.gov.ie,gov.ie,Could not resolve host: coreapi.dev.gov.ie,none
covid-misp.ncsc.gov.ie,gov.ie,Could not resolve host: covid-misp.ncsc.gov.ie,none
covidtracker.gov.ie,gov.ie,Could not resolve host: covidtracker.gov.ie,none
cpanel.rbo.gov.ie,gov.ie,Could not resolve host: cpanel.rbo.gov.ie,none
cpcalendars.rbo.gov.ie,gov.ie,Could not resolve host: cpcalendars.rbo.gov.ie,none
cpcontacts.rbo.gov.ie,gov.ie,Could not resolve host: cpcontacts.rbo.gov.ie,none
creativeireland.gov.ie,gov.ie,301,none
crinniu.creativeireland.gov.ie,gov.ie,Could not resolve host: crinniu.creativeireland.gov.ie,none
cruinniu.creativeireland.gov.ie,gov.ie,301,none
cseas.per.gov.ie,gov.ie,Could not resolve host: cseas.per.gov.ie,none
customerfss.ext.nsso.gov.ie,gov.ie,Could not resolve host: customerfss.ext.nsso.gov.ie,none
customerfsstest.ext.nsso.gov.ie,gov.ie,Could not resolve host: customerfsstest.ext.nsso.gov.ie,none
d365.agriculture.gov.ie,gov.ie,Could not resolve host: d365.agriculture.gov.ie,none
d365p.agriculture.gov.ie,gov.ie,Connection timed out after 3001 milliseconds,none
d365p1.agriculture.gov.ie,gov.ie,SSL: no alternative certificate subject name matches target hostname 'd365p1.agriculture.gov.ie',none
d365p2.agriculture.gov.ie,gov.ie,SSL: no alternative certificate subject name matches target hostname 'd365p2.agriculture.gov.ie',none
d365p3.agriculture.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
d365portal.agriculture.gov.ie,gov.ie,405,none
d365portal.dev.agriculture.gov.ie,gov.ie,Could not resolve host: d365portal.dev.agriculture.gov.ie,none
d365portal.sit.agriculture.gov.ie,gov.ie,Could not resolve host: d365portal.sit.agriculture.gov.ie,none
d365portal.uat.agriculture.gov.ie,gov.ie,Could not resolve host: d365portal.uat.agriculture.gov.ie,none
da.health.gov.ie,gov.ie,404,none
da1.housing.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
dafmam.agriculture.gov.ie,gov.ie,302,none
dafxen.agriculture.gov.ie,gov.ie,Could not resolve host: dafxen.agriculture.gov.ie,none
dara.agriculture.gov.ie,gov.ie,302,none
dara2.agriculture.gov.ie,gov.ie,302,none
darina.agriculture.gov.ie,gov.ie,Could not resolve host: darina.agriculture.gov.ie,none
data.gov.ie,gov.ie,Could not resolve host: data.gov.ie,none
data.nbco.gov.ie,gov.ie,200,none
dbei.gov.ie,gov.ie,301,10 mx2.topsec.com.; 10 mx1.topsec.com.
dccae.gov.ie,gov.ie,SSL certificate problem: unable to get local issuer certificate,none
dcya.gov.ie,gov.ie,Connection timed out after 3001 milliseconds,none
deathevents.gov.ie,gov.ie,SSL certificate problem: unable to get local issuer certificate,none
decc.gov.ie,gov.ie,301,none
demo.eidasmw.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
demo.eidasnode.gov.ie,gov.ie,Could not resolve host: demo.eidasnode.gov.ie,none
demo.sp.gov.ie,gov.ie,Connection timed out after 3001 milliseconds,none
demo.spidp.gov.ie,gov.ie,Could not resolve host: demo.spidp.gov.ie,none
demo2.eidasnode.gov.ie,gov.ie,Connection timed out after 3001 milliseconds,none
dev.dgou.gov.ie,gov.ie,Could not resolve host: dev.dgou.gov.ie,none
dev.testing.gov.ie,gov.ie,Could not resolve host: dev.testing.gov.ie,none
devassets.gov.ie,gov.ie,403,none
development.rbo.gov.ie,gov.ie,Could not resolve host: development.rbo.gov.ie,none
devops.ntier.agriculture.gov.ie,gov.ie,Could not resolve host: devops.ntier.agriculture.gov.ie,none
devtemp.testing.gov.ie,gov.ie,Could not resolve host: devtemp.testing.gov.ie,none
dgvt.gov.ie,gov.ie,Could not resolve host: dgvt.gov.ie,none
dialin.chg.gov.ie,gov.ie,Could not resolve host: dialin.chg.gov.ie,none
dialin.dbei.gov.ie,gov.ie,Could not resolve host: dialin.dbei.gov.ie,none
dialin.education.gov.ie,gov.ie,Could not resolve host: dialin.education.gov.ie,none
digitalpostbox.gov.ie,gov.ie,302,none
discoverreceiver.agriculture.gov.ie,gov.ie,Could not resolve host: discoverreceiver.agriculture.gov.ie,none
discoverreceiver.dccae.gov.ie,gov.ie,Could not resolve host: discoverreceiver.dccae.gov.ie,none
discoverreceiver.dcenr.gov.ie,gov.ie,Could not resolve host: discoverreceiver.dcenr.gov.ie,none
discoverreceiver.decc.gov.ie,gov.ie,Could not resolve host: discoverreceiver.decc.gov.ie,none
docker-registry-default.apps.rhos.agriculture.gov.ie,gov.ie,Could not resolve host: docker-registry-default.apps.rhos.agriculture.gov.ie,none
drcd.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
dripsvcse.vc.gov.ie,gov.ie,400,none
dttas.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
