hostname,score,sources,label,level
rc.majlis.ir,7,wikidata;wikidata,Islamic Consultative Assembly,
dolat.ir,4,wikidata,Government of Iran,
emsrt.ir,4,wikidata,"Ministry of Science, Research and Technology (Iran)",
en.mfa.ir,4,wikidata,Ministry of Foreign Affairs of Iran,
justice.ir,4,wikidata,Ministry of Justice (Iran),
maj.ir,4,wikidata,Ministry of Agriculture Jihad,
mcth.ir,4,wikidata,"Ministry of Cultural Heritage, Tourism and Handicrafts",
medu.ir,4,wikidata,Ministry of Education of Iran,
mefa.ir,4,wikidata,Ministry of Economic Affairs and Finance (Iran),
mod.ir,4,wikidata,Ministry of Defense and Armed Forces Logistics,
moi.ir,4,wikidata,Ministry of Interior (Iran),
mop.ir,4,wikidata,Ministry of Petroleum,
mrt.ir,4,wikidata,Ministry of Roads and Transportation,
mrud.ir,4,wikidata,Ministry of Roads and Urban Development,
vaja.ir,4,wikidata,Ministry of Intelligence,
