subdomain,http_status
102.gov.il,301
120.gov.il,Connection timed out after 3002 milliseconds
360.mosa.gov.il,Could not resolve host: 360.mosa.gov.il
4future.csc.gov.il,Could not resolve host: 4future.csc.gov.il
500230008.justice.gov.il,Could not resolve host: 500230008.justice.gov.il
500250006.justice.gov.il,Could not resolve host: 500250006.justice.gov.il
512160128.justice.gov.il,Could not resolve host: 512160128.justice.gov.il
70.gov.il,Could not resolve host: 70.gov.il
aa.gov.il,Connection timed out after 3001 milliseconds
abarbanel.health.gov.il,Connection timed out after 3002 milliseconds
access.knesset.gov.il,Could not resolve host: access.knesset.gov.il
accessibility.justice.gov.il,404
account.gov.il,302
account.moia.gov.il,Could not resolve host: account.moia.gov.il
actionbase.edu.gov.il,Could not resolve host: actionbase.edu.gov.il
ad.caa.gov.il,Resolving timed out after 3000 milliseconds
ada.antidrugs.gov.il,Could not resolve host: ada.antidrugs.gov.il
adfs.rbc.gov.il,Connection timed out after 3002 milliseconds
adi.gov.il,301
adv.gov.il,SSL certificate problem: certificate has expired
ae.tourism.gov.il,Connection timed out after 3001 milliseconds
agent.cma.gov.il,Could not resolve host: agent.cma.gov.il
agent.mof.gov.il,Could not resolve host: agent.mof.gov.il
agmon.tehila.gov.il,Could not resolve host: agmon.tehila.gov.il
agri.gov.il,Could not resolve host: agri.gov.il
ags.iplan.gov.il,404
ags.moin.gov.il,Could not resolve host: ags.moin.gov.il
aispsb.iaa.gov.il,Resolving timed out after 3000 milliseconds
aliluiaisrael.70.gov.il,Could not resolve host: aliluiaisrael.70.gov.il
alpha.gov.il,Could not resolve host: alpha.gov.il
amit.iaa.gov.il,302
amlogin.education.gov.il,Could not resolve host: amlogin.education.gov.il
anafa.mof.gov.il,403
animal.health.gov.il,Connection timed out after 3000 milliseconds
antidrugs.gov.il,Could not resolve host: antidrugs.gov.il
apacforms.justice.gov.il,302
api.doris.soreq.gov.il,Connection timed out after 3000 milliseconds
api.ims.gov.il,200
apot.justice.gov.il,Could not resolve host: apot.justice.gov.il
apotsc.justice.gov.il,Could not resolve host: apotsc.justice.gov.il
app.boi.gov.il,Could not resolve host: app.boi.gov.il
app.moia.gov.il,Could not resolve host: app.moia.gov.il
app.police.gov.il,Could not resolve host: app.police.gov.il
app1.boi.gov.il,302
app1.mof.gov.il,Could not resolve host: app1.mof.gov.il
app3.mof.gov.il,Could not resolve host: app3.mof.gov.il
application.police.gov.il,404
applinx.iaa.gov.il,Could not resolve host: applinx.iaa.gov.il
apps.moital.gov.il,Resolving timed out after 3001 milliseconds
apps2.edu.gov.il,Could not resolve host: apps2.edu.gov.il
apps2.education.gov.il,Could not resolve host: apps2.education.gov.il
arb.police.gov.il,Could not resolve host: arb.police.gov.il
archives.gov.il,Could not resolve host: archives.gov.il
archmapi.gov.il,200
as.education.gov.il,Could not resolve host: as.education.gov.il
asa.antidrugs.gov.il,Could not resolve host: asa.antidrugs.gov.il
asaf.health.gov.il,Could not resolve host: asaf.health.gov.il
ashra.gov.il,Connection timed out after 3001 milliseconds
atirot.bechirot.gov.il,Could not resolve host: atirot.bechirot.gov.il
atudot.gov.il,Operation timed out after 3001 milliseconds with 0 bytes received
auditors-council.justice.gov.il,302
auth.govforms.gov.il,302
auth.most.gov.il,Could not resolve host: auth.most.gov.il
autodiscover.agri.gov.il,Failed to connect to autodiscover.agri.gov.il port 443 after 143 ms: Could not connect to server
autodiscover.antidrugs.gov.il,Could not resolve host: autodiscover.antidrugs.gov.il
autodiscover.cbs.gov.il,Could not resolve host: autodiscover.cbs.gov.il
autodiscover.education.gov.il,Could not resolve host: autodiscover.education.gov.il
autodiscover.emus.gov.il,Could not resolve host: autodiscover.emus.gov.il
autodiscover.ext-mail.gov.il,Could not resolve host: autodiscover.ext-mail.gov.il
autodiscover.iaa.gov.il,Connection timed out after 3000 milliseconds
autodiscover.idf.gov.il,Connection timed out after 3000 milliseconds
autodiscover.israc.gov.il,Failed to connect to autodiscover.israc.gov.il port 443 after 109 ms: Could not connect to server
autodiscover.jtmt.gov.il,Could not resolve host: autodiscover.jtmt.gov.il
autodiscover.mail.tel-aviv.gov.il,Connection timed out after 3001 milliseconds
autodiscover.molsa.gov.il,Could not resolve host: autodiscover.molsa.gov.il
autodiscover.mot.gov.il,Failed to connect to autodiscover.mot.gov.il port 443 after 99 ms: Could not connect to server
autodiscover.rambam.health.gov.il,Connection timed out after 3001 milliseconds
autodiscover.rbc.gov.il,Failed to connect to autodiscover.rbc.gov.il port 443 after 131 ms: Could not connect to server
autodiscover.sheba.health.gov.il,403
autodiscover.soreq.gov.il,Could not resolve host: autodiscover.soreq.gov.il
autodiscover.volcani.agri.gov.il,Failed to connect to autodiscover.volcani.agri.gov.il port 443 after 83 ms: Could not connect to server
av.court.gov.il,Connection timed out after 3000 milliseconds
av.knesset.gov.il,Connection timed out after 3001 milliseconds
av.sheba.health.gov.il,Could not resolve host: av.sheba.health.gov.il
awm.gmc.gov.il,Connection timed out after 3000 milliseconds
b2b.btl.gov.il,301
back.health.gov.il,Could not resolve host: back.health.gov.il
baror.iaa.gov.il,Could not resolve host: baror.iaa.gov.il
barzi.health.gov.il,Could not resolve host: barzi.health.gov.il
bi.land.gov.il,Could not resolve host: bi.land.gov.il
bike.police.gov.il,Could not resolve host: bike.police.gov.il
biznext.gov.il,Connection timed out after 3002 milliseconds
blog.madeinisrael.gov.il,Could not resolve host: blog.madeinisrael.gov.il
bmc.gov.il,301
box.iaa.gov.il,Could not resolve host: box.iaa.gov.il
briut.btl.gov.il,Could not resolve host: briut.btl.gov.il
btl.gov.il,Could not resolve host: btl.gov.il
bus.gov.il,200
caa.gov.il,Resolving timed out after 3001 milliseconds
callkav.gov.il,Connection timed out after 3002 milliseconds
campus.gov.il,200
candidate.mof.gov.il,404
cbs.gov.il,Could not resolve host: cbs.gov.il
cbsmail.cbs.gov.il,Could not resolve host: cbsmail.cbs.gov.il
cdn.tel-aviv.gov.il,Could not resolve host: cdn.tel-aviv.gov.il
cerberus.iaa.gov.il,Could not resolve host: cerberus.iaa.gov.il
cert.gov.il,Could not resolve host: cert.gov.il
chat.mot.gov.il,Could not resolve host: chat.mot.gov.il
cl.police.gov.il,Could not resolve host: cl.police.gov.il
claim.most.gov.il,Could not resolve host: claim.most.gov.il
