hostname,score,sources,label,level
garanteprivacy.it,6,linkgraph,Linked from 10 public-sector domains,
regione.emilia-romagna.it,6,linkgraph,Linked from 13 public-sector domains,
regione.toscana.it,6,linkgraph,Linked from 13 public-sector domains,
arpa.piemonte.it,5,linkgraph,Linked from 6 public-sector domains,
camera.it,5,linkgraph,Linked from 9 public-sector domains,
inps.it,5,linkgraph,Linked from 6 public-sector domains,
minambiente.it,5,linkgraph,Linked from 5 public-sector domains,
regione.lazio.it,5,linkgraph,Linked from 6 public-sector domains,
regione.piemonte.it,5,linkgraph,Linked from 7 public-sector domains,
regione.sicilia.it,5,linkgraph,Linked from 6 public-sector domains,
senato.it,5,linkgraph,Linked from 8 public-sector domains,
cortecostituzionale.it,4,linkgraph,Linked from 4 public-sector domains,
gesuiti.it,4,wikidata,Euromediterranean Province of the Jesuits,
istat.it,4,linkgraph,Linked from 4 public-sector domains,
ofmsalu.it,4,wikidata,Q113365774,
plugandpay.it,4,linkgraph,Linked from 4 public-sector domains,
regione.campania.it,4,linkgraph,Linked from 4 public-sector domains,
scolopi.it,4,wikidata,Piarist province of Italy,
