hostname,score,sources,label,level,http_status,mx
asi.it,10,wikidata;wikidata;directory,Italian Space Agency,,ConnectException,0 asi-it.mail.protection.outlook.com.
camera.it,10,wikidata;linkgraph;directory,Chamber of Deputies of Italy,central,302,10 mail5.camera.it.; 10 mail6.camera.it.
carabinieri.it,10,wikidata;wikidata;directory,"Comando unità per la tutela forestale, ambientale e agroalimentare | Carabinieri",central,ConnectException,0 smtp.google.com.
cortecostituzionale.it,10,wikidata;linkgraph;directory,Constitutional Court of Italy,central,302,0 esg.cortecostituzionale.it.
inps.it,10,wikidata;linkgraph;directory,Istituto nazionale della previdenza sociale,,301,10 mx40.inps.it.; 10 mx30.inps.it.; 10 mx10.inps.it.; 10 mx20.inps.it.
istat.it,10,wikidata;linkgraph;directory,Italian National Institute of Statistics,central,ConnectException,5 posta5.istat.it.; 5 posta4.istat.it.
regione.lombardia.it,10,wikidata;wikidata;wikidata;linkgraph,Government of Lombardy | Lombardy,central-1,HttpConnectTimeoutException: HTTP connect timed out,5 regione-lombardia-it.mail.protection.outlook.com.
regione.toscana.it,10,wikidata;wikidata;wikidata;wikidata;wikidata;linkgraph,Q3630802 | Q3630801 | Tuscany | Q3630799 | Regione Toscana,central-1,HttpConnectTimeoutException: HTTP connect timed out,5 mta.regione.toscana.it.
regione.veneto.it,10,wikidata;wikidata;wikidata;wikidata;wikidata;linkgraph,Veneto | Government of Veneto | Q3630806 | Q56753389,central-1,HttpConnectTimeoutException: HTTP connect timed out,5 alt2.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 1 aspmx.l.google.com.
senato.it,10,wikidata;linkgraph;directory,Senate of the Republic,central,301,10 mx2.hc2468-63.eu.iphmx.com.; 10 mx1.hc2468-63.eu.iphmx.com.
garanteprivacy.it,9,wikidata;linkgraph,Italian Data Protection Authority,central,200,10 mx1.gpdp.it.; 20 mx2.gpdp.it.
regione.emilia-romagna.it,9,wikidata;linkgraph,Emilia-Romagna,,302,10 regione-emiliaromagna-it03e.mail.protection.outlook.com.
agcm.it,8,wikidata;directory,Autorità Garante della Concorrenza e del Mercato,,200,10 mx2.agcm.it.; 10 mx1.agcm.it.
agcom.it,8,wikidata;directory,Autorità per le Garanzie nelle Comunicazioni,,ConnectException,0 agcom-it.mail.protection.outlook.com.
agenziademanio.it,8,wikidata;directory,Agenzia del demanio,,HttpConnectTimeoutException: HTTP connect timed out,10 sogei.in.tmes.trendmicro.eu.
agenziaitaliameteo.it,8,wikidata;directory,ItaliaMeteo,central,HttpConnectTimeoutException: HTTP connect timed out,0 agenziaitaliameteo-it.mail.protection.outlook.com.
anticorruzione.it,8,wikidata;directory,National Anti-Corruption Authority,,ConnectException,10 mxa-003bb802.gslb.pphosted.com.; 10 mxb-003bb802.gslb.pphosted.com.
anvur.it,8,wikidata;directory,Agenzia nazionale di valutazione del sistema universitario e della ricerca,,SSLHandshakeException: (handshake_failure) Received fatal alert: handshake_failure,1 anvur-it.mail.protection.outlook.com.
arera.it,8,wikidata;directory,Autorità di Regolazione per Energia Reti e Ambiente,central,301,10 arera-it.mail.protection.outlook.com.
autorita-trasporti.it,8,wikidata;directory,Autorità di Regolazione dei Trasporti,,301,0 autoritatrasporti-it02b.mail.protection.outlook.com.
avvocaturastato.it,8,wikidata;directory,State prosecutor's office,,HttpConnectTimeoutException: HTTP connect timed out,0 avvocaturastato-it.mail.protection.outlook.com.
bancaditalia.it,8,wikidata;directory,Bank of Italy,,HttpConnectTimeoutException: HTTP connect timed out,20 mail04.bancaditalia.it.; 20 mail03.bancaditalia.it.; 20 mail01.bancaditalia.it.; 20 mail02.bancaditalia.it.
cnel.it,8,wikidata;directory,National Council for Economics and Labour,,HttpTimeoutException: request timed out,10 cnel-it.mail.protection.outlook.com.
cnr.it,8,wikidata;directory,Consiglio Nazionale delle Ricerche,,301,10 cnr-it.mail.protection.outlook.com.
consob.it,8,wikidata;directory,The Italian Companies and Stock Exchange Commission,central,HttpConnectTimeoutException: HTTP connect timed out,10 sms2-mailin.consob.it.; 10 sms1-mailin.consob.it.
corteconti.it,8,wikidata;directory,Court of Audit,,ConnectException,10 corteconti-it.mail.protection.outlook.com.
csm.it,8,wikidata;directory,High Council of the Judiciary,,403,0 csm-it.mail.protection.outlook.com.
enea.it,8,wikidata;directory,"Agenzia nazionale per le nuove tecnologie, l'energia e lo sviluppo economico sostenibile",,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 enea-it.mail.protection.outlook.com.
garantedisabilita.it,8,wikidata;directory,Italian Disability Rights Authority,,HttpConnectTimeoutException: HTTP connect timed out,0 garantedisabilita-it.mail.protection.outlook.com.
garantenazionaleprivatiliberta.it,8,wikidata;directory,Garante nazionale dei diritti delle persone private della libertà personale,,HttpConnectTimeoutException: HTTP connect timed out,none
giustizia-amministrativa.it,8,wikidata;directory,Italian Council of State,,ConnectException,10 giustiziaamministrativa-it02c.mail.protection.outlook.com.
inail.it,8,wikidata;directory,INAIL,,HttpConnectTimeoutException: HTTP connect timed out,0 inail-it.mail.protection.outlook.com.
invalsi.it,8,wikidata;directory,Istituto nazionale per la valutazione del sistema educativo di istruzione e di formazione,,301,10 invalsi-it.mail.protection.outlook.com.
iss.it,8,wikidata;directory,Istituto Superiore di Sanità,,ConnectException,20 mxb-0048aa01.gslb.pphosted.com.; 10 iss-it.mail.protection.outlook.com.
ivass.it,8,wikidata;directory,Istituto per la Vigilanza sulle Assicurazioni,,ConnectException,20 mail02.bancaditalia.it.; 20 mail04.bancaditalia.it.; 20 mail03.bancaditalia.it.; 20 mail01.bancaditalia.it.
poliziadistato.it,8,wikidata;directory,Polizia di Stato,,301,5 poliziadistato-it.mail.protection.outlook.com.
regione.lazio.it,8,wikidata;linkgraph,Lazio,,200,0 regione-lazio-it.mail.protection.outlook.com.
regione.piemonte.it,8,wikidata;linkgraph,Piedmont,,ConnectException,10 zmbmtain.csi.it.
ahk-italien.it,7,wikidata;wikidata,German-Italian Chamber of Commerce,,404,0 ahkitalien-it0i.mail.eo.outlook.com.
arpalombardia.it,7,wikidata;wikidata,Regional Environmental Protection Agency - Lombardy,central-1,ConnectException,none
ars.sicilia.it,7,wikidata;wikidata,Sicilian Regional Assembly,central-1,HttpConnectTimeoutException: HTTP connect timed out,10 mail.ars.sicilia.it.
asst-crema.it,7,wikidata;wikidata,ASST Crema,,HttpConnectTimeoutException: HTTP connect timed out,20 mx.aria.aruba.it.; 127 mail.asst-crema.it.
asst-valcamonica.it,7,wikidata;wikidata,ASST Valcamonica,,HttpConnectTimeoutException: HTTP connect timed out,0 asstvalcamonica-it01b.mail.protection.outlook.com.
braidense.it,7,wikidata;wikidata,Biblioteca nazionale Braidense,,HttpConnectTimeoutException: HTTP connect timed out,none
consiglio.basilicata.it,7,wikidata;wikidata,Regional Council of Basilicata,central-1,200,5 gwetrust.rete.basilicata.it.
consiglio.marche.it,7,wikidata;wikidata,Regional Council of Marche,central-1,HttpConnectTimeoutException: HTTP connect timed out,5 consiglio-marche-it.mail.protection.outlook.com.
consiglio.puglia.it,7,wikidata;wikidata,Regional Council of Apulia,central-1,HttpConnectTimeoutException: HTTP connect timed out,10 mail.consiglio.puglia.it.
consiglio.regione.abruzzo.it,7,wikidata;wikidata,Regional Council of Abruzzo,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
consiglio.regione.fvg.it,7,wikidata;wikidata,Regional Council of Friuli-Venezia Giulia,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
