subdomain,http_status,mx
4bts.aeronautica.difesa.it,Could not resolve host: 4bts.aeronautica.difesa.it,none
accrediti.difesa.it,302,
aeronautica.difesa.it,Could not resolve host: aeronautica.difesa.it,10 mx.difesa.it.
apidocumentsd2p.covid19.difesa.it,SSL certificate problem: self-signed certificate,none
apidocumentsd2ptest.covid19.difesa.it,SSL certificate problem: self-signed certificate,none
app-disfera.difesa.it,Could not resolve host: app-disfera.difesa.it,none
archivio.elearning.esercito.difesa.it,SSL certificate problem: unable to get local issuer certificate,none
aulavirtuale2.elearning.esercito.difesa.it,200,none
aulavirtuale3.elearning.esercito.difesa.it,Connection timed out after 5002 milliseconds,none
aulavirtuale4.elearning.esercito.difesa.it,200,none
aulavirtuale5.elearning.esercito.difesa.it,200,none
aulavirtuale6.elearning.esercito.difesa.it,Could not resolve host: aulavirtuale6.elearning.esercito.difesa.it,none
aulavirtuale7.elearning.esercito.difesa.it,Could not resolve host: aulavirtuale7.elearning.esercito.difesa.it,none
auth.marina.difesa.it,Connection timed out after 5002 milliseconds,none
authmail.marina.difesa.it,302,none
autodiscover.marina.difesa.it,Could not resolve host: autodiscover.marina.difesa.it,none
autoformazione.esercito.difesa.it,Connection timed out after 5002 milliseconds,none
avatarei.difesa.it,301,none
babele.esercito.difesa.it,Connection timed out after 5002 milliseconds,none
centenarioam.aeronautica.difesa.it,Could not resolve host: centenarioam.aeronautica.difesa.it,none
chatcdoc4.esercito.difesa.it,Connection timed out after 5002 milliseconds,none
clouddrive.difesa.it,Could not resolve host: clouddrive.difesa.it,none
cmsedge.difesa.it,Could not resolve host: cmsedge.difesa.it,none
cns.difesa.it,Could not resolve host: cns.difesa.it,none
collab-edge.aeronautica.difesa.it,Could not resolve host: collab-edge.aeronautica.difesa.it,none
collab-edge.difesa.it,Could not resolve host: collab-edge.difesa.it,none
collab-edge.marina.difesa.it,Could not resolve host: collab-edge.marina.difesa.it,none
collab.servizi.difesa.it,Could not resolve host: collab.servizi.difesa.it,none
collabora.marina.difesa.it,200,none
comc4ei.esercito.difesa.it,Could not resolve host: comc4ei.esercito.difesa.it,50 mx.esercito.difesa.it.; 10 mx2.esercito.difesa.it.; 10 mx1.esercito.difesa.it.
corsi.marina.difesa.it,Could not resolve host: corsi.marina.difesa.it,none
csem-civili.difesa.it,Could not resolve host: csem-civili.difesa.it,none
