subdomain,http_status,mx
a-v.esteri.it,Could not resolve host: a-v.esteri.it,none
access.esteri.it,Could not resolve host: access.esteri.it,none
accessportal.esteri.it,Could not resolve host: accessportal.esteri.it,none
accreditamentobor.esteri.it,200,none
ambabidjan.esteri.it,301,none
ambabudhabi.esteri.it,301,none
ambabuja.esteri.it,301,none
ambaccra.esteri.it,301,none
ambaddisabeba.esteri.it,301,none
ambalgeri.esteri.it,301,none
ambalkuwait.esteri.it,301,none
ambamman.esteri.it,301,none
ambankara.esteri.it,301,none
ambashgabat.esteri.it,301,none
ambasmara.esteri.it,301,none
ambassunzione.esteri.it,301,none
ambastana.esteri.it,301,none
ambatene.esteri.it,301,none
ambbaghdad.esteri.it,301,none
ambbaku.esteri.it,301,none
ambbamako.esteri.it,301,none
ambbangkok.esteri.it,301,none
ambbeirut.esteri.it,301,none
ambbelgrado.esteri.it,301,none
ambberlino.esteri.it,301,none
ambberna.esteri.it,301,none
ambbogota.esteri.it,301,none
ambbrasilia.esteri.it,301,none
ambbratislava.esteri.it,301,none
ambbrazzaville.esteri.it,301,none
ambbruxelles.esteri.it,301,none
ambbucarest.esteri.it,301,none
ambbudapest.esteri.it,301,none
ambbuenosaires.esteri.it,301,none
ambcanberra.esteri.it,301,none
ambcaracas.esteri.it,301,none
ambchisinau.esteri.it,301,none
ambcittadelmessico.esteri.it,301,none
ambcolombo.esteri.it,301,none
ambconakry.esteri.it,301,none
ambcopenaghen.esteri.it,301,none
ambdakar.esteri.it,301,none
ambdamasco.esteri.it,301,none
ambdaressalaam.esteri.it,301,none
ambdhaka.esteri.it,301,none
ambdoha.esteri.it,301,none
ambdublino.esteri.it,301,none
ambguatemala.esteri.it,301,none
ambhanoi.esteri.it,301,none
ambharare.esteri.it,301,none
ambhelsinki.esteri.it,301,none
ambilcairo.esteri.it,301,none
ambislamabad.esteri.it,301,none
ambjakarta.esteri.it,301,none
ambjerevan.esteri.it,301,none
ambkabul.esteri.it,301,none
ambkampala.esteri.it,301,none
ambkhartoum.esteri.it,301,none
ambkiev.esteri.it,301,none
ambkinshasa.esteri.it,301,none
ambkualalumpur.esteri.it,301,none
amblaja.esteri.it,301,none
amblapaz.esteri.it,301,none
amblavalletta.esteri.it,301,none
amblavana.esteri.it,301,none
amblibreville.esteri.it,301,none
amblima.esteri.it,301,none
amblisbona.esteri.it,301,none
amblondra.esteri.it,403,none
ambluanda.esteri.it,301,none
amblubiana.esteri.it,301,none
amblusaka.esteri.it,301,none
amblussemburgo.esteri.it,301,none
ambmadrid.esteri.it,301,none
ambmanagua.esteri.it,301,none
