subdomain,http_status
agendattiva.governo.it,Connection timed out after 3002 milliseconds
anniversarinazionali.governo.it,302
api.daf.teamdigitale.governo.it,Connection timed out after 3002 milliseconds
app-coll.governo.it,302
app-uat.governo.it,302
app.governo.it,302
avvisibandi.sport.governo.it,200
bancadatilegalita.governo.it,200
bandopianidisviluppo.governo.it,SSL certificate problem: certificate has expired
bandopiccolicomuni.governo.it,SSL certificate problem: unable to get local issuer certificate
benessereincomune.sapp.famiglia.governo.it,301
bi.daf.teamdigitale.governo.it,Connection timed out after 3002 milliseconds
bioetica.governo.it,302
casa.governo.it,SSL certificate problem: certificate has expired
casaitalia.governo.it,Could not resolve host: casaitalia.governo.it
centriestivi.sapp.famiglia.governo.it,Could not resolve host: centriestivi.sapp.famiglia.governo.it
cfgsrv.uc.governo.it,Could not resolve host: cfgsrv.uc.governo.it
cissantostefano.governo.it,SSL certificate problem: certificate has expired
clausolaflessibilita.governo.it,Connection timed out after 3002 milliseconds
cns.governo.it,TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure
coesione.governo.it,SSL certificate problem: certificate has expired
commissariobonificadiscariche.governo.it,Could not resolve host: commissariobonificadiscariche.governo.it
commissariocissantostefano.governo.it,302
crs-cppm-sub-01.governo.it,Could not resolve host: crs-cppm-sub-01.governo.it
daf-superset.teamdigitale.governo.it,Connection timed out after 3002 milliseconds
daf.teamdigitale.governo.it,Could not resolve host: daf.teamdigitale.governo.it
dashboard.teamdigitale.governo.it,Could not resolve host: dashboard.teamdigitale.governo.it
dashboard2.teamdigitale.governo.it,Connection timed out after 3002 milliseconds
dataportal-private.daf.teamdigitale.governo.it,Connection timed out after 3002 milliseconds
dataportal.daf.teamdigitale.governo.it,Connection timed out after 3002 milliseconds
datascience.daf.teamdigitale.governo.it,Connection timed out after 3002 milliseconds
dipartimentocoesione.governo.it,SSL certificate problem: certificate has expired
disabilita.governo.it,302
dora.governo.it,Could not resolve host: dora.governo.it
famiglia.governo.it,302
governo.it,301
graph.daf.teamdigitale.governo.it,Connection timed out after 3002 milliseconds
guestcrs.sna.governo.it,Could not resolve host: guestcrs.sna.governo.it
guestreggia.sna.governo.it,Could not resolve host: guestreggia.sna.governo.it
guestroma.sna.governo.it,Could not resolve host: guestroma.sna.governo.it
hr.governo.it,Connection timed out after 3002 milliseconds
iam7pe.login.governo.it,Could not resolve host: iam7pe.login.governo.it
inpcm-val.governo.it,Could not resolve host: inpcm-val.governo.it
inpcm.governo.it,302
login.governo.it,SSL certificate problem: unable to get local issuer certificate
loginval.governo.it,Could not resolve host: loginval.governo.it
mccrs-02.sna.governo.it,Could not resolve host: mccrs-02.sna.governo.it
mcreggia-02.sna.governo.it,Could not resolve host: mcreggia-02.sna.governo.it
mcroma-02.sna.governo.it,Could not resolve host: mcroma-02.sna.governo.it
noantisemitismo.governo.it,301
oos-val.governo.it,Could not resolve host: oos-val.governo.it
opencortina.governo.it,Connection timed out after 3003 milliseconds
ottopermille.governo.it,301
politichecoesione.governo.it,302
portalenac.governo.it,Could not resolve host: portalenac.governo.it
presidenza.governo.it,200
protocollo.governo.it,Could not resolve host: protocollo.governo.it
qliksvilpcm-dfp.governo.it,Connection timed out after 3002 milliseconds
rassegnaecowh.governo.it,Connection timed out after 3002 milliseconds
reg-cppm-sub-01.governo.it,Could not resolve host: reg-cppm-sub-01.governo.it
rm-cppm-pub-01.governo.it,Could not resolve host: rm-cppm-pub-01.governo.it
rm-cppm-pub-02.governo.it,Could not resolve host: rm-cppm-pub-02.governo.it
rm-cppm-pub-vip.governo.it,Could not resolve host: rm-cppm-pub-vip.governo.it
serviziesterni-intrapcm.governo.it,Could not resolve host: serviziesterni-intrapcm.governo.it
serviziesterniprod-inpcm.governo.it,404
servizigp.governo.it,Connection timed out after 3002 milliseconds
settantesimo.governo.it,Could not resolve host: settantesimo.governo.it
sisma2009.governo.it,302
sp.governo.it,500
spid.governo.it,200
spidval.governo.it,Could not resolve host: spidval.governo.it
spidval.int.governo.it,Could not resolve host: spidval.int.governo.it
sport.governo.it,Could not resolve host: sport.governo.it
sportegiovani.governo.it,307
teamdigitale.governo.it,200
territoriegrandeguerra.governo.it,Could not resolve host: territoriegrandeguerra.governo.it
uc.governo.it,Connection timed out after 3001 milliseconds
vdc.governo.it,Could not resolve host: vdc.governo.it
www.agendattiva.governo.it,Could not resolve host: www.agendattiva.governo.it
www.anniversarinazionali.governo.it,302
www.bandopianidisviluppo.governo.it,Could not resolve host: www.bandopianidisviluppo.governo.it
www.bandopiccolicomuni.governo.it,Could not resolve host: www.bandopiccolicomuni.governo.it
www.bioetica.governo.it,Could not resolve host: www.bioetica.governo.it
www.casaitalia.governo.it,Could not resolve host: www.casaitalia.governo.it
www.cfgsrv.uc.governo.it,Could not resolve host: www.cfgsrv.uc.governo.it
www.cns.governo.it,Could not resolve host: www.cns.governo.it
www.commissariobonificadiscariche.governo.it,302
www.commissariocissantostefano.governo.it,Could not resolve host: www.commissariocissantostefano.governo.it
www.crs-cppm-sub-01.governo.it,Could not resolve host: www.crs-cppm-sub-01.governo.it
www.disabilita.governo.it,302
www.dora.governo.it,Could not resolve host: www.dora.governo.it
www.famiglia.governo.it,302
www.governo.it,Could not resolve host: www.governo.it
www.inpcm-val.governo.it,Could not resolve host: www.inpcm-val.governo.it
www.inpcm.governo.it,Could not resolve host: www.inpcm.governo.it
www.login.governo.it,Could not resolve host: www.login.governo.it
www.mccrs-02.sna.governo.it,Could not resolve host: www.mccrs-02.sna.governo.it
www.mcreggia-02.sna.governo.it,Could not resolve host: www.mcreggia-02.sna.governo.it
www.mcroma-02.sna.governo.it,Could not resolve host: www.mcroma-02.sna.governo.it
www.ministro.sportegiovani.governo.it,Could not resolve host: www.ministro.sportegiovani.governo.it
www.ministrosportegiovani.governo.it,SSL: no alternative certificate subject name matches target hostname 'www.ministrosportegiovani.governo.it'
www.ministrosportgiovani.governo.it,SSL: no alternative certificate subject name matches target hostname 'www.ministrosportgiovani.governo.it'
www.oos-val.governo.it,Could not resolve host: www.oos-val.governo.it
www.opencortina.governo.it,Could not resolve host: www.opencortina.governo.it
www.ottopermille.governo.it,301
www.politichecoesione.governo.it,Could not resolve host: www.politichecoesione.governo.it
www.portalenac.governo.it,Could not resolve host: www.portalenac.governo.it
