hostname,http_status,mx
abr.lazio.it,ConnectException,5 smtp.olisys.it.
ac.infn.it,HttpConnectTimeoutException: HTTP connect timed out,10 pmg2.lnf.infn.it.; 10 pmg1.lnf.infn.it.
academiabonacreansa.eu,301,none
acquirenteunico.it,HttpConnectTimeoutException: HTTP connect timed out,none
adbarno.it,HttpConnectTimeoutException: HTTP connect timed out,5 mx.servizi.tix.it.
adbpo.it,HttpConnectTimeoutException: HTTP connect timed out,0 adbpo-it.mail.protection.outlook.com.
adbve.it,403,none
adsptirrenocentrale.it,HttpConnectTimeoutException: HTTP connect timed out,10 adsptirrenocentrale-it.mail.protection.outlook.com.
affariregionali.it,HttpConnectTimeoutException: HTTP connect timed out,none
agcm.it,200,10 mx2.agcm.it.; 10 mx1.agcm.it.
agcom.it,ConnectException,0 agcom-it.mail.protection.outlook.com.
agenzia.roma.it,HttpConnectTimeoutException: HTTP connect timed out,none
agenziademanio.it,HttpConnectTimeoutException: HTTP connect timed out,10 sogei.in.tmes.trendmicro.eu.
agenziaitaliameteo.it,HttpConnectTimeoutException: HTTP connect timed out,0 agenziaitaliameteo-it.mail.protection.outlook.com.
agenziaumbriaricerche.it,HttpConnectTimeoutException: HTTP connect timed out,20 agenziaumbriaricerche-it.mail.protection.outlook.com.
agritechcenter.it,HttpConnectTimeoutException: HTTP connect timed out,20 agritechcenter-it.mail.protection.outlook.com.
ahk-italien.it,404,0 ahkitalien-it0i.mail.eo.outlook.com.
algerianembassy.it,HttpConnectTimeoutException: HTTP connect timed out,none
altamatematica.it,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
ambaburkinaitalie.it,HttpConnectTimeoutException: HTTP connect timed out,none
ambacam.it,HttpConnectTimeoutException: HTTP connect timed out,none
ambafrance-it.org,ConnectException,none
ambamauritanieitaly.it,HttpConnectTimeoutException: HTTP connect timed out,none
