subdomain,mx
agendattiva.governo.it,none
anniversarinazionali.governo.it,none
api.daf.teamdigitale.governo.it,none
app-coll.governo.it,none
app-uat.governo.it,none
app.governo.it,none
avvisibandi.sport.governo.it,none
bancadatilegalita.governo.it,none
bandopianidisviluppo.governo.it,none
bandopiccolicomuni.governo.it,none
benessereincomune.sapp.famiglia.governo.it,none
bi.daf.teamdigitale.governo.it,none
bioetica.governo.it,none
casa.governo.it,none
casaitalia.governo.it,none
centriestivi.sapp.famiglia.governo.it,none
cfgsrv.uc.governo.it,none
cissantostefano.governo.it,none
clausolaflessibilita.governo.it,5 mx3.palazzochigi.it.; 5 mx4.palazzochigi.it.
cns.governo.it,none
coesione.governo.it,none
commissariobonificadiscariche.governo.it,none
commissariocissantostefano.governo.it,none
crs-cppm-sub-01.governo.it,none
daf-superset.teamdigitale.governo.it,none
daf.teamdigitale.governo.it,none
dashboard.teamdigitale.governo.it,none
dashboard2.teamdigitale.governo.it,none
dataportal-private.daf.teamdigitale.governo.it,none
dataportal.daf.teamdigitale.governo.it,none
datascience.daf.teamdigitale.governo.it,none
dipartimentocoesione.governo.it,none
disabilita.governo.it,none
dora.governo.it,none
famiglia.governo.it,none
governo.it,0 governo-it.mail.protection.outlook.com.
graph.daf.teamdigitale.governo.it,none
guestcrs.sna.governo.it,none
guestreggia.sna.governo.it,none
guestroma.sna.governo.it,none
hr.governo.it,none
iam7pe.login.governo.it,none
inpcm-val.governo.it,none
inpcm.governo.it,none
login.governo.it,none
loginval.governo.it,none
mccrs-02.sna.governo.it,none
mcreggia-02.sna.governo.it,none
mcroma-02.sna.governo.it,none
noantisemitismo.governo.it,none
oos-val.governo.it,none
opencortina.governo.it,none
ottopermille.governo.it,none
politichecoesione.governo.it,none
portalenac.governo.it,none
presidenza.governo.it,none
protocollo.governo.it,none
qliksvilpcm-dfp.governo.it,none
rassegnaecowh.governo.it,none
reg-cppm-sub-01.governo.it,none
rm-cppm-pub-01.governo.it,none
rm-cppm-pub-02.governo.it,none
rm-cppm-pub-vip.governo.it,none
serviziesterni-intrapcm.governo.it,none
serviziesterniprod-inpcm.governo.it,none
servizigp.governo.it,none
settantesimo.governo.it,none
sisma2009.governo.it,none
sp.governo.it,none
spid.governo.it,none
spidval.governo.it,none
spidval.int.governo.it,none
sport.governo.it,10 mx4.palazzochigi.it.; 10 mx3.palazzochigi.it.
sportegiovani.governo.it,none
teamdigitale.governo.it,none
territoriegrandeguerra.governo.it,none
uc.governo.it,none
vdc.governo.it,10 mx1.palazzochigi.it.; 10 mx3.palazzochigi.it.
www.agendattiva.governo.it,none
www.anniversarinazionali.governo.it,none
www.bandopianidisviluppo.governo.it,none
www.bandopiccolicomuni.governo.it,none
www.bioetica.governo.it,none
www.casaitalia.governo.it,none
www.cfgsrv.uc.governo.it,none
www.cns.governo.it,none
www.commissariobonificadiscariche.governo.it,none
www.commissariocissantostefano.governo.it,none
www.crs-cppm-sub-01.governo.it,none
www.disabilita.governo.it,none
www.dora.governo.it,none
www.famiglia.governo.it,none
www.governo.it,none
www.inpcm-val.governo.it,none
www.inpcm.governo.it,none
www.login.governo.it,none
www.mccrs-02.sna.governo.it,none
www.mcreggia-02.sna.governo.it,none
www.mcroma-02.sna.governo.it,none
www.ministro.sportegiovani.governo.it,none
www.ministrosportegiovani.governo.it,none
www.ministrosportgiovani.governo.it,none
www.oos-val.governo.it,none
www.opencortina.governo.it,none
www.ottopermille.governo.it,none
www.politichecoesione.governo.it,none
www.portalenac.governo.it,none
www.presidenza.governo.it,none
www.protocollo.governo.it,none
www.qliksvilpcm-dfp.governo.it,none
www.reg-cppm-sub-01.governo.it,none
www.rm-cppm-pub-01.governo.it,none
www.serviziesterni-intrapcm.governo.it,none
www.serviziesterniprod-inpcm.governo.it,none
www.servizigp.governo.it,none
www.settantesimo.governo.it,none
www.sisma2009.governo.it,none
www.sp.governo.it,none
www.spid.governo.it,none
www.spidval.int.governo.it,none
www.sport.governo.it,none
www.sportegiovani.governo.it,none
www.sportgiovani.governo.it,none
www.territoriegrandeguerra.governo.it,none
www.uc.governo.it,none
