type,label,website,hostname,level
university,Accademia di Belle Arti di Perugia,http://www.abaperugia.org,abaperugia.org,university
government_agency,Q3630805,http://www.abr.lazio.it/,abr.lazio.it,
government_agency,"Istituto Nazionale di Fisica Nucleare, Amministrazione Centrale",https://www.ac.infn.it,ac.infn.it,
government_agency,Academy of the Fair Courtesy,https://www.academiabonacreansa.eu/,academiabonacreansa.eu,
university,"Academy of Fine Arts, Verona",http://www.accademiabelleartiverona.it/,accademiabelleartiverona.it,university
university,National Observatory of Outsider Art,http://www.accademiacignaroli.it,accademiacignaroli.it,university
university,Accademia italiana,http://www.accademiaitaliana.com/italian-school.php,accademiaitaliana.com,university
university,Accademia italiana,http://www.accademiaitaliana.com,accademiaitaliana.com,university
university,Accademia italiana della marina mercantile,https://accademiamarinamercantile.it/,accademiamarinamercantile.it,university
university,Accademia Nazionale d'Arte Drammatica Silvio D'Amico,http://www.accademiasilviodamico.it/,accademiasilviodamico.it,university
university,Accademia di Belle Arti di Venezia,http://www.accademiavenezia.it/,accademiavenezia.it,university
university,Accademia di Belle Arti di Venezia,http://www.accademiavenezia.it,accademiavenezia.it,university
government_agency,Q3604745,https://www.acquirenteunico.it/,acquirenteunico.it,
government_agency,Q3630780,http://www.adbarno.it/,adbarno.it,
government_agency,Authority of Po-Basin,http://www.adbpo.it/,adbpo.it,
government_agency,Q3630776,http://www.adbve.it/,adbve.it,
government_agency,Q138802237,https://adsptirrenocentrale.it/,adsptirrenocentrale.it,
government_agency,Q3708837,http://www.affariregionali.it,affariregionali.it,central
government_agency,Autorità Garante della Concorrenza e del Mercato,https://www.agcm.it,agcm.it,
government_agency,Autorità per le Garanzie nelle Comunicazioni,https://www.agcom.it/,agcom.it,
government_agency,Agenzia per il controllo e la qualità dei servizi pubblici locali di Roma Capitale,https://www.agenzia.roma.it/,agenzia.roma.it,
government_agency,Agenzia del demanio,http://www.agenziademanio.it,agenziademanio.it,
government_agency,ItaliaMeteo,https://www.agenziaitaliameteo.it/,agenziaitaliameteo.it,central
government_agency,Agenzia Interregionale per il fiume Po,https://www.agenziapo.it/,agenziapo.it,
government_agency,German-Italian Chamber of Commerce,https://www.ahk-italien.it/it/,ahk-italien.it,
government_agency,German-Italian Chamber of Commerce,https://www.ahk-italien.it/,ahk-italien.it,
university,Accademia Albertina,https://albertina-academy.it/,albertina-academy.it,university
government_agency,"Embassy of Algeria, Rome",http://www.algerianembassy.it,algerianembassy.it,central
university,Graduate School of Media Communication and Performing Arts,http://almed.unicatt.it/,almed.unicatt.it,university
university,Graduate School of Health Economics and Management,http://altems.unicatt.it/,altems.unicatt.it,university
university,ALTIS – Postgraduate School Business & Society,http://altis.unicatt.it/,altis.unicatt.it,university
university,ALTIS – Postgraduate School Business & Society,http://altis.unicatt.it/altis-home?rdeLocaleAttr=en,altis.unicatt.it,university
government_agency,embassy of Burkina Faso in Italy,https://www.ambaburkinaitalie.it/,ambaburkinaitalie.it,central
government_agency,embassy of Cameroon in Italy,https://www.ambacam.it/,ambacam.it,central
government_agency,"embassy of France, Rome",http://www.ambafrance-it.org/,ambafrance-it.org,central
government_agency,Consulate-General of France in Milan,http://www.ambafrance-it.org/spip.php?rubrique355,ambafrance-it.org,
government_agency,Consulate-General of France in Naples,http://www.ambafrance-it.org/spip.php?rubrique205,ambafrance-it.org,
government_agency,Consulate General of France in Turin,http://www.ambafrance-it.org/spip.php?rubrique353,ambafrance-it.org,
government_agency,embassy of Mauritania in Italy,https://www.ambamauritanieitaly.it/,ambamauritanieitaly.it,central
government_agency,"Embassy of Kosovo, Rome",https://ambasadat.net/Itali/,ambasadat.net,central
government_agency,embassy of Republic of the Congo in Italy,https://www.ambasciatadelcongobrazzaville.it/,ambasciatadelcongobrazzaville.it,central
government_agency,embassy of Morocco in Italy,https://www.ambasciatamarocco.it,ambasciatamarocco.it,central
