hostname,score,sources,label,level
boj.org.jm,4,wikidata,Bank of Jamaica,
cccj.edu.jm,4,wikidata,Council of Community Colleges of Jamaica,
cla.org.jm,4,wikidata,Cannabis Licensing Authority,
cmu.edu.jm,4,wikidata,Caribbean Maritime University,
instituteofjamaica.org.jm,4,wikidata,Institute of Jamaica,central
jamaicapolice.org.jm,4,wikidata,Jamaica Rural Police Force,
jbi.org.jm,4,wikidata,Jamaica Bauxite Institute,central
jbs.org.jm,4,wikidata,Bureau of Standards Jamaica,
jm.usembassy.gov,4,wikidata,embassy of the United States in Jamaica,central
jti.edu.jm,4,wikidata,Justice Training Institute of Jamaica,
mind.edu.jm,4,wikidata,Management Institute for National Development,central
nhf.org.jm,4,wikidata,National Health Fund,
odpem.org.jm,4,wikidata,Office of Disaster Preparedness and Emergency Management,
our.org.jm,4,wikidata,Office of Utilities Regulation,central
abilitiesfoundationja.com,3,wikidata,Abilities Foundation,
airportsauthorityjamaica.aero,3,wikidata,Airports Authority of Jamaica,
coconutindustryboardjm.org,3,wikidata,Coconut Industry Board,central
eeas.europa.eu,3,wikidata,"Delegation of the European Union to Jamaica, Belize, The Bahamas, Turks and Caicos Islands and Cayman Islands",central
fscjamaica.org,3,wikidata,Financial Services Commission,
generallegalcouncil.org,3,wikidata,General Legal Council of Jamaica,
heart-nsta.org,3,wikidata,Human Employment and Resource Training Trust/National Training Agency,central
jamaica.mid.ru,3,wikidata,embassy of Russia in Jamaica,central
jamaicamedicalcouncil.org,3,wikidata,Medical Council of Jamaica,
jamalco.com,3,wikidata,Clarendon Alumina Production Limited,
jdfmil.org,3,wikidata,Coast Guard of Jamaica Defence Force,
jm.ambafrance.org,3,wikidata,"Embassy of France, Kingston",central
jnht.com,3,wikidata,Jamaica National Heritage Trust,central
kingston.diplo.de,3,wikidata,"Embassy of Germany, Kingston",central
nidsfacts.com,3,wikidata,National Identification System,central
nwcjamaica.com,3,wikidata,National Water Commission,central
orcjamaica.com,3,wikidata,Companies Office of Jamaica,
pbcjamaica.org,3,wikidata,Public Broadcasting Corporation of Jamaica,central
tpdco.org,3,wikidata,Tourism Product Development Company,
