type,label,website,hostname,level
university,Al al-Bayt University,http://www.aabu.edu.jo/,aabu.edu.jo,university
university,Amman Arab University,http://www.aau.edu.jo/,aau.edu.jo,university
university,Al-Hussein Bin Talal University,http://www.ahu.edu.jo/,ahu.edu.jo,university
government_agency,"Embassy of Germany, Amman",https://amman.diplo.de/jo-de,amman.diplo.de,central
government_agency,"Embassy of Germany, Amman",https://amman.diplo.de/jo-ar,amman.diplo.de,central
university,Al-Ahliyya Amman University,http://www.amman.edu/,amman.edu,university
government_agency,"Embassy of Romania, Amman",https://amman.mae.ro,amman.mae.ro,central
university,Ajloun National Private University,http://www.anpu.edu.jo,anpu.edu.jo,university
university,"University of Jordan, Aqaba",https://aqaba.ju.edu.jo/ar/arabic/Home.aspx,aqaba.ju.edu.jo,university
government_agency,Jordan Academy of Arabic,https://arabic.jo,arabic.jo,
university,Arab Open University,https://www.arabou.edu.kw/,arabou.edu.kw,university
university,Applied Science Private University,http://www.asu.edu.jo,asu.edu.jo,university
university,Al-Balqa Applied University,http://www.bau.edu.jo/,bau.edu.jo,university
government_agency,Jordanian Constitutional Court,https://cco.gov.jot,cco.gov.jot,
government_agency,Custodian of the Holy Land,http://www.custodia.org/,custodia.org,
constitutional_court,Custodian of the Holy Land,http://www.custodia.org/,custodia.org,
government_agency,Delegation of the European Union to Jordan,https://eeas.europa.eu/delegations/jordan_en,eeas.europa.eu,
government_agency,World Health Organization - Jordan,http://www.emro.who.int/countries/jor/index.html,emro.who.int,
university,German-Jordanian University,http://www.gju.edu.jo/,gju.edu.jo,university
government_agency,National Library of Jordan,https://hazine.info/1051-2/,hazine.info,
government_agency,Higher Population Council,http://www.hpc.org.jo/,hpc.org.jo,
university,Hashemite University,http://www.hu.edu.jo/,hu.edu.jo,university
university,Irbid National University,http://www.inu.edu.jo//,inu.edu.jo,university
university,Ibn Sina University for Medical Sciences,https://isums.edu.jo,isums.edu.jo,university
university,Isra University,https://www.iu.edu.jo,iu.edu.jo,university
university,Jadara University,http://www.jadara.edu.jo,jadara.edu.jo,university
university,Jordan Academy of Music,http://www.jam.edu.jo/,jam.edu.jo,university
university,Jordan Academy for Maritime Studies,http://www.jams.edu.jo/,jams.edu.jo,university
university,Jordan Media Institute,http://www.jmi.edu.jo,jmi.edu.jo,university
government_agency,"Embassy of France, Amman",https://jo.ambafrance.org/,jo.ambafrance.org,central
university,Intermediate University College,http://jo.jeeran.com/p/the-intermediate-university-college-amman,jo.jeeran.com,university
government_agency,"Embassy of the United States, Amman",https://jo.usembassy.gov/,jo.usembassy.gov,central
government_agency,embassy of Russia in Jordan,https://jordan.mid.ru,jordan.mid.ru,central
university,Jerash University,http://www.jpu.edu.jo/,jpu.edu.jo,university
university,University of Jordan,https://www.ju.edu.jo/,ju.edu.jo,university
university,Jordan University of Science and Technology,http://www.just.edu.jo,just.edu.jo,university
university,Middle East University,http://www.meu.edu.jo,meu.edu.jo,university
government_agency,embassy of Bulgaria in Jordan,https://www.mfa.bg/embassies/jordan,mfa.bg,central
government_agency,embassy of Greece in Jordan,https://www.mfa.gr/missionsabroad/jordan,mfa.gr,central
university,Mutah University,http://www.mutah.edu.jo/,mutah.edu.jo,university
government_agency,embassy of the Czech republic in Jordan,https://www.mzv.cz/amman,mzv.cz,central
government_agency,"Embassy of Norway, Amman",https://www.norway.no/en/jordan/,norway.no,central
government_agency,Embassy of the State of Palestine in Jordan,https://palembjo.org/,palembjo.org,central
parliament,Parliament of Jordan,http://www.parliament.jo,parliament.jo,central
supreme_court,Parliament of Jordan,http://www.parliament.jo,parliament.jo,central
university,Philadelphia University,http://www.philadelphia.edu.jo,philadelphia.edu.jo,university
university,Princess Sumaya University for Technology,http://www.psut.edu.jo,psut.edu.jo,university
university,Al-Quds Open University,http://www.qou.edu,qou.edu,university
university,Luminus Technical University College,http://www.quds.edu.jo/,quds.edu.jo,university
government_agency,House of Representatives of Jordan,https://representatives.jo/,representatives.jo,central
parliament,The Royal Hashemite Court,https://rhc.jo,rhc.jo,central
government_agency,Taipei Economic and Cultural Office in Jordan,https://www.roc-taiwan.org/jo_en/index.html,roc-taiwan.org,
government_agency,Taipei Economic and Cultural Office,http://www.roc-taiwan.org/jo_en/index.html,roc-taiwan.org,
university,Red Sea Institute of Cinematic Arts,http://www.rsica.edu.jo,rsica.edu.jo,university
government_agency,Senate of Jordan,http://www.senate.jo/,senate.jo,central
government_agency,"Embassy of the United Arab Emirates, Amman",https://sp.mofaic.gov.ae/EN/DiplomaticMissions/Embassies/Amman/Pages/home.aspx,sp.mofaic.gov.ae,central
government_agency,"Embassy of Sweden, Amman",https://www.swedenabroad.se/amman,swedenabroad.se,central
university,Talal Abu-Ghazaleh Graduate School of Business,http://www.tagcb.edu.jo/,tagcb.edu.jo,university
university,Tafila Technical University,https://www.ttu.edu.jo/,ttu.edu.jo,university
university,University of Petra,https://www.uop.edu.jo/En/Pages/default.aspx,uop.edu.jo,university
university,World Islamic Sciences and Education University,http://www.wise.edu.jo,wise.edu.jo,university
university,Yarmouk University,https://www.yu.edu.jo/,yu.edu.jo,university
university,Zarqa University,http://zu.edu.jo/EN/,zu.edu.jo,university
university,Al-Zaytoonah University of Jordan,http://www.zuj.edu.jo,zuj.edu.jo,university
