subdomain,parent_domain,http_status,mx
1.gov.jo,gov.jo,Could not resolve host: 1.gov.jo,none
4thamfhud.gov.jo,gov.jo,Could not resolve host: 4thamfhud.gov.jo,none
5724155.naour.gov.jo,gov.jo,Could not resolve host: 5724155.naour.gov.jo,none
ab.gov.jo,gov.jo,302,5 mx02.govmail.gov.jo.; 5 mx01.govmail.gov.jo.
abukraikbatteries.naour.gov.jo,gov.jo,Could not resolve host: abukraikbatteries.naour.gov.jo,none
acc.gov.jo,gov.jo,200,5 mx02.govmail.gov.jo.; 5 mx01.govmail.gov.jo.
adapt2climate.gov.jo,gov.jo,Connection timed out after 3002 milliseconds,none
adfs.cbj.gov.jo,gov.jo,Resolving timed out after 3001 milliseconds,none
admin.cbj.gov.jo,gov.jo,Resolving timed out after 3000 milliseconds,none
admin.etax.istd.gov.jo,gov.jo,Could not resolve host: admin.etax.istd.gov.jo,none
admin.gid.gov.jo,gov.jo,Could not resolve host: admin.gid.gov.jo,none
admin.kahraba.gov.jo,gov.jo,Connection timed out after 3002 milliseconds,none
admin.mosd.gov.jo,gov.jo,Connection timed out after 3002 milliseconds,none
agribase.moa.gov.jo,gov.jo,Could not resolve host: agribase.moa.gov.jo,none
ai.gov.jo,gov.jo,Connection timed out after 3001 milliseconds,none
ajloun2013.culture.gov.jo,gov.jo,Connection timed out after 3002 milliseconds,none
al-mirad.gov.jo,gov.jo,Could not resolve host: al-mirad.gov.jo,none
aljeeza.gov.jo,gov.jo,301,10 dedi8785.your-server.de.
alkutba.gov.jo,gov.jo,200,none
alpha-jo.naour.gov.jo,gov.jo,Could not resolve host: alpha-jo.naour.gov.jo,none
alphaplus.ofdc.gov.jo,gov.jo,200,none
amatpa.naour.gov.jo,gov.jo,Could not resolve host: amatpa.naour.gov.jo,none
amlu.gov.jo,gov.jo,302,10 mail1.amlu.gov.jo.; 20 mail2.amlu.gov.jo.
ammancity.gov.jo,gov.jo,302,5 mx01.govmail.gov.jo.; 5 mx02.govmail.gov.jo.
ammancitygis.gov.jo,gov.jo,Connection timed out after 3001 milliseconds,10 mail.go.com.jo.
api-gateway.g2b.gsb.gov.jo,gov.jo,Connection timed out after 3001 milliseconds,none
api-gateway.g2b.stg.gsb.gov.jo,gov.jo,Could not resolve host: api-gateway.g2b.stg.gsb.gov.jo,none
api-gateway.g2g.gsb.gov.jo,gov.jo,Could not resolve host: api-gateway.g2g.gsb.gov.jo,none
api-gateway.stg.gsb.gov.jo,gov.jo,Connection timed out after 3001 milliseconds,none
api.dataquality.gov.jo,gov.jo,SSL: no alternative certificate subject name matches target hostname 'api.dataquality.gov.jo',none
app-api.mfa.gov.jo,gov.jo,Connection timed out after 3002 milliseconds,none
app.bader.gov.jo,gov.jo,Could not resolve host: app.bader.gov.jo,none
app.moh.gov.jo,gov.jo,Connection timed out after 3002 milliseconds,none
app.sanad.gov.jo,gov.jo,404,none
app1.moh.gov.jo,gov.jo,Connection timed out after 3000 milliseconds,none
app2.moh.gov.jo,gov.jo,Connection timed out after 3000 milliseconds,none
apps.moe.gov.jo,gov.jo,Connection timed out after 3001 milliseconds,none
archive.csb.gov.jo,gov.jo,Could not resolve host: archive.csb.gov.jo,none
archive.nl.gov.jo,gov.jo,Connection timed out after 3000 milliseconds,none
ata.ssc.gov.jo,gov.jo,Could not resolve host: ata.ssc.gov.jo,none
attendance.modee.gov.jo,gov.jo,Connection timed out after 3001 milliseconds,none
au.gov.jo,gov.jo,Operation timed out after 3001 milliseconds with 0 bytes received,5 mx02.govmail.gov.jo.; 5 mx01.govmail.gov.jo.
audit-bureau.gov.jo,gov.jo,302,none
autodescover.psd.gov.jo,gov.jo,Could not resolve host: autodescover.psd.gov.jo,none
autodiscover.4thamfhud.gov.jo,gov.jo,Could not resolve host: autodiscover.4thamfhud.gov.jo,none
autodiscover.aljeeza.gov.jo,gov.jo,Could not resolve host: autodiscover.aljeeza.gov.jo,none
autodiscover.dairabisaeed.gov.jo,gov.jo,Could not resolve host: autodiscover.dairabisaeed.gov.jo,none
autodiscover.gid.gov.jo,gov.jo,Connection timed out after 3001 milliseconds,none
autodiscover.goj.gov.jo,gov.jo,Could not resolve host: autodiscover.goj.gov.jo,none
autodiscover.gov.jo,gov.jo,302,none
autodiscover.irbid.gov.jo,gov.jo,Could not resolve host: autodiscover.irbid.gov.jo,none
autodiscover.jcsccshop.gov.jo,gov.jo,302,none
autodiscover.jrms.gov.jo,gov.jo,302,none
autodiscover.mwi.gov.jo,gov.jo,302,none
autodiscover.pdtra.gov.jo,gov.jo,Could not resolve host: autodiscover.pdtra.gov.jo,none
autodiscover.polm.gov.jo,gov.jo,Could not resolve host: autodiscover.polm.gov.jo,none
autodiscover.psd.gov.jo,gov.jo,Connection timed out after 3001 milliseconds,none
autodiscover.ssc.gov.jo,gov.jo,SSL certificate problem: unable to get local issuer certificate,none
awqaf.gov.jo,gov.jo,302,5 mx01.govmail.gov.jo.; 5 mx02.govmail.gov.jo.
aysarlocation.naour.gov.jo,gov.jo,Could not resolve host: aysarlocation.naour.gov.jo,none
backend.raqeb.gov.jo,gov.jo,SSL: no alternative certificate subject name matches target hostname 'backend.raqeb.gov.jo',none
backend.raqib.gov.jo,gov.jo,Could not resolve host: backend.raqib.gov.jo,none
bader.gov.jo,gov.jo,Could not resolve host: bader.gov.jo,none
bi.jdwh-internet.mot.gov.jo,gov.jo,Could not resolve host: bi.jdwh-internet.mot.gov.jo,none
bi.jdwh-sgn.mot.gov.jo,gov.jo,Could not resolve host: bi.jdwh-sgn.mot.gov.jo,none
bma.ssif.gov.jo,gov.jo,200,none
booking.mfa.gov.jo,gov.jo,Connection timed out after 3002 milliseconds,none
bookingadmin.mfa.gov.jo,gov.jo,Connection timed out after 3002 milliseconds,none
bpm.gov.jo,gov.jo,200,none
burma.gov.jo,gov.jo,200,10 mail.burma.gov.jo.
cairo.mohe.gov.jo,gov.jo,200,none
carc.gov.jo,gov.jo,500,none
cbj.gov.jo,gov.jo,Resolving timed out after 3000 milliseconds,5 mx03.cbj.gov.jo.
ccd.gov.jo,gov.jo,302,none
cfs.gov.jo,gov.jo,Could not resolve host: cfs.gov.jo,none
chatbot.moh.gov.jo,gov.jo,SSL: no alternative certificate subject name matches target hostname 'chatbot.moh.gov.jo',none
checkdata.gov.jo,gov.jo,Could not resolve host: checkdata.gov.jo,none
citizensearch-cspd.gov.jo,gov.jo,Could not resolve host: citizensearch-cspd.gov.jo,none
classifications.mota.gov.jo,gov.jo,Could not resolve host: classifications.mota.gov.jo,none
climate-mrv.gov.jo,gov.jo,302,none
climate-regestry.gov.jo,gov.jo,Could not resolve host: climate-regestry.gov.jo,none
climate-registry.gov.jo,gov.jo,200,none
cmu.gov.jo,gov.jo,403,none
collab-edge.moict.gov.jo,gov.jo,Could not resolve host: collab-edge.moict.gov.jo,none
colrev.mfa.gov.jo,gov.jo,Could not resolve host: colrev.mfa.gov.jo,none
complaints.trc.gov.jo,gov.jo,Could not resolve host: complaints.trc.gov.jo,none
conference.jij.gov.jo,gov.jo,Could not resolve host: conference.jij.gov.jo,none
connect.moict.gov.jo,gov.jo,200,none
consserv.mfa.gov.jo,gov.jo,Connection timed out after 3001 milliseconds,none
control.mosd.gov.jo,gov.jo,Connection timed out after 3001 milliseconds,none
corner.ssc.gov.jo,gov.jo,Could not resolve host: corner.ssc.gov.jo,none
corona.moh.gov.jo,gov.jo,Connection timed out after 3001 milliseconds,none
covid19survey.moh.gov.jo,gov.jo,Could not resolve host: covid19survey.moh.gov.jo,none
covid19training.moh.gov.jo,gov.jo,Could not resolve host: covid19training.moh.gov.jo,none
cpanel.4thamfhud.gov.jo,gov.jo,Could not resolve host: cpanel.4thamfhud.gov.jo,none
cpanel.5724155.naour.gov.jo,gov.jo,Could not resolve host: cpanel.5724155.naour.gov.jo,none
cpanel.aljeeza.gov.jo,gov.jo,Could not resolve host: cpanel.aljeeza.gov.jo,none
cpanel.alkutba.gov.jo,gov.jo,Could not resolve host: cpanel.alkutba.gov.jo,none
cpanel.carc.gov.jo,gov.jo,Could not resolve host: cpanel.carc.gov.jo,none
cpanel.dairabisaeed.gov.jo,gov.jo,Could not resolve host: cpanel.dairabisaeed.gov.jo,none
cpanel.dolail.gov.jo,gov.jo,Could not resolve host: cpanel.dolail.gov.jo,none
cpanel.gid.gov.jo,gov.jo,Could not resolve host: cpanel.gid.gov.jo,none
cpanel.irbid.gov.jo,gov.jo,200,none
cpanel.irbid2022.gov.jo,gov.jo,Could not resolve host: cpanel.irbid2022.gov.jo,none
cpanel.jcsccshop.gov.jo,gov.jo,200,none
cpanel.jhr.gov.jo,gov.jo,Could not resolve host: cpanel.jhr.gov.jo,none
cpanel.jnmi.gov.jo,gov.jo,Could not resolve host: cpanel.jnmi.gov.jo,none
cpanel.pmy-city.gov.jo,gov.jo,Could not resolve host: cpanel.pmy-city.gov.jo,none
cpanel.polm.gov.jo,gov.jo,Could not resolve host: cpanel.polm.gov.jo,none
cpanel.tadreebak.gov.jo,gov.jo,Could not resolve host: cpanel.tadreebak.gov.jo,none
cpanel.zm.gov.jo,gov.jo,Could not resolve host: cpanel.zm.gov.jo,none
cpcalendars.4thamfhud.gov.jo,gov.jo,Could not resolve host: cpcalendars.4thamfhud.gov.jo,none
cpcalendars.5724155.naour.gov.jo,gov.jo,Could not resolve host: cpcalendars.5724155.naour.gov.jo,none
cpcalendars.aljeeza.gov.jo,gov.jo,Could not resolve host: cpcalendars.aljeeza.gov.jo,none
cpcalendars.alkutba.gov.jo,gov.jo,Could not resolve host: cpcalendars.alkutba.gov.jo,none
cpcalendars.carc.gov.jo,gov.jo,Could not resolve host: cpcalendars.carc.gov.jo,none
cpcalendars.dairabisaeed.gov.jo,gov.jo,Could not resolve host: cpcalendars.dairabisaeed.gov.jo,none
cpcalendars.dolail.gov.jo,gov.jo,Could not resolve host: cpcalendars.dolail.gov.jo,none
cpcalendars.gid.gov.jo,gov.jo,Could not resolve host: cpcalendars.gid.gov.jo,none
cpcalendars.irbid.gov.jo,gov.jo,401,none
cpcalendars.irbid2022.gov.jo,gov.jo,Could not resolve host: cpcalendars.irbid2022.gov.jo,none
cpcalendars.jcsccshop.gov.jo,gov.jo,401,none
cpcalendars.jhr.gov.jo,gov.jo,Could not resolve host: cpcalendars.jhr.gov.jo,none
cpcalendars.jnmi.gov.jo,gov.jo,Could not resolve host: cpcalendars.jnmi.gov.jo,none
cpcalendars.tadreebak.gov.jo,gov.jo,Could not resolve host: cpcalendars.tadreebak.gov.jo,none
cpcalendars.zm.gov.jo,gov.jo,Could not resolve host: cpcalendars.zm.gov.jo,none
cpcontacts.4thamfhud.gov.jo,gov.jo,Could not resolve host: cpcontacts.4thamfhud.gov.jo,none
cpcontacts.5724155.naour.gov.jo,gov.jo,Could not resolve host: cpcontacts.5724155.naour.gov.jo,none
cpcontacts.aljeeza.gov.jo,gov.jo,Could not resolve host: cpcontacts.aljeeza.gov.jo,none
cpcontacts.alkutba.gov.jo,gov.jo,Could not resolve host: cpcontacts.alkutba.gov.jo,none
cpcontacts.carc.gov.jo,gov.jo,Could not resolve host: cpcontacts.carc.gov.jo,none
cpcontacts.dairabisaeed.gov.jo,gov.jo,Could not resolve host: cpcontacts.dairabisaeed.gov.jo,none
cpcontacts.dolail.gov.jo,gov.jo,Could not resolve host: cpcontacts.dolail.gov.jo,none
cpcontacts.gid.gov.jo,gov.jo,Could not resolve host: cpcontacts.gid.gov.jo,none
cpcontacts.irbid.gov.jo,gov.jo,401,none
cpcontacts.irbid2022.gov.jo,gov.jo,Could not resolve host: cpcontacts.irbid2022.gov.jo,none
cpcontacts.jcsccshop.gov.jo,gov.jo,401,none
cpcontacts.jhr.gov.jo,gov.jo,Could not resolve host: cpcontacts.jhr.gov.jo,none
cpcontacts.jnmi.gov.jo,gov.jo,Could not resolve host: cpcontacts.jnmi.gov.jo,none
cpcontacts.tadreebak.gov.jo,gov.jo,Could not resolve host: cpcontacts.tadreebak.gov.jo,none
cpcontacts.zm.gov.jo,gov.jo,Could not resolve host: cpcontacts.zm.gov.jo,none
crm.awqaf.gov.jo,gov.jo,Could not resolve host: crm.awqaf.gov.jo,none
csb.gov.jo,gov.jo,Could not resolve host: csb.gov.jo,none
csb2.gov.jo,gov.jo,Could not resolve host: csb2.gov.jo,none
