hostname,score,sources,label,level
city.kakegawa.shizuoka.jp,7,wikidata;wikidata;wikidata,Kakegawa City Council | Kakegawa,local
metro.tokyo.lg.jp,7,wikidata;wikidata,Tokyo Metropolitan Government | Tokyo,local
pref.aichi.jp,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Aichi Prefectural Public Safety Commission | Aichi Prefecture | Aichi prefectural government,local
pref.aomori.lg.jp,7,wikidata;wikidata,Aomori Prefecture,local
pref.chiba.lg.jp,7,wikidata;wikidata,Chiba Prefecture | Chiba Prefectural Government,local
pref.ehime.jp,7,wikidata;wikidata,Ehime Prefecture | Ehime prefectural government,local
pref.fukui.lg.jp,7,wikidata;wikidata,Fukui Prefectural Public Safety Commission | Fukui Prefecture,local
pref.fukuoka.lg.jp,7,wikidata;wikidata;wikidata;wikidata;wikidata,Fukuoka Prefectural Board of Education | Fukuoka Prefecture | Fukuoka prefectural government,local
pref.fukushima.lg.jp,7,wikidata;wikidata,Fukushima Prefecture,local
pref.gifu.lg.jp,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Gifu Prefectural Board of Education | Gifu Prefecture,local
pref.gunma.jp,7,wikidata;wikidata;wikidata,Gunma Prefectural Board of Education | Gunma Prefecture | Gunma prefectural government,local
pref.hiroshima.lg.jp,7,wikidata;wikidata,Hiroshima Prefectural Public Safety Commission | Hiroshima Prefecture,local
pref.ibaraki.jp,7,wikidata;wikidata,Ibaraki Prefecture,local
pref.ishikawa.lg.jp,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Ishikawa Prefecture | Ishikawa prefectural government,local
pref.iwate.jp,7,wikidata;wikidata;wikidata;wikidata,Iwate Prefecture | Iwate prefectural government,local
pref.kagoshima.jp,7,wikidata;wikidata;wikidata,Kagoshima prefectural government | Ōshima Subprefecture | Kagoshima Prefecture,local
