hostname,score,sources,label,level,http_status,mx
adachikouiki.lg.jp,7,wikidata;wikidata,Q85879382,,HttpConnectTimeoutException: HTTP connect timed out,10 ns.adachikouiki.lg.jp.
aizu-kouiki.jp,7,wikidata;wikidata,Q11381268,,ConnectException,10 ml.aizu-kouiki.jp.
akiota.jp,7,wikidata;wikidata,Akiota,,ConnectException,10 mail1.akiota.jp.
akitakata.jp,7,wikidata;wikidata,Akitakata,,ConnectException,none
akkeshi-town.jp,7,wikidata;wikidata,Akkeshi,,HttpConnectTimeoutException: HTTP connect timed out,10 mail.akkeshi-town.jp.
asukamura.jp,7,wikidata;wikidata,Asuka,,301,0 asukamura.jp.
az9.or.jp,7,wikidata;wikidata,Q85876148,,HttpConnectTimeoutException: HTTP connect timed out,10 mail.0117.jp.
betsukai.jp,7,wikidata;wikidata,Betsukai,,200,10 relay.betsukai.jp.
boj.or.jp,7,wikidata;wikidata,Bank of Japan,central,ConnectException,10 mx.securemx.jp.
bungo-ohno.jp,7,wikidata;wikidata,Bungo-ōno-shi,,200,10 sc-ms.oita-net.jp.
chatan.jp,7,wikidata;wikidata,Chatan,,ConnectException,10 mail2.chatan.jp.; 20 mail1.chatan.jp.
city-kirishima.jp,7,wikidata;wikidata,Kirishima,,ConnectException,10 mx.city-kirishima.jp.
city-matsuura.jp,7,wikidata;wikidata,Matsuura,,ConnectException,none
city-yanai.jp,7,wikidata;wikidata,Yanai,,ConnectException,10 sc35-mail01.sbt-isc.jp.
city-yuzawa.jp,7,wikidata;wikidata,Yuzawa,,ConnectException,50 mail.city-yuzawa.jp.
city.abashiri.hokkaido.jp,7,wikidata;wikidata,Abashiri,,HttpConnectTimeoutException: HTTP connect timed out,10 mail.city.abashiri.hokkaido.jp.
city.abiko.chiba.jp,7,wikidata;wikidata,Abiko,,ConnectException,20 mx2.securitycloud.city.abiko.chiba.jp.
city.adachi.tokyo.jp,7,wikidata;wikidata,Adachi,,ConnectException,10 mail-ex.tokyo-isc.jp.
city.aira.lg.jp,7,wikidata;wikidata,Aira,,ConnectException,10 mx.city.aira.lg.jp.
city.aki.kochi.jp,7,wikidata;wikidata,Aki,,HttpConnectTimeoutException: HTTP connect timed out,10 mwbgw2.ocn.ad.jp.; 10 mwbgw1.ocn.ad.jp.
city.akiruno.tokyo.jp,7,wikidata;wikidata,Akiruno,,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching city.akiruno.tokyo.jp found.,none
city.akishima.lg.jp,7,wikidata;wikidata,Akishima,,ConnectException,1 mail-ex.tokyo-isc.jp.
city.akune.lg.jp,7,wikidata;wikidata,Akune,,ConnectException,none
city.amakusa.kumamoto.jp,7,wikidata;wikidata,Amakusa,,ConnectException,none
city.amami.lg.jp,7,wikidata;wikidata,Amami,,ConnectException,10 mx.city.amami.lg.jp.
city.anan.tokushima.jp,7,wikidata;wikidata,Anan,,ConnectException,none
city.anjo.aichi.jp,7,wikidata;wikidata,Anjō,,ConnectException,30 alt2.ap.email.fireeyecloud.com.; 10 primary.ap.email.fireeyecloud.com.; 40 alt3.ap.email.fireeyecloud.com.; 20 alt1.ap.email.fireeyecloud.com.
city.annaka.lg.jp,7,wikidata;wikidata,Annaka,,HttpConnectTimeoutException: HTTP connect timed out,10 gsc2-ml10.sec.gunma.jp.
city.arida.lg.jp,7,wikidata;wikidata,Arida,,HttpConnectTimeoutException: HTTP connect timed out,10 mail1.wirp.jp.; 10 mail2.wirp.jp.
city.asago.hyogo.jp,7,wikidata;wikidata,Asago,,ConnectException,10 rose-z21.pref.hyogo.lg.jp.; 20 rose-n22.pref.hyogo.lg.jp.
city.asakuchi.lg.jp,7,wikidata;wikidata,Asakuchi,,HttpConnectTimeoutException: HTTP connect timed out,dig error
city.asakura.lg.jp,7,wikidata;wikidata,Asakura,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 fsec-mta.city.asakura.lg.jp.
city.aso.kumamoto.jp,7,wikidata;wikidata,Aso,,302,10 pop.city.aso.kumamoto.jp.
city.atami.lg.jp,7,wikidata;wikidata,Atami,,ConnectException,10 mailgwsc.oneoffice.jp.
city.awa.lg.jp,7,wikidata;wikidata,Awa,,ConnectException,none
city.awaji.lg.jp,7,wikidata;wikidata,Awaji,,ConnectException,20 rose-n22.pref.hyogo.lg.jp.; 10 rose-z21.pref.hyogo.lg.jp.
city.awara.lg.jp,7,wikidata;wikidata,Awara,,HttpConnectTimeoutException: HTTP connect timed out,10 mail2in.s-cloud.pref.fukui.lg.jp.
city.ayabe.lg.jp,7,wikidata;wikidata,Ayabe,,HttpConnectTimeoutException: HTTP connect timed out,10 smtp2.security.pref.kyoto.jp.; 10 smtp1.security.pref.kyoto.jp.
city.bibai.hokkaido.jp,7,wikidata;wikidata,Bibai,,HttpConnectTimeoutException: HTTP connect timed out,10 mail.city.bibai.hokkaido.jp.
city.bizen.okayama.jp,7,wikidata;wikidata,Bizen,,HttpConnectTimeoutException: HTTP connect timed out,10 sco-mx.sec-cloud.pref.okayama.jp.
city.bungotakada.oita.jp,7,wikidata;wikidata,Bungotakada,,ConnectException,10 sc-ms.oita-net.jp.
city.buzen.lg.jp,7,wikidata;wikidata,Buzen,,ConnectException,10 fsec-mta.city.buzen.lg.jp.
city.chikugo.lg.jp,7,wikidata;wikidata,Chikugo,,ConnectException,10 fsec-mta.city.chikugo.lg.jp.
city.chikuma.lg.jp,7,wikidata;wikidata,Chikuma,,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching city.chikuma.lg.jp found.,10 mx2nd12.naganoken-sc.jp.; 10 mx2nd11.naganoken-sc.jp.
city.chikusei.lg.jp,7,wikidata;wikidata,Chikusei,,HttpConnectTimeoutException: HTTP connect timed out,10 ibscmllg-227.city.chikusei.lg.jp.
city.chikushino.fukuoka.jp,7,wikidata;wikidata,Chikushino,,HttpConnectTimeoutException: HTTP connect timed out,10 fsec-mta.city.chikushino.fukuoka.jp.
city.chitose.lg.jp,7,wikidata;wikidata,Chitose,,HttpConnectTimeoutException: HTTP connect timed out,10 mail.city.chitose.lg.jp.
city.chofu.lg.jp,7,wikidata;wikidata,Chōfu,,HttpConnectTimeoutException: HTTP connect timed out,10 mail-ex.tokyo-isc.jp.
city.choshi.chiba.jp,7,wikidata;wikidata,Chōshi,,HttpConnectTimeoutException: HTTP connect timed out,20 mx2.securitycloud.city.choshi.chiba.jp.
city.chuo.lg.jp,7,wikidata;wikidata,Chūō,,HttpConnectTimeoutException: HTTP connect timed out,10 mail-ex.tokyo-isc.jp.; 100 purify.attnet.ne.jp.
city.daisen.lg.jp,7,wikidata;wikidata,Daisen,,ConnectException,10 sc05-mail01.sbt-isc.jp.
city.daito.lg.jp,7,wikidata;wikidata,Daitō-shi,,ConnectException,10 osakasc-fml3.utility.optage.co.jp.
city.date.hokkaido.jp,7,wikidata;wikidata,Date,,ConnectException,10 mail.city.date.hokkaido.jp.
city.dazaifu.lg.jp,7,wikidata;wikidata,Dazaifu,,ConnectException: Host is unreachable,10 fsec-mta.city.dazaifu.lg.jp.
city.ebetsu.hokkaido.jp,7,wikidata;wikidata,Ebetsu,,ConnectException,10 ns1.city.ebetsu.hokkaido.jp.
city.ebino.lg.jp,7,wikidata;wikidata,Ebino,,ConnectException,10 msc2-osk-ml.miyazakisc.miyazaki.jp.
city.echizen.lg.jp,7,wikidata;wikidata,Echizen,,ConnectException,10 mail2in.s-cloud.pref.fukui.lg.jp.
city.edogawa.tokyo.jp,7,wikidata;wikidata,Edogawa,,ConnectException,10 mail-ex.tokyo-isc.jp.
city.ena.lg.jp,7,wikidata;wikidata,Ena,,ConnectException,10 mail01.gifu-sc2.jp.; 10 mail02.gifu-sc2.jp.
city.eniwa.hokkaido.jp,7,wikidata;wikidata,Eniwa,,ConnectException,10 mail.city.eniwa.hokkaido.jp.
city.etajima.hiroshima.jp,7,wikidata;wikidata,Etajima,,ConnectException,10 ns.city.etajima.hiroshima.jp.
city.fuchu.hiroshima.jp,7,wikidata;wikidata,Fuchū-shi,,ConnectException,0 mail.city.fuchu.hiroshima.jp.
city.fujieda.shizuoka.jp,7,wikidata;wikidata,Fujieda,,ConnectException,10 mailgwsc.oneoffice.jp.
city.fujiidera.lg.jp,7,wikidata;wikidata,Fujiidera,,ConnectException,10 osakasc-fml3.utility.optage.co.jp.
city.fujimi.saitama.jp,7,wikidata;wikidata,Fujimi,,ConnectException,1 sc11-mail01.sbt-isc.jp.
city.fujinomiya.lg.jp,7,wikidata;wikidata,Fujinomiya,,ConnectException,10 mailgwsc.oneoffice.jp.
city.fujioka.gunma.jp,7,wikidata;wikidata,Fujioka,,200,0 city-fujioka-gunma-jp.mail.protection.outlook.com.
city.fujisawa.kanagawa.jp,7,wikidata;wikidata,Fujisawa,,ConnectException,10 fml01.sc-kanagawa.jp.
city.fujiyoshida.yamanashi.jp,7,wikidata;wikidata,Fujiyoshida,,ConnectException,10 mlv.ypisc.jp.
city.fukagawa.lg.jp,7,wikidata;wikidata,Fukagawa,,HttpConnectTimeoutException: HTTP connect timed out,10 ns.city.fukagawa.lg.jp.
