qid,label
Q1037393,Hokkaidō
Q120730,Kyoto Prefecture
Q122723,Osaka Prefecture
Q123258,Fukuoka Prefecture
Q123376,Ehime Prefecture
Q125863,Yamagata Prefecture
Q127264,Yamaguchi Prefecture
Q127513,Kanagawa Prefecture
Q127877,Nagano Prefecture
Q128186,Saitama Prefecture
Q128196,Mie Prefecture
Q129499,Gunma Prefecture
Q130290,Hyōgo Prefecture
Q130300,Miyazaki Prefecture
Q130308,Kumamoto Prefecture
Q131277,Gifu Prefecture
Q131281,Ishikawa Prefecture
Q131287,Nara Prefecture
Q131314,Wakayama Prefecture
Q131320,Shizuoka Prefecture
Q131358,Shiga Prefecture
Q132705,Niigata Prefecture
Q132720,Yamanashi Prefecture
Q132751,Shimane Prefecture
Q132929,Toyama Prefecture
Q132936,Okayama Prefecture
Q133879,Fukui Prefecture
Q133924,Ōita Prefecture
Q133935,Tottori Prefecture
Q134093,Kōchi Prefecture
Q1490,Tokyo
Q15701,Kagoshima Prefecture
Q160420,Saga Prefecture
Q160734,Tokushima Prefecture
Q161454,Kagawa Prefecture
Q169376,Nagasaki Prefecture
Q44843,Tochigi Prefecture
Q47896,Miyagi Prefecture
Q48326,Iwate Prefecture
Q617375,Hiroshima Prefecture
Q71699,Aomori Prefecture
Q71707,Fukushima Prefecture
Q766445,Okinawa Prefecture
Q80011,Chiba Prefecture
Q80434,Aichi Prefecture
Q81863,Akita Prefecture
Q83273,Ibaraki Prefecture
