type,label,website,hostname,level
government_agency,Presidential Administration of Kazakhstan,https://www.akorda.kz/ru/,akorda.kz,
government_agency,"Consulate General of Turkey, Aktau",https://aktau-bk.mfa.gov.tr,aktau-bk.mfa.gov.tr,
government_agency,Consulate-General of the People's Republic of China in Aktobe,http://aktobe.china-consulate.gov.cn/chn/,aktobe.china-consulate.gov.cn,central-1
government_agency,"Consulate General of Turkey, Almaty",https://almati-bk.mfa.gov.tr,almati-bk.mfa.gov.tr,
government_agency,"Consulate General of Germany, Almaty",https://almaty.diplo.de/,almaty.diplo.de,
government_agency,"Polish Consulate General, Almaty",http://www.almaty.msz.gov.pl,almaty.msz.gov.pl,
government_agency,"Embassy of France, Astana",http://www.ambafrance-kz.org/,ambafrance-kz.org,central
government_agency,embassy of Italy in Kazakhstan,https://ambastana.esteri.it,ambastana.esteri.it,central
government_agency,Anti Corruption agency of Kazakhstan,http://www.anticorruption.gov.kz,anticorruption.gov.kz,
government_agency,The Agency for Protection and Promotion of Competition of the Republic of Kazakhstan,http://www.arem.gov.kz/,arem.gov.kz,
government_agency,Assembly of People of Kazakhstan,https://assembly.kz/ru/,assembly.kz,
government_agency,"Embassy of Turkey, Astana",https://astana-be.mfa.gov.tr,astana-be.mfa.gov.tr,central
government_agency,embassy of Brazil in Kazakhstan,http://astana.itamaraty.gov.br,astana.itamaraty.gov.br,central
government_agency,embassy of North Macedonia in Kazakhstan,https://astana.mfa.gov.mk,astana.mfa.gov.mk,central
government_agency,embassy of Serbia in Kazakhstan,http://astana.mfa.gov.rs,astana.mfa.gov.rs,central
government_agency,National Agency for Technological Development,https://www.baiterek.gov.kz/en,baiterek.gov.kz,
government_agency,Research Institute for Biological Safety Problems,https://www.biosafety.kz/en/,biosafety.kz,
government_agency,embassy of Austria in Kazakhstan,https://www.bmeia.gv.at/oeb-nur-sultan/,bmeia.gv.at,central
government_agency,Embassy of Canada in Kazakhstan,https://www.canadainternational.gc.ca/kazakhstan/index.aspx,canadainternational.gc.ca,central
government_agency,embassy of South Africa in Kazakhstan,http://www.dirco.gov.za/astana,dirco.gov.za,central
ministry,Ministry of Ecology and Natural Resources,http://www.eco.gov.kz/,eco.gov.kz,central
government_agency,Ministry of Ecology and Natural Resources,http://www.eco.gov.kz/,eco.gov.kz,central
government_agency,Ministry of National Economy,http://economy.gov.kz/,economy.gov.kz,central
ministry,Ministry of National Economy,http://economy.gov.kz/,economy.gov.kz,central
government_agency,embassy of Switzerland in Kazakhstan,https://www.eda.admin.ch/nur-sultan,eda.admin.ch,central
government_agency,Delegation of the European Union to Kazakhstan,https://eeas.europa.eu/delegations/kazakhstan_en,eeas.europa.eu,
government_agency,embassy of Israel in Kazakhstan,https://embassies.gov.il/astana,embassies.gov.il,central
government_agency,"Embassy of Saudi Arabia, Astana",https://embassies.mofa.gov.sa/sites/Kazakhstan,embassies.mofa.gov.sa,central
ministry,Ministry of Energy,http://energo.gov.kz/,energo.gov.kz,central
government_agency,Ministry of Energy,http://energo.gov.kz/,energo.gov.kz,central
government_agency,"Embassy of Spain, Astana",http://www.exteriores.gob.es/Embajadas/ASTANA,exteriores.gob.es,central
government_agency,embassy of Finland in Kazakhstan,https://finlandabroad.fi/web/kaz,finlandabroad.fi,central
government_agency,KazCosmos,https://www.gharysh.kz/,gharysh.kz,
government_agency,Ministry of Ecology and Natural Resources,https://www.gov.kz/memleket/entities/ecogeo?lang=kk,gov.kz,central
ministry,Ministry of Ecology and Natural Resources,https://www.gov.kz/memleket/entities/ecogeo?lang=kk,gov.kz,central
ministry,Ministry of Foreign Affairs of the Republic of Kazakhstan,https://www.gov.kz/memleket/entities/mfa,gov.kz,central
ministry,Ministry of Tourism and Sports of the Republic of Kazakhstan,https://www.gov.kz/memleket/entities/tsm?lang=kk,gov.kz,central
government_agency,Ministry of Tourism and Sports of the Republic of Kazakhstan,https://www.gov.kz/memleket/entities/tsm?lang=kk,gov.kz,central
ministry,Ministry of Justice of the Republic of Kazakhstan,https://www.gov.kz/memleket/entities/adilet,gov.kz,central
government_agency,Ministry of Justice of the Republic of Kazakhstan,https://www.gov.kz/memleket/entities/adilet,gov.kz,central
