type,label,website,hostname,level
university,Academy of the Ministry of Internal Affairs,http://aacademymvd.kz/,aacademymvd.kz,university
university,Academy of Banking,http://www.abd.kz/,abd.kz,university
university,Kazakh Ablai Khan University of International Relations and World Languages,https://www.ablaikhan.kz/ru/,ablaikhan.kz,university
university,Kazakh Ablai Khan University of International Relations and World Languages,https://www.ablaikhan.kz/en/,ablaikhan.kz,university
university,Kazakh Ablai Khan University of International Relations and World Languages,https://www.ablaikhan.kz/kz/,ablaikhan.kz,university
university,Alikhan Bokeikhan University,https://abu.edu.kz/,abu.edu.kz,university
university,Academy of Civil Aviation,http://agakaz.kz/ru/,agakaz.kz,university
university,Energo University,http://www.aipet.kz/,aipet.kz,university
government_agency,Presidential Administration of Kazakhstan,https://www.akorda.kz/ru/,akorda.kz,
government_agency,"Consulate General of Germany, Almaty",https://almaty.diplo.de/,almaty.diplo.de,
university,Kazakh Academy of Transport and Communications named after M.Tynyshpaev,http://alt.edu.kz/,alt.edu.kz,university
government_agency,"Embassy of France, Astana",http://www.ambafrance-kz.org/,ambafrance-kz.org,central
university,Astana Medical University,http://www.amu.kz,amu.kz,university
university,Aktobe Regional State University named after K. Zhubanov,http://arsu.kz/,arsu.kz,university
government_agency,Assembly of People of Kazakhstan,https://assembly.kz/ru/,assembly.kz,
university,Atyrau University of Oil and Gas,http://atrmgu.kz,atrmgu.kz,university
university,Kazakh Academy of Labour and Social Affairs,http://atso.kz/,atso.kz,university
university,Almaty Technological University,http://atu.edu.kz/,atu.edu.kz,university
university,Khalel Dosmukhamedov Atyrau University,https://atyrau.edu.kz/,atyrau.edu.kz,university
university,Zhanibekov University,https://auezov.edu.kz/,auezov.edu.kz,university
university,Ahmet Yesevi University,https://www.ayu.edu.tr/,ayu.edu.tr,university
government_agency,Research Institute for Biological Safety Problems,https://www.biosafety.kz/en/,biosafety.kz,
university,Bolashaq Academy,https://bolashaq.edu.kz/,bolashaq.edu.kz,university
university,Central Asian Innovation University,https://caiu.edu.kz/history-of-the-university-ru/,caiu.edu.kz,university
university,Central Asian University,http://www.cau.kz/,cau.kz,university
university,Caspian Public University,http://cu.edu.kz/en/,cu.edu.kz,university
university,Kazakh-German University,http://dku.kz/,dku.kz,university
government_agency,Delegation of the European Union to Kazakhstan,https://eeas.europa.eu/delegations/kazakhstan_en,eeas.europa.eu,
university,East Kazakhstan Technical University,http://www.ektu.kz/,ektu.kz,university
university,Energo University,https://energo.university/,energo.university,university
university,L. N. Gumilyov Eurasian National University,https://enu.kz/,enu.kz,university
