subdomain,parent_domain,http_status
103.gov.kg,gov.kg,"301"
1227.mlsp.gov.kg,gov.kg,"502"
2020.edu.gov.kg,gov.kg,"Connection timed out after 3000 milliseconds"
24.103.gov.kg,gov.kg,"Connection timed out after 3002 milliseconds"
24.edu.gov.kg,gov.kg,"401"
account.mektep.edu.gov.kg,gov.kg,"SSL: no alternative certificate subject name matches target hostname 'account.mektep.edu.gov.kg'"
acts.gamsumo.gov.kg,gov.kg,"Could not resolve host: acts.gamsumo.gov.kg"
admin.baldarbazasy.mlsp.gov.kg,gov.kg,"Could not resolve host: admin.baldarbazasy.mlsp.gov.kg"
admin.e.gov.kg,gov.kg,"SSL certificate problem: self-signed certificate"
admin.indicators.water.gov.kg,gov.kg,"SSL: no alternative certificate subject name matches target hostname 'admin.indicators.water.gov.kg'"
agro.gov.kg,gov.kg,"301"
agroprod.gov.kg,gov.kg,"Connection timed out after 3002 milliseconds"
agrosmart.gov.kg,gov.kg,"Could not resolve host: agrosmart.gov.kg"
aits.gvfi.gov.kg,gov.kg,"200"
aitstest.gvfi.gov.kg,gov.kg,"Connection timed out after 3001 milliseconds"
analytics.zakupki.gov.kg,gov.kg,"Could not resolve host: analytics.zakupki.gov.kg"
api.indicators.water.gov.kg,gov.kg,"Operation timed out after 3000 milliseconds with 0 bytes received"
api.passport.water.gov.kg,gov.kg,"Operation timed out after 3001 milliseconds with 0 bytes received"
api.wua.water.gov.kg,gov.kg,"Connection timed out after 3002 milliseconds"
api.zakupki.gov.kg,gov.kg,"Connection timed out after 3002 milliseconds"
apnip.water.gov.kg,gov.kg,"SSL certificate problem: certificate has expired"
asterisk.103.gov.kg,gov.kg,"Connection timed out after 3001 milliseconds"
asula.edu.gov.kg,gov.kg,"200"
atlas.agro.gov.kg,gov.kg,"Could not resolve host: atlas.agro.gov.kg"
auction.nas.gov.kg,gov.kg,"403"
auth.gov.kg,gov.kg,"SSL: no alternative certificate subject name matches target hostname 'auth.gov.kg'"
autodiscover.it.gov.kg,gov.kg,"Could not resolve host: autodiscover.it.gov.kg"
avn.kyrgyztest.gov.kg,gov.kg,"Could not resolve host: avn.kyrgyztest.gov.kg"
ayulmaalimat.gov.kg,gov.kg,"Could not resolve host: ayulmaalimat.gov.kg"
aziza.nas.gov.kg,gov.kg,"Could not resolve host: aziza.nas.gov.kg"
backend.mfa.gov.kg,gov.kg,"403"
balabakcha.edu.gov.kg,gov.kg,"Could not resolve host: balabakcha.edu.gov.kg"
baldarbazasy.mlsp.gov.kg,gov.kg,"Could not resolve host: baldarbazasy.mlsp.gov.kg"
balykchy.gov.kg,gov.kg,"200"
basma.gov.kg,gov.kg,"Recv failure: Connexion ré-initialisée par le correspondant"
bb.edu.gov.kg,gov.kg,"301"
bugs.ordo.gov.kg,gov.kg,"Could not resolve host: bugs.ordo.gov.kg"
cabinet.mektep.edu.gov.kg,gov.kg,"SSL: no alternative certificate subject name matches target hostname 'cabinet.mektep.edu.gov.kg'"
catalog.ordo.gov.kg,gov.kg,"Could not resolve host: catalog.ordo.gov.kg"
cem-dev.103.gov.kg,gov.kg,"Failed to connect to cem-dev.103.gov.kg port 443 after 135 ms: Could not connect to server"
cem24.103.gov.kg,gov.kg,"Could not resolve host: cem24.103.gov.kg"
cgsn.gov.kg,gov.kg,"Recv failure: Connexion ré-initialisée par le correspondant"
chat.gosexpertiza.gov.kg,gov.kg,"Could not resolve host: chat.gosexpertiza.gov.kg"
check.e.gov.kg,gov.kg,"SSL certificate problem: self-signed certificate"
check.uslugi.gov.kg,gov.kg,"Connection timed out after 3002 milliseconds"
child.mlsp.gov.kg,gov.kg,"403"
cmsedge.transcom.gov.kg,gov.kg,"Connection timed out after 3001 milliseconds"
collab-edge.transcom.gov.kg,gov.kg,"Connection timed out after 3001 milliseconds"
contacts.gamsumo.gov.kg,gov.kg,"Could not resolve host: contacts.gamsumo.gov.kg"
covid.gov.kg,gov.kg,"Resolving timed out after 3000 milliseconds"
crm.energoesep.gov.kg,gov.kg,"Connection timed out after 3002 milliseconds"
crm.mlsp.gov.kg,gov.kg,"Could not resolve host: crm.mlsp.gov.kg"
cs.zakupki.gov.kg,gov.kg,"Connection timed out after 3003 milliseconds"
czrk.zalog.gov.kg,gov.kg,"Could not resolve host: czrk.zalog.gov.kg"
data.edu.gov.kg,gov.kg,"200"
data.gov.kg,gov.kg,"200"
deb.ordo.gov.kg,gov.kg,"Could not resolve host: deb.ordo.gov.kg"
dev-nm.ordo.gov.kg,gov.kg,"Could not resolve host: dev-nm.ordo.gov.kg"
dev.tunduk.gov.kg,gov.kg,"SSL: no alternative certificate subject name matches target hostname 'dev.tunduk.gov.kg'"
digital.gov.kg,gov.kg,"403"
do.gov.kg,gov.kg,"SSL certificate problem: certificate has expired"
docs.tunduk.gov.kg,gov.kg,"Connection timed out after 3002 milliseconds"
drug.gvfi.gov.kg,gov.kg,"200"
