subdomain,mx
a2i.info.gov.kh,none
a2i.information.gov.kh,none
accounts.nsw.gov.kh,none
activesync.crdb.gov.kh,none
admin.fwcms.mlvt.gov.kh,none
admin.gdlf.gov.kh,none
admin.mptc.gov.kh,none
akp.gov.kh,0 akp.gov.kh.
akpgallery.gov.kh,none
angkorenterprise.gov.kh,0 angkorenterprise-gov-kh.mail.protection.outlook.com.
api.angkorenterprise.gov.kh,none
api.nea.gov.kh,none
api.senate.gov.kh,none
app.mptc.gov.kh,none
apps.cmaa.gov.kh,none
apps.nsw.gov.kh,none
appsearch.senate.gov.kh,none
arengcafe.akpgallery.gov.kh,none
aseantelmin17.gov.kh,10 mx.zoho.com.; 20 mx2.zoho.com.
asset.treasury.gov.kh,none
atf.tax.gov.kh,none
atinfo.info.gov.kh,none
atinfo.information.gov.kh,none
autodiscover.akpgallery.gov.kh,none
autodiscover.cambodiafilm.gov.kh,none
autodiscover.cambodiantr.gov.kh,none
autodiscover.ccc.gov.kh,none
autodiscover.chrc.gov.kh,none
autodiscover.crdb.gov.kh,0 mx.crdb.gov.kh.
autodiscover.culpp.gov.kh,none
autodiscover.eccc.gov.kh,none
autodiscover.foodsecurity.gov.kh,none
autodiscover.gdaf-senate.gov.kh,none
autodiscover.gdlf.gov.kh,none
autodiscover.laws.gov.kh,none
autodiscover.nada-nis.gov.kh,none
autodiscover.nchp.gov.kh,none
autodiscover.nea.gov.kh,none
autodiscover.nis.gov.kh,none
autodiscover.pas.gov.kh,none
autodiscover.scm.gov.kh,none
autodiscover.snt.gov.kh,none
bat.ncdd.gov.kh,10 bat.ncdd.gov.kh.
beta.angkorenterprise.gov.kh,none
beta.cmaa.gov.kh,none
beta.grk.gov.kh,none
beta.mod.gov.kh,none
beta.rnk.gov.kh,none
beta.usof.gov.kh,none
bill-trade.akpgallery.gov.kh,none
biok12.moeys.gov.kh,none
bmc.ncdd.gov.kh,10 bmc.ncdd.gov.kh.
bossnews.information.gov.kh,none
budinst.gov.kh,10 mx1.supremebox.com.; 10 mx2.supremebox.com.
businessregistration.moc.gov.kh,none
calendars.mpwt.gov.kh,none
calmette.gov.kh,10 mail.calmette.gov.kh.
cam-crds.nis.gov.kh,none
cambodiafilm.gov.kh,none
cambodiaip.gov.kh,none
cambodiantr.gov.kh,none
cambodiavip.akpgallery.gov.kh,none
camcert.gov.kh,10 mail.camcert.gov.kh.
camcontrol.gov.kh,none
camemb.bel.mfa.gov.kh,none
camemb.eng.mfa.gov.kh,none
camemb.ind.mfa.gov.kh,none
camemb.jkt.mfa.gov.kh,none
camemb.kwt.mfa.gov.kh,none
camemb.lao.mfa.gov.kh,none
camemb.mys.mfa.gov.kh,none
camemb.rus.mfa.gov.kh,none
camemb.sg.mfa.gov.kh,none
camemb.tha.mfa.gov.kh,none
caminfo.nis.gov.kh,none
cbeng.ncct.gov.kh,none
ccc.gov.kh,none
chrc.gov.kh,none
cloud.customs.gov.kh,none
cloud.maff.gov.kh,none
cmaa.gov.kh,none
cncc.gov.kh,none
cncc.gov.kh.cp-41.webhostbox.net,none
cnm.gov.kh,none
cnmc.gov.kh,none
connect.tuolsleng.gov.kh,none
courtofappealpp.gov.kh,none
cpanel.akp.gov.kh,none
cpanel.akpgallery.gov.kh,none
cpanel.bat.ncdd.gov.kh,none
cpanel.bmc.ncdd.gov.kh,none
cpanel.budinst.gov.kh,none
cpanel.calmette.gov.kh,none
cpanel.cambodiafilm.gov.kh,none
cpanel.cambodiantr.gov.kh,none
cpanel.camcontrol.gov.kh,none
cpanel.cbeng.ncct.gov.kh,none
cpanel.ccc.gov.kh,none
cpanel.chrc.gov.kh,none
cpanel.cmaa.gov.kh,none
cpanel.cnm.gov.kh,none
cpanel.cnmc.gov.kh,none
cpanel.courtofappealpp.gov.kh,none
cpanel.crdb.gov.kh,none
cpanel.culpp.gov.kh,none
cpanel.demo.battambang.gov.kh,none
cpanel.dmc.gov.kh,none
cpanel.dosh.gov.kh,none
cpanel.eac.gov.kh,none
cpanel.eccc.gov.kh,none
cpanel.evisa.gov.kh,none
cpanel.foodsecurity.gov.kh,none
cpanel.gdaf-senate.gov.kh,none
cpanel.gdlf.gov.kh,none
cpanel.grk.gov.kh,none
cpanel.gspd.gov.kh,none
cpanel.interior.gov.kh,none
cpanel.kam.ncdd.gov.kh,none
cpanel.kch.ncdd.gov.kh,none
cpanel.kdl.ncdd.gov.kh,10 kdl.ncdd.gov.kh.
cpanel.kep.ncdd.gov.kh,10 kep.ncdd.gov.kh.
cpanel.kkg.ncdd.gov.kh,none
cpanel.kpc.ncdd.gov.kh,none
cpanel.kpt.ncdd.gov.kh,10 kpt.ncdd.gov.kh.
cpanel.laws.gov.kh,none
cpanel.mis.ncct.gov.kh,none
cpanel.mkr.ncdd.gov.kh,none
cpanel.mlvt.gov.kh,none
cpanel.mocar.gov.kh,none
cpanel.mop.gov.kh,none
cpanel.mptc.gov.kh,none
cpanel.mrd-rri.gov.kh,none
cpanel.mtosb.gov.kh,none
cpanel.nacd.gov.kh,none
cpanel.nada-nis.gov.kh,none
cpanel.nat.ncdd.gov.kh,none
cpanel.ncct.gov.kh,none
cpanel.nchp.gov.kh,none
cpanel.nctc.gov.kh,none
cpanel.nea.gov.kh,none
cpanel.ngo.ncct.gov.kh,none
cpanel.nis.gov.kh,none
cpanel.ntb.gov.kh,none
cpanel.omc.ncdd.gov.kh,none
cpanel.pln.ncdd.gov.kh,none
cpanel.pnp.ncdd.gov.kh,none
cpanel.pur.ncdd.gov.kh,10 pur.ncdd.gov.kh.
cpanel.pvg.ncdd.gov.kh,none
cpanel.pvr.ncdd.gov.kh,none
cpanel.pwdf.gov.kh,none
cpanel.referral.ncct.gov.kh,none
cpanel.resources.ncct.gov.kh,none
cpanel.rnk.gov.kh,none
cpanel.scm.gov.kh,none
cpanel.senate.gov.kh,none
cpanel.shv.ncdd.gov.kh,none
cpanel.snt.gov.kh,none
cpanel.srp.ncdd.gov.kh,none
cpanel.stg.ncdd.gov.kh,none
cpanel.svr.ncdd.gov.kh,10 svr.ncdd.gov.kh.
cpanel.tak.ncdd.gov.kh,none
cpanel.tkm.ncdd.gov.kh,none
cpanel.tvk.gov.kh,none
cpanel.usof.gov.kh,none
crdb.gov.kh,none
cs.tuolsleng.gov.kh,none
culpp.gov.kh,none
customs.gov.kh,none
demo.battambang.gov.kh,none
demo.cncc.gov.kh,none
demo.information.gov.kh,none
demo.senate.gov.kh,none
dev-buy.angkorenterprise.gov.kh,none
dev-chat-api.angkorenterprise.gov.kh,none
dev-chat.angkorenterprise.gov.kh,none
dev.interior.gov.kh,none
dev.nis.gov.kh,none
dic.moh.gov.kh,none
dic.nacd.gov.kh,none
division.gdlf.gov.kh,none
dmc-mail.dmc.gov.kh,none
dmc.gov.kh,1 dmc.com.kh.; 0 dmc.gov.kh.
dms.interior.gov.kh,none
doc.cambodia.gov.kh,none
dosh.gov.kh,none
download.ncct.gov.kh,none
driverlicense.mpwt.gov.kh,none
e-library.maff.gov.kh,none
eac.gov.kh,none
eackh.eac.gov.kh,none
eccbuildingtrust.akpgallery.gov.kh,none
eccc.gov.kh,none
edoc.mptc.gov.kh,none
edoc5.treasury.gov.kh,none
edocs.treasury.gov.kh,none
elearning.gdi.gov.kh,none
employer.nea.gov.kh,none
epay.customs.gov.kh,none
event.nea.gov.kh,none
evisa.gov.kh,none
exchange.crdb.gov.kh,none
firstdaily.gdlf.gov.kh,none
foodsecurity.gov.kh,10 mail.foodsecurity.gov.kh.
fwcms.mlvt.gov.kh,none
gathering.camcert.gov.kh,none
gda.maff.gov.kh,none
gdaf-senate.gov.kh,none
gdi.gov.kh,5 mx1-hosting.jellyfish.systems.; 10 mx2-hosting.jellyfish.systems.; 20 mx3-hosting.jellyfish.systems.
gdicdm.mef.gov.kh,none
gdlf.gov.kh,none
gdtsys.mpwt.gov.kh,none
gis.pid.mpwt.gov.kh,none
gov.kh,none
gps.mme.gov.kh,none
grk.gov.kh,none
gspd.gov.kh,none
history.tax.gov.kh,none
hrm.treasury.gov.kh,none
id.gdi.gov.kh,none
immigration.gov.kh,none
inb.gov.kh,10 mx2.privateemail.com.; 10 mx1.privateemail.com.
inb.info.gov.kh,none
info.gov.kh,none
information.gov.kh,1 aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.
joomla.moeys.gov.kh,none
kam.ncdd.gov.kh,none
kbachkhmer.owso.gov.kh,none
kch.ncdd.gov.kh,none
kdl.ncdd.gov.kh,10 kdl.ncdd.gov.kh.
kep.ncdd.gov.kh,none
kh.senate.gov.kh,none
khasw.nsw.gov.kh,none
khaswtest.nsw.gov.kh,none
khjobs.nea.gov.kh,none
khlearners.akpgallery.gov.kh,none
khmerfocus.tonlesap.gov.kh,none
kkg.ncdd.gov.kh,none
kohdaj.akpgallery.gov.kh,none
kohkong.kkg.ncdd.gov.kh,none
kpc.ncdd.gov.kh,none
kpt.ncdd.gov.kh,none
krt.ncdd.gov.kh,none
kruta.akpgallery.gov.kh,none
ktv.tvk.gov.kh,none
kunapheap.akpgallery.gov.kh,none
lakrith.cmaa.gov.kh,none
laws.gov.kh,none
laws.senate.gov.kh,none
laylong.owso.gov.kh,none
lc.apps.mpwt.gov.kh,none
lechthleay.akpgallery.gov.kh,none
library.senate.gov.kh,none
lida.cmaa.gov.kh,none
maff.gov.kh,none
mail.akp.gov.kh,0 akp.gov.kh.
mail.akpgallery.gov.kh,none
mail.angkorenterprise.gov.kh,none
mail.bat.ncdd.gov.kh,none
mail.battambang.gov.kh,none
mail.bec.gov.kh,none
mail.bmc.ncdd.gov.kh,none
mail.budinst.gov.kh,none
mail.calmette.gov.kh,none
mail.cambodia.gov.kh,none
mail.cambodiafilm.gov.kh,none
mail.cambodiantr.gov.kh,none
mail.camcert.gov.kh,none
mail.camcontrol.gov.kh,none
