qid,label
Q1342139,Saint James Windward Parish
Q1472520,Saint George Gingerland Parish
Q1473654,Saint Anne Sandy Point Parish
Q1538034,Saint Mary Cayon Parish
Q1540744,Saint George Basseterre Parish
Q1725609,Saint Peter Basseterre Parish
Q1752101,Saint Thomas Middle Island Parish
Q1752122,Saint Thomas Lowland Parish
Q1752127,Saint Paul Charlestown Parish
Q176164,Christ Church Nichola Town Parish
Q376738,Trinity Palmetto Point Parish
Q657318,Saint John Figtree Parish
Q668498,Saint John Capisterre Parish
Q952735,Saint Paul Capisterre Parish
