type,label,website,hostname,level
government_agency,Busan Fire Academy,http://119.busan.go.kr/edu/,119.busan.go.kr,
government_agency,Changwon Fire Service,http://119.changwon.go.kr/main/,119.changwon.go.kr,local
government_agency,Gyeonggi-do Fire Department,https://119.gg.go.kr/,119.gg.go.kr,central-1
government_agency,Gyeonggi Northern Fire Department,http://119.gg.go.kr/north,119.gg.go.kr,
government_agency,Incheon Fire Department,http://119.incheon.go.kr/,119.incheon.go.kr,central-1
government_agency,Sejong Fire Department,http://119.sejong.go.kr/,119.sejong.go.kr,
government_agency,Q31180561,http://50plus.or.kr/,50plus.or.kr,
government_agency,88 Country Club,http://www.88countryclub.co.kr,88countryclub.co.kr,
government_agency,Chungcheong Fire Academy,http://academy.cn119.go.kr/,academy.cn119.go.kr,
government_agency,National Asian Culture Center Foundation,http://www.accf.or.kr,accf.or.kr,
government_agency,Appeal Commission for Educators,http://www.ace.go.kr/,ace.go.kr,
government_agency,Korea Independent Commission Against Corruption,http://www.acrc.go.kr,acrc.go.kr,
government_agency,Anti-Corruption and Civil Rights Commission,http://www.acrc.go.kr/,acrc.go.kr,
government_agency,Agency for Defense Development,https://www.add.re.kr/kps,add.re.kr,
government_agency,Agency for Defense Development,https://www.add.re.kr/eps,add.re.kr,
government_agency,Agency for Defense Development,http://www.add.re.kr,add.re.kr,
government_agency,Korea Green Promotion Agency,http://ago.kgpa.or.kr/eng/,ago.kgpa.or.kr,
government_agency,Korea Airports Corporation,http://www.airport.co.kr,airport.co.kr,
government_agency,Incheon International Airport Corporation,http://www.airport.kr,airport.kr,
government_agency,Academy of Korean Studies,https://www.aks.ac.kr,aks.ac.kr,
government_agency,"Embassy of Algeria, Seoul",http://www.algerianemb.or.kr/,algerianemb.or.kr,central
government_agency,"Embassy of Italy, Seoul",https://ambseoul.esteri.it,ambseoul.esteri.it,central
government_agency,American Chamber of Commerce in Korea,https://www.amchamkorea.org/,amchamkorea.org,
government_agency,Aviation Meteorological Office,http://amo.kma.go.kr/,amo.kma.go.kr,
government_agency,APEC Climate Center,http://www.apcc21.org,apcc21.org,
government_agency,Agriculture Policy Insurance & Finance Service,https://www.apfs.kr,apfs.kr,
government_agency,Aviation and Railway Accident Investigation Board,http://araib.molit.go.kr/,araib.molit.go.kr,
government_agency,National Archives of Korea,http://www.archives.go.kr/,archives.go.kr,
government_agency,Korea International Broadcasting Foundation,https://www.arirang.com,arirang.com,
government_agency,Arts Council Korea,https://www.arko.or.kr,arko.or.kr,
government_agency,Republic of Korea Army Headquarters,https://www.army.mil.kr/,army.mil.kr,
government_agency,Korea Arts & Culture Education Service,https://www.arte.or.kr,arte.or.kr,
parliament,National Assembly,https://assembly.go.kr/,assembly.go.kr,central
supreme_court,National Assembly,https://assembly.go.kr/,assembly.go.kr,central
government_agency,Korea Agro-Fisheries & Food Trade Corporation,http://www.at.or.kr/,at.or.kr,
government_agency,Food and Agriculture Officials Training Institute,http://www.ati.go.kr/,ati.go.kr,
government_agency,Architecture & Urban Research Institute,http://www.auri.re.kr,auri.re.kr,
government_agency,"Embassy of Azerbaijan, Seoul",http://www.azembassy.co.kr,azembassy.co.kr,central
