type,label,website,hostname,level
parliament,North Chungcheong Province municipal council,http://council.chungbuk.kr/,council.chungbuk.kr,central-1
supreme_court,North Chungcheong Province municipal council,http://council.chungbuk.kr/,council.chungbuk.kr,central-1
parliament,South Chungcheong Province municipal council,http://council.chungnam.net,council.chungnam.net,central-1
supreme_court,South Chungcheong Province municipal council,http://council.chungnam.net,council.chungnam.net,central-1
supreme_court,Gangwon State Council,http://council.gangwon.kr/,council.gangwon.kr,central-1
parliament,Gangwon State Council,http://council.gangwon.kr/,council.gangwon.kr,central-1
supreme_court,Gwangju municipal council,http://council.gwangju.kr,council.gwangju.kr,local
parliament,Gwangju municipal council,http://council.gwangju.kr,council.gwangju.kr,local
parliament,Jeju municipal council,http://www.council.jeju.kr/,council.jeju.kr,central-1
supreme_court,Jeju municipal council,http://www.council.jeju.kr/,council.jeju.kr,central-1
parliament,Ulsan Metropolitan Council,http://www.council.ulsan.kr,council.ulsan.kr,central-1
supreme_court,Ulsan Metropolitan Council,http://www.council.ulsan.kr,council.ulsan.kr,central-1
parliament,South Gyeongsang Province municipal council,http://www.gncl.or.kr/,gncl.or.kr,central-1
supreme_court,South Gyeongsang Province municipal council,http://www.gncl.or.kr/,gncl.or.kr,central-1
constitutional_court,Dominican Province of Our Lady of the Rosary,https://www.holyrosaryprovince.org/index.php?lang=es,holyrosaryprovince.org,
constitutional_court,Dominican Province of Our Lady of the Rosary,https://www.holyrosaryprovince.org/index.php?option=com_sppagebuilder&view=page&id=1&Itemid=101&lang=en,holyrosaryprovince.org,
parliament,North Jeolla Province municipal council,http://www.jbstatecouncil.jeonbuk.kr/,jbstatecouncil.jeonbuk.kr,central-1
supreme_court,North Jeolla Province municipal council,http://www.jbstatecouncil.jeonbuk.kr/,jbstatecouncil.jeonbuk.kr,central-1
constitutional_court,Gangwon State Office,http://www.provin.gangwon.kr,provin.gangwon.kr,central-1
parliament,Seoul municipal council,http://www.smc.seoul.kr,smc.seoul.kr,central-1
supreme_court,Seoul municipal council,http://www.smc.seoul.kr,smc.seoul.kr,central-1
supreme_court,Seoul municipal council,http://www.smc.seoul.kr/foreign/index.do?lang=english,smc.seoul.kr,central-1
parliament,Seoul municipal council,http://www.smc.seoul.kr/foreign/index.do?lang=english,smc.seoul.kr,central-1
parliament,National Youth Assembly of Korea,https://youthassembly.or.kr/,youthassembly.or.kr,
