type,label,website,hostname,level
ministry,Ministry of Agriculture,http://www.agriculture.gov.lb/,agriculture.gov.lb,
ministry,Ministry of Culture,http://www.culture.gov.lb/,culture.gov.lb,
constitutional_court,Custodian of the Holy Land,http://www.custodia.org/,custodia.org,
ministry,Ministry of Electrical and Water Resources of Lebanon,https://www.energyandwater.gov.lb/,energyandwater.gov.lb,
ministry,Ministry of Electrical and Water Resources of Lebanon,https://energyandwater.gov.lb/,energyandwater.gov.lb,
ministry,Ministry of Finance,http://www.finance.gov.lb,finance.gov.lb,
ministry,Ministry of Foreign Affairs and Emigrants,http://www.foreign.gov.lb,foreign.gov.lb,
ministry,Q64729548,http://www.industry.gov.lb/,industry.gov.lb,
ministry,Ministry of Labour of Lebanon,http://www.labor.gov.lb/_layouts/MOL_Application/Default.aspx?lang=ar,labor.gov.lb,
ministry,Ministry of Tourism,http://www.lebanon-tourism.gov.lb,lebanon-tourism.gov.lb,
parliament,Parliament of Lebanon,https://www.lp.gov.lb/,lp.gov.lb,central
supreme_court,Parliament of Lebanon,https://www.lp.gov.lb/,lp.gov.lb,central
ministry,Ministry of Education and Higher Education,https://www.mehe.gov.lb/ar,mehe.gov.lb,
ministry,Ministry of Education and Higher Education,http://www.mehe.gov.lb/,mehe.gov.lb,
ministry,Ministry of Youth & Sports Lebanon,http://www.minijes.gov.lb/,minijes.gov.lb,
ministry,Ministry of National Defense,http://www.mod.gov.lb,mod.gov.lb,
ministry,Ministry of Interior and Municipalities,http://www.moim.gov.lb/,moim.gov.lb,
ministry,Ministry of Public Health,https://www.moph.gov.lb/,moph.gov.lb,
ministry,Ministry of Public Health,https://www.moph.gov.lb/en,moph.gov.lb,
ministry,Office of the Minister of State for Administrative Reform,http://www.omsar.gov.lb/,omsar.gov.lb,
constitutional_court,Cabinet of Lebanon,http://www.pcm.gov.lb/arabic/index.aspx?pageid=5,pcm.gov.lb,central
ministry,Ministry of Social Affairs,http://www.socialaffairs.gov.lb,socialaffairs.gov.lb,
