hostname,score,sources,label,level
parliament.ly,8,wikidata;wikidata,House of Representatives,central
hnec.ly,7,wikidata;wikidata;wikidata,High National Election Commission,central
aonsrt.ly,4,wikidata,Q125912040,
bsc.ly,4,wikidata,Bureau of Statistics and Census Libya,central
lccrc.ly,4,wikidata,Libyan Climate Change Research Center,
lsrss.com.ly,4,wikidata,Libyan Society for Research and Scientific Studies,
mofaic.gov.ae,4,wikidata,"Embassy of the United Arab Emirates, Tripoli",central
ncdc.org.ly,4,wikidata,National Centre for Disease Control,
tripoli.mfa.gov.hu,4,wikidata,"Embassy of Hungary, Tripoli",central
arsheef.org,3,wikidata,Libyan Center for Archives and Historical Studies,
eeas.europa.eu,3,wikidata,Delegation of the European Union to Libya,
ly.ambafrance.org,3,wikidata,"Embassy of France, Tripoli",central
ly.china-embassy.org,3,wikidata,"Embassy of the People's Republic of China, Tripoli",central
mfa.gr,3,wikidata,embassy of Greece in Libya,central
mvep.hr,3,wikidata,"Embassy of Croatia, Tripoli",central
nigeriantripoli.org,3,wikidata,embassy of Nigeria in Libya,central
nllnet.net,3,wikidata,National Library of Libya,
sveriges-konsulat.com,3,wikidata,"Honorary Consulate of Sweden, Benghazi",
tripoli.mae.ro,3,wikidata,"Embassy of Romania, Tripoli",central
ccmce.ly,0,wikidata,Central Committee for Municipal Council Elections,central
